aspect,pos,neg,neu
操作のしやすさ,"- 操作が楽しめるゲームで、チュートリアルが親切で詰まることが少ない。
- 触り心地が良く、ボタンを適当に押すだけでカッコいいアクションが発動する。
- 操作とシステムを理解すればHARDモードも簡単で、死亡する要素があるためコアなアクションゲーマーにも楽しめる。","- 高難易度アクションRPGを期待したが、すぐにノーマルに変更してクリアした。
- キーボード+マウス操作が最適化されておらず、カメラ補助機能が使いづらいと感じた。
- イージーモードでは全てオートで動き、戦闘は簡単で退屈だと感じた。",
チャレンジ,"- このゲームは爽快なアクションRPGで、死にゲーではない。
- ノーマルで遊ぶのがおすすめで、ストーリーを楽しみやすい。
- 難易度を変えられ、イージーモードにすればクリアも簡単になる。","- 難易度が高いが、諦めないことが重要
- チュートリアルの難易度が非常に難しい","- アクションは派手だが、操作やシステムを把握すればHARDまで簡単に感じる。
- シューティング部分が苦手な人には難しく感じるかもしれない。
- 慣れるには2~3時間かかるが、その後は楽になる。"
進捗感,- ゲームが進むと戦闘が楽になり楽しさが増す。,,
目的とルール,"- ゲームの全体的な目標を理解した。
- ゲームの目的は明らかだった。
- ヨコオワールドは説明不足で馴染みづらい。",- 難易度はいつでも変更可能かどうかを尋ねている。,
視聴覚,"- グラフィックが進化しており、美しい廃墟やフィールドが描かれている。
- BGMの収録方法が独特で、ゲームの進行によって雰囲気が変わる。
- 音響効果にこだわりがあり、臨場感とリアル感がある。
- 独自性がありプレイヤーを選ぶが、遊ぶ価値がある。
- プラチナゲームズらしい美しいアクションが楽しめる。
- 探索やクエスト、ストーリーが楽しい。
- BGMやストーリー、世界観が素晴らしい。",,
遊ぶ意義,"- 20時間以上はまったゲームで、クリア後も続けたくなる。
- プレイすることが有意義だった。
- このゲームは自分にとって意味があり、価値があった。",,
没入感,"- 狭い部屋より広大なゲームの世界に夢中になっていた。
- 世界観がPortal 2に似ていて、どんどん引き込まれた。
- プレイ中は周囲の状況に気付かず、エンディングやサブクエも終わってもまだ世界に留まり続けている。",,
成長感,"- ゲームが進むと戦闘が楽になる。
- 成長を実感できて楽しい。",,- 慣れるまで難しいが、2~3時間で慣れてくる。
好奇心,- やりこみ要素が豊富である,"- 次回作は戦闘の楽しみを重視し、世界観を広げる外伝的な作品を希望する
- ハッキングの部分がザンファインというゲームを思い出させた
- もっと派手な演出があると良かったと感じた","- ゲームの進化について調査したかった  
- 試合の進行状況を知りたかった  
- ゲームの展開が気になっていた  "
自由度,"- ゲーム中に難易度をいつでも変更できる。
- 自分のやり方で自由にプレイできる点が楽しめる。
- 選択肢が多く、自分好みのプレイスタイルを探す楽しみがある。","- 物語進行の自由度は低い。
- 典型的な日本のRPGである。",
