aspect,review
操作のしやすさ,操作の楽しさを感じられ、親切なチュートリアルがあるため詰まることは少ない。爽快なアクションに加え、シューティングRPGの要素も魅力的だが、キーボード操作に改善点あり。イージーモードでは戦闘がオートで進むため、楽にプレイできる。
チャレンジ,このゲームは爽快アクションRPGであり、ノーマル難易度で楽しむのが推奨されている。操作やシステムを理解すれば、難易度が高くても進められる。イージーモードもあり、チュートリアルは難しいが慣れると楽しめる。シューティング部分は苦手な人もいる。
進捗感,ゲームを進めてレベルを上げると、戦闘が楽になり、より楽しめるようになる。
目的とルール,ゲームの全体的な目標は理解できたが、説明不足のため馴染みにくい部分もある。難易度の変更が可能か気になっている。
視聴覚,グラフィックが進化し、美しい廃墟やフィールドが描かれている。音響効果やBGMも素晴らしく、曲がゲームの進行に合わせて変化する。アクションの美しさや探索、ストーリーも楽しめる。独自性が強いためプレイヤーを選ぶが、ぜひ試してほしい。
遊ぶ意義,このゲームに20時間以上ハマり、クリア後もその世界に没入したいと思った。プレイは有意義で、私にとって意味があり、価値ある体験だった。
没入感,このゲームは広大な世界観に引き込まれ、プレイ中は周囲を忘れて夢中になった。エンディングやサブクエストを終えても、その世界に浸り続け、関連商品を買い集めるほどの没入感があった。
成長感,ゲームは進むにつれてレベルが上がり、戦闘が楽になって楽しさが増す。成長感を感じられ、2～3時間で慣れることができる。
好奇心,やりこみ要素が多く、次回作では戦闘の楽しみを重視して世界観を広げる外伝的な作品を希望する。ハッキングの部分では別ゲームを思い出し、もっとダイナミックな演出が欲しかった。ゲームの進化や試合の進行について知りたい。
自由度,ゲームの難易度はいつでも変更でき、自分のやり方で自由にプレイできるのが魅力。マニュアル戦闘を期待しつつ、自分好みのコンボを探す楽しみもある。ただし、物語の進行自由度は低く、典型的な日本のRPGと感じた。
