aspect,np,review
操作のしやすさ,-1,キーマッピングがバグってアクション発動できずストーリー詰んだときは唖然とした
操作のしやすさ,1,分かりやすいハクスラゲーであり武器のパークや防具のステータスに一喜一憂できる人にはおすすめ
難易度の適切さ,-1,結果、チームなら10分でクリア出来るアクティビティに1時間30分とか掛かる事があります。
難易度の適切さ,-1,高難易度コンテンツに臨むことになる
難易度の適切さ,-1,欲しい武器がクル－シブル（PVP）を周回しないと手に入らないのがおっさんには難点
難易度の適切さ,-1,元よりソロプレイを考えて作られてない
難易度の適切さ,-1,初心者には厳しい。中～上級者になってからが楽しくここからが本番だと思う。
難易度の適切さ,-1,初心者にはものすごい厳しいゲームで導入もなにもありません
難易度の適切さ,-1,強武器を持っているプレイヤーに一方的に倒される内容なので、これから始めて長くやっていこうと思っている人にはお勧めできない。
難易度の適切さ,-1,高難易度ダンジョンを制覇する必要がある
難易度の適切さ,-1,特に今シーズンはさらにそう感じるようになりました。エキゾアーマーとエキゾ武器のドロップ率もかなりきついですね。数回で出る人もいれば20，30回レイドやセクター伝説ソロと迷宮やらないといけない人もいますし。
難易度の適切さ,1,難易度調整可能なナイトフォールストライクがある
難易度の適切さ,1,シューティングが下手でも、スキルやデバフ武器を駆使した支援プレイでかなり貢献できます。
難易度の適切さ,1,戦闘難易度は昔より楽になりました
難易度の適切さ,0,まあまあのPVE難易度
難易度の適切さ,-1,ソロは難易度高め
難易度の適切さ,-1,とにかく設計がプレイヤーを殺しにかかってくる、リアリティーとスリルが作業ゲーにさせない。
難易度の適切さ,-1,このゲームはレベル差がかなり出るゲームです。初期段階で対人戦に行くと確実に負けます。負け続けます。
難易度の適切さ,1,その過程が辛ければ辛いほど強い物＝メタ武器が手に入るかも？という難易度
難易度の適切さ,-1,このゲームはハードゲーマー向けのコンテンツが多いです。ライトユーザー向けではあまりありません。
難易度の適切さ,1,ゲームが簡単すぎず、難しすぎなかった
難易度の適切さ,1,頭を使うことが好きな方には向いている
難易度の適切さ,-1,装備を整えても序盤のMAPですぐ死ぬため装備を集めても強くなった実感がありません
難易度の適切さ,-1,理不尽なので難しすぎると感じた
難易度の適切さ,-1,ハンターが強すぎる
進捗の明確さ,1,自分の成長が実感でき達成感が尽きることがない。
