aspect,pos,neg,neu
操作のしやすさ,- 分かりやすいハクスラゲーであり、武器や防具の要素が楽しめる。,- キーマッピングのバグでストーリーが進まなくなった。,
難易度の適切さ,"- 難易度調整が可能なナイトフォールストライクが存在する。
- シューティングが苦手でも、支援プレイで大いに貢献できる。
- 戦闘の難易度は昔に比べて楽になっている。
- 辛い過程を経ることでメタ武器が得られる可能性がある。
- ゲームは簡単すぎず、適度な難しさがある。
- 頭を使うことが好きなプレイヤーに適している。","- チームプレイだと短時間でクリアできるアクティビティも、一人では時間がかかる。
- 高難易度コンテンツが多く、初心者には厳しいと感じる。
- 欲しい武器はPvPを周回しないと手に入らず、これは難点である。
- 元々ソロプレイを考慮されていない設計で、特に初心者には厳しい。
- 上級者になってから楽しめる要素が多い。
- 強武器を持ったプレイヤーに一方的に倒されるため、新規プレイヤーにはおすすめできない。
- 高難易度ダンジョンの挑戦が必要で、ドロップ率も厳しめ。
- ソロプレイの難易度は高く、装備集めでも強くなった実感を得られない。
- このゲームはリアリティとスリルがあり、作業感が薄れにくい。
- ハンターが非常に強力で、レベル差が大きく影響する。",- PVEの難易度はまあまあである。
進捗の明確さ,- 自分の成長を実感できる。,,
目的の明確さ,"- 初めはゲームの内容が分からなかったが、ストーリーを進めることで目標が見えてきた。
- 何をすればいいか分からない時は、まずストーリーをプレイするのが良い。
- ストーリーをクリアすることで、さらなる冒険が待っている。
- 常に光を感じながら進む楽しさがある。","- ゲーム内での目的を見つけることが重要である。
- ゲーム内用語が多く、ストーリーの全体を理解するのが難しい。
- シーズンストーリーは確認できるが、物語の経緯が不明。
- 初めてプレイする際にやるべきことが分からなかった。
- 進めるにつれて、何をしているのか分からなくなることがある。",
視聴覚の魅力,"- ストーリーや世界観が非常に作り込まれており、武器にもエピソードがある。
- グラフィックはファンタジー的で美しく、特に光の表現が圧巻である。
- カジュアルなPvEプレイをする人には楽しめる要素が満載とされている。
- 質の高いグラフィックと独特なデザインが魅力を引き立てている。
- サウンド面も充実しており、BGMやSEが良い。
- 慣れてくるとゲームが非常に楽しくなる。
- アクション性が高く、爽快感があると感じられている。
- キャラクターやストーリーに魅力があり、萌キャラも多い。
- 世界観が新鮮で非常に印象的なゲームとして評価されている。
- 全体的に非常に楽しめるとの評価が多い。","- 見た目が地味で、特に特徴的な公園もなく、使用者を見かけない。  
- ムービーがない点が気になった。  
- ""Pre Beyond Light""のライティングエンジンの方が優れていた。  ",- 美工と配楽に対する評価があった。
遊ぶ意義,"- ストーリーや世界観、グラフィックに魅力を感じており、特にストーリーがプレイのモチベーションになっている。
- 自分にとっては神ゲーで、ストーリーが非常に面白かったと感じている。
- 過去の努力が無駄になったかもしれないが、シナリオや武器に関する物語は今でも好きである。
- ゲーム自体は素晴らしく、類似ゲームがないためプレイを続けたいという気持ちがある。
- 楽しいゲームで、他では味わえない楽しさがあると感じている。
- 設定や歴史が心をつかんで離さないと感じている。",,
没入感,"- ゲームに非常に夢中になった。
- リアリティーとスリルがあり、作業感がない。
- プレイ時間は500時間近くになる。
- ハマりすぎてヤバいと感じている。
- 周囲の状況を忘れるほど集中していた。
- プレイ中は試合に完全に没頭していた。
- このゲームに対する没入感が強い。",,- のめり込み過ぎた。
成長感の得やすさ,"- 自分の成長を実感でき、達成感が常にある。
- 仲間を見つけてコミュニティに入り、成長できる。
- シューティングが苦手でも支援プレイで貢献できる。
- プレイすることでだんだん慣れ、面白さを感じる。
- はまり出すと抜けられなくなるほどの魅力がある。
- 他のプレイヤーとイベントをクリアしたときの達成感が病みつきになる。
- ゲームをうまくプレイできると感じる。
- 熟練した感覚を得ることができるゲーム体験がある。",- 装備を集めても強くなった感じがしない。,
好奇心への刺激,"- ゲームに興味を持ったら、まず触ってみることを勧める。
- 奥深い要素や自分なりの攻略法を見つける楽しみがある。
- 隠し要素が多く、隠し武器や隠しクエストが多数存在する。
- プレイを通じて興味が刺激され、装備を揃えるために努力している。
- 武器や敵の歴史を学ぶことが多く、頭を使う要素がある。
- ストーリーが非常に凝っていて、魅力的に思える。
- ゲームの進化や試合の進行方法について知りたいと思っている。
- ゲームの続きが気になり、もっと探求したいという気持ちを抱えている。","- ストーリーの結末や謎は最奥にあると感じている。
- YouTubeでストーリーを見ることを推奨している。
- ゲーム内用語が多く、ストーリーを十分に体験できないと感じている。
- ストーリーの始まりについての理解が不足している。",
自由度,"- 楽しめるコンテンツが豊富でソロプレイでも楽しめる。
- 戦闘の仕様が良く、特性やかけらで戦い方が変わる。
- 武器の制限がなく、ダラダラ遊ぶのには適したゲーム。
- フレンドを誘って遊ぶとより楽しい体験ができる。
- ソロでもチームプレイでも、地道にクエストを進めるのが楽しい。
- 初心者はストーリーを先に楽しむことを推奨。
- マッチメイキング機能が増え、野良プレイヤーでも楽しむ要素が増えた。
- オープンスペースを自由に駆け回ることが楽しい。
- 自分のやり方でプレイできる自由度が高い。
- 行動の選択肢が多く、自分だけのプレイスタイルを楽しむことができる。",- 弾の補充が自由にできず、持ち弾が少ない。,- ソロプレイは難しいが、文字パやチームを探して進行可能。
