aspect,pos,neg,neu
操作のしやすさ,"- 操作が簡単で初心者でも楽しめるゲームである。
- パッド操作はカメラ感度に限界があるが、鯖プレイでは問題になりにくい。
- 旋回操作はパッドでは難しいため、マウスを推奨している。
- キラーでも選択を誤らなければ一人は吊れる可能性がある。
- 操作には癖があるが、慣れるとその癖が楽しさに変わる。
- 初心者向けのチュートリアルや攻略情報が豊富で学びやすい。
- ルールがシンプルで、他のゲームの合間に気軽にプレイできる。
- 味方の行動がアイコンでわかりやすく表示されるようになった。
- 日本語対応がされており、ルールの理解が容易である。
- 基本的な操作とルールを丁寧に学べる点が高評価である。","- チュートリアルプレイがないため、文章を読むことで操作方法やMAPを覚える必要がある。
- 情報が散乱しており、管理が難しいと感じる。
- UIが使いづらく、ストレスを感じる。
- 情報量が多く、処理できないと操作がしづらくなる。
- UIの変更で視認性が悪化し、前の配置が好ましいという意見がある。
- 最近のアップデートでシンプルなUIが崩壊した。
- ゲーム内の情報確認が困難で、プレイが難しくなった。
- UIの悪化と操作性の変更が目立つ。
- サバイバーキャラの動きが遅れて反応し、操作しづらい。
- アクションゲームとしては操作難易度が低く、基本的な進行を覚えれば簡単に遊べる。","- 操作ボタンが多く、協力プレイには思考が必要である。
- キラーの能力や操作に関する理解が求められる。
- 初めての人はチュートリアルを通じて操作に慣れることが大切である。"
難易度の適切さ,"- ゲームは難しいが、初心者でも楽しめる要素がある。
- サバイバーは気楽にプレイでき、鬼側はやりがいがある。
- 初心者でも回数を重ねることでゲームに慣れ、楽しめるようになる。
- キラー側は難易度が高く、プレイヤーの成長が求められる。
- 勝敗を繰り返す中で運やテクニックを学べる要素がある。
- プレイヤーのレベルアップとゲームのデザインが絶妙にバランスしている。
- 初心者でもサバイバー側は勝ちやすく、楽しさが増している。
- やればやるほど上達し、楽しみが増すゲームである。
- 困難な状況でも過程が楽しいと感じられる。
- 理論やスキルを学ぶことで初心者も参加しやすくなっている。","- キラーは圧倒的に不利で、サバイバーが有利すぎるバランスに不満を抱いている。
- 初心者キラーは熟練者とのマッチングが多く、連続して負けることが多い。
- サバイバーは簡単に脱出できるため、キラー側は勝つのが非常に難しい。
- ゲームを始めたばかりのプレイヤーが楽しむにはハードルが高すぎると感じる。
- キラーをメインでやると、忍耐力や時間が必要で理不尽な状況が多い。
- 初心者はまずサバイバーから始めるべきとされているが、それでも難しい。
- キラーのプレイに必要なスキルや知識を習得するための時間が非常に長い。
- 複数名の熟練サバイバーがいる場合、キラーが勝つのは難しいとされている。
- このゲームはキラーに対する調整が不適切であると多くのプレイヤーが指摘している。
- バランスの悪さにより初心者が参加しづらくなっているとの声が多い。","- 鯖側は年々弱体化しており、鬼側は強化されてバランスが改善されている。
- 現在の鬼ごとの性能差が問題で、全体的にはサバイバーが不利と感じる。
- 試合の展開は練習次第で大きく変わる。
- 練習には忍耐が求められる。
- 野良の場合、キラーが有利だが、フレンドとの通話があればサバイバーが有利になる。
- プレイヤースキルは重要だが、最も重要なのは経験と知識である。
- ゲームバランスに大きな不満はない。
- プレイヤーの行動次第でゲームが面白くなることもつまらなくなることもある。
- キラーは難しいが、極端に難しいわけではないため、スキルを増やすまでの修行が必要である。"
進捗の明確さ,"- 彩Ⅰに到達できたことを嬉しく思っている。
- アップデートで数値表示が追加され、理解しやすくなった。
- 上達を実感できることに達成感を感じている。
- 1戦目の結果が楽しかったことを示すログが表示された。","- ゲームに慣れて上達しても、試合結果に反映されないのは大きなストレスになる。
- ランク評価システムにバグがあり、プレイヤーの動きが正しく評価されていない。
- 試合の結果が適切に表示されず、プレイを重ねるとランクが下がってしまう。","- グレード評価とゲーム内通貨のブラッドポイントを集めるゲームである。
- ゲームの進行状況を通知してくれる機能がある。"
目的の明確さ,"- 生存者は発電機を直して脱出するのが目標で、殺人鬼はそれを阻止するのが目的。
- ゲームは生存者対殺人鬼の4対1のマルチプレイヤーホラーゲーム。
- 生存者側は7台ある発電機のうち5つを修理する必要がある。
- 修理後、2つ出現する脱出ゲートから脱出することで勝利となる。
- 殺人鬼は3人以上の生存者を殺害すれば勝利を得る。
- ゲームのルールはシンプルでわかりやすい。
- 生存者は隠れたり逃げたりしながら発電機を修理する。
- 生存者が修理した後、ゲートを開けて脱出しなければならない。
- 生存者と殺人鬼はそれぞれ異なる目的を持っている。
- ルールを守って皆で楽しくプレイすることが重要。","- 一人を吊るすことを目標にする方が楽だと感じる。
- ゲームの目的や戦略が不明で初心者には理解が難しい。
- ゲームが何を求めているのかがよくわからない。
- 全滅を目指さないと屈辱を味わうことになる。
- キラー側でのランク維持や全滅を目指すのはおすすめできない。
- このゲームは戦略的な要素があり、適当に楽しめるものではない。
- キラーをやりたいなら、追加コストがかかることを理解する必要がある。
- ゲーム全体のデザインやビジョンが欠けていると感じる。",- 勝ち負けがない試合で活躍度に基づいてポイントが与えられ、ランクが決まる。
視聴覚の魅力,"- ゲームはプレイヤーを引き込むのが非常に上手い。
- 新スキンやグラフィックのアップデートが評価されている。
- ホラーテーマに基づいたアートデザインが良い。
- 鬼ごっこ要素が楽しめるゲームで、両方の役割が新鮮に感じる。
- 世界観や雰囲気が好みで、個性豊かなキャラクターが魅力的。
- おどろおどろしいBGMと緊張感がホラー体験を盛り上げる。
- グラフィックが綺麗で、キャラクターのスキンデザインも多様。
- ホラーテイストの鬼ごっこゲームという独自の魅力がある。
- 夜中に暗い部屋でヘッドフォンを使うと雰囲気が出る。
- ゲーム全体が緊張感と爽快感を兼ね備えた素晴らしい内容で、実況配信でもその面白さが伝わる。","- UIがダサく、特に負傷状態のデザインがひどいと感じられている。
- 一時的にUIが実用レベルになったが、再びバグが発生した。
- ゲームの魅力が薄く、定価での購入を検討するほどではない。
- UIが見づらくなったと指摘されている。
- マップが暗すぎるのに明るさ調整機能がないため、プレイが厳しい。
- UIの配置が分散され、キャラの状態表示も見づらくなった。
- 一新されたUIが全体的に不評となっている。","- DBDには独自の魅力があるが、勝ちにこだわるプレイヤーには向かない。
- ホラーゲームを対戦ゲームにした点やホラー映画のキャラとのコラボが魅力的である。
- UIや生存者のアニメーションに変更があり、改善の余地がある。
- コラボ先の豊富さは良いが、マッチング機能の向上が求められる。"
遊ぶ意義,"- このゲームを長期にわたり愛しており、完璧な調整を期待して続けている。
- ゲームにしかない魅力を感じており、特に協力プレイの興奮が印象的である。
- ホラー要素を取り入れた独特なゲーム体験だと評価している。
- 安心感があり、実家のように感じられるゲームである。
- 殺人鬼としての楽しさや生存者のドラマに魅力を感じている。
- 友人と一緒にプレイすることが特に楽しいと感じている。
- キラーとサバイバーの戦いを通じて楽しんでいる。
- プレイすることでドキドキ感や達成感を楽しめている。
- ゲームの楽しさを感じ、もっと早くに始めるべきだったと後悔している。
- ゲームは大人になっても楽しめることを教えてくれる。","- ゲームのプレイ体験は得られたが、昔のような恐怖感を味わうことはできないと感じている。  
- ゲームの楽しみ方が大きく変わってしまったと感じ、煽り行為が多いことに懸念を抱いている。","- 他のサバイバーの行動が戦局に影響を与える。  
- 一緒にプレイする人次第で楽しさが変わるゲームだと感じる。"
没入感,"- プレイヤーを自らの世界に引き込むことが非常に上手いゲームで、夢中になった。
- ゲーム性が奥深く、プレイ時間が延びるにつれて楽しさが増していく。
- 毎試合にドラマがあり、飽きることなく楽しむことができる。
- サバイバー側でも殺人鬼側でも緊張感や高揚感を味わえる。
- プレイ中は周囲の状況を忘れるほど没頭し、緊張感がたまらない。
- 脱出成功時の達成感や相手の行動を読み合う楽しさがある。
- 深みにハマる面白さで、何度でもプレイしたくなる。
- プレイ中のアドレナリンが強く、ホラー体験が楽しめる。
- VCなしでサバイバーと連携して脱出できた時の爽快感が素晴らしい。
- 夜中に暗い部屋でヘッドフォンをつけてプレイすると雰囲気が出る。","- プレイ中は殺し合いが続いており、緊張感がある。  
- その結果、周囲の状況に気付かなくなり、ゲームの世界に没入してしまった。  
- このゲームは非常に夢中になる内容である。","- プレイ中、周囲の状況に気付かなくなるほど没入した。
- ホラゲは主人公たちの勝利が王道であり、その過程の恐怖が重要だと感じた。 
- 上手いキラーは、プレイヤーに恐ろしい思いをさせることだと思っている。 
- 再度、プレイ中は周囲の状況に意識がなくなる体験をした。"
成長感の得やすさ,"- テクニックゲームとしてのデッドバイデイライトは優れたゲームで、達成感を得られるが、上達には時間が必要である。
- 初心者にとっては難しさがあるが、慣れてくれば楽しい時間が待っている。
- 殺人鬼側では得られる快感や達成感があるため、経験がものをいうゲームである。
- 根気よく続ければ楽しくなるが、負けても気持ちを切り替えてプレイすることが重要である。
- サバイバー側は敷居が低く、アビリティの組み合わせで有能感を感じやすい。
- 上手くなると高い達成感が得られるが、最初は負けが続くのが必然である。
- チェイスや連携ができるようになると、楽しさが増し、達成感を味わえる。
- 時間をかけて努力することで、実力と楽しさが向上するゲームである。
- プレイ時間を重ねることで、ゲームの魅力がより理解できるようになる。
- スキルやアイテムの取得がしやすく改善されており、長く楽しめる要素が多い。","- 上達には尻を追いかけ回す必要がある。
- ゲームの成長システムは非常に時間がかかる。
- 勝利のためにはロビーでのPTやアイテム選別が重要。
- キャンプとトンネルを駆使すれば殺人鬼側は勝ちやすい。
- 初心者は多くの試合で死亡し、徐々に生存率が上がる。
- レベルマックスでも難易度が低すぎてスリリングさがない。
- 初級者になる頃には中級者や上級者と対戦することが多い。
- 自分の上達を実感しづらく、育成には相当な時間が必要。
- 最初のスキル増加までは修行の覚悟が必要。
- 課題の多いゲーム環境である。","- このゲームは練度が必要で、キャラクターの育成やプレイスキルの向上には根気が求められる。
- 初めから上手にプレイするのは難しく、サバイバーとキラーをレベル50まで上げることが推奨される。
- プレイヤーは時間と労力をかけて、知識と実践を積む必要がある。
- 迷っている暇はなく、立ち回りや能力を覚えることが重要。
- ゲームの進行には理解と読みあいが必要で、ここに喜怒哀楽が伴う。"
好奇心への刺激,"- DBDの動画を見て興味が湧いたため、購入を勧める。
- 新キラー「かんだー君」の実装に惹かれて少しプレイした。
- 非対称型対戦マルチプレイとして新しいジャンルのゲームと感じる。
- 各国の文化を調べるのが面白く、思考を知る手助けになる。
- ホラー映画や他ホラーゲームとコラボしている点が魅力的。
- ゲームの進化を調査したくなる。
- ホラーテイストのオンラインゲームは希少で新鮮。
- 映画を観てからプレイするとより没入できる。
- スマホ版の「Identity V」を遊ぶことで雰囲気を感じられる。
- 新キャラの定期追加があり、常にプレイが新鮮に保たれる。",- 進行状況が不明なゲームである。,- 開発の考え方が変われば復帰を考える。
自由度,"- 一人を吊ることを目標にすることで、プレイが楽になる。
- 自分のスタイルを見つけて自由にゲームを楽しむことができる。
- チェイスが苦手な人は、隠れんぼをしながら発電機修理などで慣れるのも良い。
- 幅広いパークの組み合わせで戦略を考える楽しさがある。
- パーティーでの協力プレイが特に楽しい。
- ロールプレイを重視し、勝敗にこだわらないスタイルができる。
- フレンドと一緒にプレイすることでより楽しく感じる。
- 基本ルールがシンプルで遊びやすい点が魅力。
- 自分の活躍を評価される楽しさがある。
- 様々なキャラクターとパークの組み合わせで無限のプレイスタイルが楽しめる。","- 評価方法によりプレイヤーが強制されている印象がある。
- キラー側の選択肢が制限されているように感じる。
- 選択の余地が無いという感覚が生じている。
- プレイヤーの行動によってゲームの面白さが左右されるのが難点である。
- キラーは一人なので自由にプレイできるが、ケバブ行為は避けてほしい。","- プレイは参加したいときだけ行うスタイル。
- ゲームは単純ではなく、奥深さがある。
- 他者に特有の感情を抱かせるのが好きな人に向いている。"
