aspect,review
操作のしやすさ,操作性は改善され、キャラクターや世界観も魅力的で、アクションが快適で面白かった。魔法と打撃のコンビネーションがスムーズで、戦闘は軽快。だが、敵のパターンが単調でストレスも感じた。特に、ターゲティングやマップの不便さが目立ち、操作性に課題があるといった意見もあった。
難易度の適切さ,マリオが得意な人には難易度は適切で、イージー設定なら簡単に楽しめる。ハードはボスが硬くてストレスが溜まるが、ノーマルでのプレイを勧める。全エンディング取得や実績解除には苦行が伴い、アイテムドロップ率も低い。周回プレイでは作業感が強いが、戦闘部分には楽しさがあると感じた。
進捗の明確さ,ゲームの進行度に応じて、ステータス部分にセリフが表示される。
目的の明確さ,主人公の強い信念によって仲間や家族が救われる一方で、全てを失う展開がある。ゲームは周回前提で、ストーリーとクエストを併用するバランスだが、情報不足で目的が不明瞭。物語の背景はゲーム内で十分に説明されず、プレイヤーは外部で調べる必要がある。懐かしさを重視したリメイク作品で、ストーリー理解には困難を伴う。
視聴覚の魅力,音楽、ストーリー、グラフィックが高評価で、特にフルボイスによる没入感や感情移入が強い。リメイク版は、前作よりも格段に美麗になり、ボイスや演出が追加されており、詳細な世界観やシナリオが楽しめる。ただし、グラフィックやシステム面で古さを感じる部分もある。全体的には完成度が高く、おすすめとされる。
遊ぶ意義,壮大なスケールと優れたストーリー、音楽に感動した。感情移入できるキャラクターや、練られた設定が魅力的で、何度もプレイしたくなる作品。特に物語の深さを味わうことができ、プレイする価値があったと感じる。全エンディングを観ることも意義深い体験だった。
没入感,物語に強く引き込まれ、感情移入が深かった。プレイ中は没入感が高く、スロー演出や美しい攻撃モーションに魅了された。エンディングの分岐があり周回が必要だが、追加シーンもあり退屈せずに進めた。特に音楽やキャラクターの感情表現が素晴らしかった。
成長感の得やすさ,初見プレイでじっくり楽しむ予定。全実績解除には時間がかかるが、やりこみ要素として悪くない。一周目の苦戦ボスをレベル引き継ぎで楽々攻略でき、爽快感あり。難易度ハードでのプレイが面白く、トロコンも達成。成長システムは物足りなさを感じる。
好奇心への刺激,ニーアオートマタの伏線や意味を探る楽しさを伝え、全エンディングを観ることを勧める。周回プレイの重要性や関連作品への興味も強調。ストーリーを深く理解するためには情報収集が必須で、進化を考察することが面白いと感じるユーザーが多い。
自由度,ゲームは自由度が高く、自分のやり方で楽しめる。キーバインドを調整すればプレイしやすく、攻撃のバフやデバフの振り分けも楽しい。選択でストーリーが分岐し、世界に没入感がある。ただし、繰り返しプレイで飽きが来る点や、達成率100%が難しいのが残念。
