aspect,pos,neg,neu
操作のしやすさ,"- ダッシュ機能やボイス追加で新鮮なプレイが楽しめる。
- システムがとっつきやすく、快適に進行できるオートセーブやセーブポイントが豊富。
- レベル上げのしやすさや初心者向けの優しい仕様が魅力的。
- フィールド移動が速く、雑魚敵との戦闘を選べるシンボルエンカウント方式が好評。
- UIやゲームシステムが最適化されており、ストレスなくプレイ可能。
- ストーリー進行や行先の迷いが少なく、ミニマップが見やすい。
- 戦闘が速く進むことで、ストーリーを楽しみながら進行できる。
- 親切な設計で、無駄な戦闘を避けられるためプレイがスムーズ。
- 操作やアイテム集めが簡単で、特におじさん世代には好評。
- 全体的にストレスフリーで、現代的な遊びやすさを持ったゲーム設計が評価されている。","- ゲームの終了方法はメニューから「さくせん」を選ぶ必要があり、不便である。
- 操作はキーボードとマウスで快適だが、戦闘時のカーソル移動が矢印キーに限定されているのが残念。
- 3D酔いやカメラ操作が難しく、ストレスになることが多いと感じる。
- UIが不便で、特にコントローラーの表記がキーボード操作に直結していない点が不満。
- 空飛ぶ乗り物の操作やフィールドでのアイテム使用にストレスを感じた。
- 小さな段差やツタの移動がうまくできず、オープンワールド慣れしているプレイヤーにはストレスとなる。
- キーコンフィグがなく、操作に戸惑うことが多いと報告されている。
- UIの操作性が全体的に良くなく、特に「じゅもん」選択が苦痛であると感じられている。
- 室内での視認性が低く、カメラを多く操作しなければならないため煩わしさを感じる。
- 終了ボタンが明示されていないため、強制終了をするしかない状況が発生することが多い。","- 戦闘時のメニュー操作が初期設定では十字パットに割り当てられており、遊びにくいと感じるが、設定でアナログスティックに変更可能。
- 操作性に関しては、もう少し工夫が必要だと感じている。
- 特に振り返る時にキャラクターが振り向いてしまうのが不満で、これは個人の操作の問題かもしれない。"
難易度の適切さ,"- 縛りプレイを利用すると、難易度を上げて楽しめるボリュームのあるRPG。
- ゲームバランスは初心者から上級者まで対応している。
- ボス戦は難易度が高めでやりごたえがあるが、雑魚戦は快適。
- メインストーリーはレベル上げが求められずサクサク進められる。
- 簡単過ぎず難しすぎず、子供から大人まで楽しめる内容。
- バランス調整が良く、無理なくクリアできる。
- 戦闘の難易度は手ごたえがあるが、ストレスを感じさせない。
- 特にラスボス戦は油断すると苦戦するが、全滅までは行かない。
- 難易度の選択肢が豊富で、高難易度を求めるプレイヤーにも対応。
- レベル上げや装備集めが楽で、ストーリーもスムーズに進む。","- ボス戦の難易度は高いが、ストーリー中の敵は弱く感じる。
- 全体的に難易度が低く、サクサク進めやすいが物足りなさを感じる。
- 後半の敵は連続行動や状態異常攻撃が増えて厳しくなる。
- レベルが上がりやすいが、準備不足だと簡単に敗北することがある。
- 難易度が低いため、プレイヤーは忍耐力を試される。
- エンカウント率が高く、ストレスを感じやすい戦闘が多い。
- 最終盤まで戦闘が簡単すぎて、過去作と比較すると物足りない。
- 縛りプレイをしないと緊張感が欠如し、単調に感じる。
- バフ・デバフのバランスに不満を持つプレイヤーが多い。
- 裏ボスはそれほど強くなく、全体的にヌルゲー感が強い。","- 敵は強いが、全体の難易度はシリーズ中で並かそれ以下と感じる。
- 普通にプレイすると簡単すぎるので、過去作のファンは縛りプレイを活用するべき。
- 試行錯誤しながら進める場面もあるが、レベルを上げれば解決してしまう部分もある。
- ストーリーはボス戦までの長さが適度で快適だが、裏ボスは少し面倒。
- 難易度は歴代のドラクエ作品の中で最も簡単とされている。
- 通常プレイでは、ほぼバフして殴るだけで困る場面が少ない。
- 縛りプレイによって難易度が上がり、戦略を必要とする場面も出てくる。
- Lasボスはあっさり倒せることもあるが、それはご愛嬌として受け取られる。
- 敵はレベル上げを怠らなければ簡単に倒せる。
- ゲームは全体的にストレスが少なく、気軽にプレイできる。"
進捗の明確さ,"- 体験版で獲得した実績をまとめて取得できるシステムがある。
- レベルが自動的に上がり、エンディング後も話が自然に進むのが新しい体験だった。
- 毎回プレイ開始時にあらすじが表示され、タスクが明確なため迷わずプレイできる。
- タスクが小分けになっていることで、挑戦と達成のサイクルが回しやすく、とても良いと感じた。",- 進捗が不慮の事故で巻き戻る可能性があることを伝える。,
目的の明確さ,"- 裏ボスを倒すことでストーリーが完結するため、最後までプレイすることを勧める。
- ストーリーは単純明快で分かりやすい。
- 重要な構成要素のシナリオが良く、次に何をすればいいか町の人や仲間から確認できる。
- 単純なクリアには攻略サイトが必要なく、マップを開けば目的地が分かる。
- 積むことはまずない環境が整っている。","- 目標が達成できず、目的が不明確だった。  
- 基本ルールや行動の説明が不足しており、戦術の立てようがなかった。",- その道は1本しかない。
視聴覚の魅力,"- ゲームのスタイルや美学が気に入った。
- 新曲は少なめだが、耳に馴染む良曲が揃っている。
- 臨場感やシナリオへの没入感が向上している。
- グラフィックが美しい上に、ロードが早いのが良い。
- ボイスドラマのクオリティが高く、感情を引き出す演技が素晴らしい。
- PC版は特に高画質で感動的、フルボイスシステムが好印象。
- ストーリーやキャラクターに奥深さがあり、全体のクオリティが高い。
- 新要素の追加やクラシカルな2Dモードが嬉しいが、グラフィックはPS4版に比べ劣る。
- 過去のBGMや演出が感動を呼び起こし、細部へのこだわりが見える。
- 総合的に満足できる完成度で、ドラクエらしさが存分に楽しめる。","- バトル演出やUIがストレスを感じるほど「ドラクエらしさ」が出ていない。
- ゲーム自体は面白いが、音が出ないのは大きなマイナス。
- 3Dモードは良いが、2Dモードは手抜き感が強い。
- 新しいBGMは耳に残りにくく、全体的に使いまわしが多すぎる。
- 裏ボスのデザインやムービー時のFPSが低い点が気になる。
- 戦闘中の音楽や環境音に対して古臭さを感じる。
- ボイスが小さすぎて効果音も聞こえにくく不満。
- キャラ名やスキル名の言語設定に混乱を感じ、ストーリーに没入できない。
- CGムービーやアニメーションが多すぎて不気味さを覚える。
- 音楽の種類が少なく、戦闘でカメラの切り替えが酔う原因となっている。","- 楽曲が素晴らしいが、「使い回しが多い」との不満もある。 
- シリーズ最新作なのに「書き下ろしが少ない」点にガッカリしているファンもいるが、すぎやま氏の曲への評価は高い。 
- ドラクエ特有のデフォルメチックな3Dグラフィックが懐かしさを感じさせる。 
- キャラクターデザインは子供っぽいと感じるが、実際はそれほど気にならない。 
- ボイスがあるのは良いが、モデルに関しては微妙な印象が残る。"
遊ぶ意義,"- ゲームをプレイすることは私にとって有意義で、感動的な経験だった。
- 今作は期待以上で、過去の思い出を超える感動があった。
- ゲームバランスが物語への没入感を高めているのが評価できる。
- とっつきやすいシステムで、初めてRPGを遊ぶ人にもおすすめ。
- ゲームをクリアする過程で何度も涙した。
- ドラクエらしさが損なわれておらず、進化を感じられる作品だった。
- ストーリーとキャラボイスのおかげで、感情移入が非常にしやすかった。
- 全RPGファンにぜひプレイしてほしい作品だと感じた。
- 過去作をプレイした人ほど楽しめる内容で、懐かしさを感じられた。
- ドラクエの集大成として、価格以上の価値を感じた。","- ゲームを楽しめなくなった喪失感を抱いた。
- このゲームはエンタメの一つとして楽しめる人向け。
- 現実生活が充実している人にはオススメ。","- 過去の体験と現在の自分の感情の違いが面白く、意義を感じた。  
- 過去作のネタが多く、シリーズファンには楽しめるポイントが多い。  
- 従来のドラクエの雰囲気が終盤で薄れていくのが残念だが、名作を続けてほしいと思った。  "
没入感,"- ストーリーに没入感があり、感情移入が深い。
- 探索中ずっと泣けるシーンが多く、続きが気になる。
- 周囲の状況を気にせず、ゲームに夢中になった。
- 自由に動けるフィールドが楽しさを増す。
- 物語が素晴らしく、最後までワクワクしながらプレイできた。
- キャラクターへの愛着が生まれ、感情移入しやすい。
- バトルやシナリオの緊張感がプレイを引き立てる。
- フルボイスによって没入感が向上した。
- 時間を忘れるほどの引き込まれた体験をした。
- ゲームのクオリティが高く、最高のゲーム体験ができた。","- 冒険の書は収集型のサブイベントだが、NPCの配置が没入感を損なうことがある。
- プレイ中に周囲の状況に気付かなくなり、ゲームに夢中になる。
- ロードが入ると没入感が削がれる。
- 没入感を高める手法は使い古されているが、本作には合わないと感じる。
- プレイヤー自身よりも、特定のキャラクターの感情が際立っているように思える。",- フィールド時にBGMオフ機能が欲しかった。
成長感の得やすさ,"- ゲーム初心者や子供でも簡単にプレイでき、ボスを倒せる理にかなったレベルアップシステムがある。
- 経験値稼ぎが容易で、レベル上げが苦痛ではないため、スムーズに楽しめる。
- スキルツリーが豊富であり、試行錯誤ができる楽しみが提供されている。
- ゲームバランスが素晴らしく、幅広いプレイヤー層に対応できる設計がされている。
- レベルアップに苦労せず、快適にストーリーを進められる仕組みが整っている。
- 戦闘面で自キャラの成長を実感でき、仲間にも個々の役割があるため、みんなが活躍できる。
- 難易度は適度で、ボス戦ではしっかりとレベル上げや戦略が求められることもある。
- スキルを育成しながら楽しむ要素が大いにあり、プレイヤーの個性を出せるシステムがある。
- レベルが上がりやすいため、全てのキャラクターをレベル99にするのも簡単で、満足感が得られる。
- RPGらしい「挑戦→達成」のサイクルが心地よく、長時間のプレイが楽しめる設計となっている。","- レベル上げに時間がかかるのが残念。
- レベルアップが速く、ヌルゲー化する可能性があるため注意が必要。
- 育成がうまくいかないと難易度が高くて厳しい。
- 簡単に称号が手に入るが、実用性が薄く微妙。
- 総じてキャラの成長速度が遅く感じる。
- レベルが簡単に上がる一方で、ゲームバランスに疑問を持つ。","- レベルが自然に上がり、戦闘や成長も容易に感じられた。
- マップの広がりやストーリーは時間をかければクリア可能だった。
- 難易度は全体的に低下したと捉えられる。
- アイテム強化がもっとできれば良かったと思っている。
- レベルがスムーズに上がったため、物語の展開が単調に感じる部分もあった。
- 大変な事態が少なかった印象がある。"
好奇心への刺激,"- ゲームの進化やストーリーの展開に引き込まれた。
- 追加要素が多く、購入しても後悔はしないと感じた。
- 各街のテーマが異なり、未知の世界を旅する感覚が楽しい。
- ストーリーがスムーズに進行し、無駄なレベル上げが不要で快適だった。
- 過去作の要素が取り込まれており、未プレイの作品への興味が湧いた。
- 過去作のキャラクターたちと戦いたいと思っている。
- ドラクエ12への期待感が高まっている。
- 予想外の展開があり、今後のストーリーが気になる。
- 考察の余地があり、ファンには嬉しい演出が多い。
- 本編初見の新鮮さや、過去作のリンクが楽しめた。",- 勝つための方法を教えてほしい。,"- ネタバレなしでゲームを楽しむことを推奨している。
- ゲームの進化について調べる興味がある。
- 裏ボスの倒し方はネットで確認することが推奨されている。
- 体験版をプレイしてから購入を決めた。
- ゲームの進化に関する情報を探している。
- 驚きの体験が期待されている。"
自由度,"- 自由にプレイスタイルを選べるのが魅力で、新しい要素が加わって楽しさが増している。
- 移動方法やエンカウント形式を選べるため、プレイにストレスを感じず楽しめる。
- 戦闘のスピードや自動バトル機能があり、プレイヤーのペースに合わせて遊べる。
- 見た目のカスタマイズが豊富で、プレイヤーの個性を出せる点が良い。
- ２周目でも楽しめるビジュアルと音楽があり、やり込み要素が豊富である。
- 縛りプレイの選択肢があり、プレイヤーの意向に合わせた難易度調整が可能。
- 自動セーブ機能があり、気軽に冒険に挑める点が評価されている。
- クエストやイベントが非常に多く、自由に冒険できる楽しさがある。
- 戦闘システムがシンプルで、初心者でも簡単に操作できる配慮がなされている。
- ストーリーをサクサク進められ、やり込み要素も多く楽しめる作品である。","- 縛りプレイを試みたが、RPGの特性上、レベルを上げれば簡単に突破できると感じた。
- 自由度が低く、マップのディテールやストーリー展開には不満があった。
- 主人公の名前を決めるのが面倒で、ボタン変更がゲーム開始前に反映されないのも不便だった。
- 3Dと2Dの選択は良いが、もう少し完全な形での提供を望む。
- 自由度が不足しており、高性能やシナジーの要素が皆無だと感じた。
- ストーリー進行に強い制限があり、クエストも単調でやりがいがなかった。
- 行き先が固定され、自由に探索できないことに不満があった。
- ハウジングの必要性も疑問で、自由な移動ができないのが残念だった。
- シンプルすぎるゲームデザインで、遊び方が限られているように思えた。
- 行動とムービーが交互に続く構成に、操作させてほしいとの思いを抱いた。","- 縛りを無視すれば簡単だが、全ての縛りを守ると難易度が上がる。
- 2Dモードも利用可能で自由度が高い。
- 一般的なプレイでは簡単すぎるため、過去作経験者には敵が強い縛りが推奨される。
- バランスや自由度は高く、ドラクエらしいシンプルなストーリーが展開される。
- めんどくささも感じるが、プレイスタイルによって楽しめる。"
