aspect,pos,neg,neu
操作のしやすさ,"- アップデートによりUIが改善され、遊びやすくなった。
- iPad版のタッチ操作は優れているが、PC版はマウスとキーボード向きでゲームパッドには不向き。
- 日本語化の方法は簡単で、操作はシンプルなターン制RPGとなっている。
- プレイが非常にスムーズで、リソース管理の要素が一般的なRPGとは異なり、新鮮さがある。
- マウス操作だけで片手でプレイできるため、便利だと感じた。
- 操作は直感的で分かりやすく、コントローラーは難しいがそれが楽しさを増している。
- UIは見やすく、アイテム管理やマップ確認が容易である。
- MODによるカスタマイズができ、入れ方も簡単に理解できる。
- システムは戦略が重要で奥深いが、基本的にはシンプルで理解しやすい。
- ストーリーは薄いが、英語力に自信がないプレイヤーでも楽しむことができる。","- UIは分かりにくい。
- 操作性にストレスを感じた。
- 移動が面倒だった。
- 攻撃が失敗しやすい。
- キャラ保管のUIが使いづらい。
- 既存クラスでプレイすることにストレスを感じた。
- 一度のクリックが正常に反応せず、ボタン連打を強いられる。
- アイテム入手後にタブの切り替えが面倒。
- 操作性が悪く、全体的にストレスを感じるゲームだった。 
- 操作上のストレスが非常に強かった。","- UI系のmodを導入することを推奨する。バトルや移動の速度改善が必須だと感じており、インベントリの拡張も必要だと思う。
- コントローラ操作に慣れるまで苦労するが、慣れてしまえば直感的に操作できる部分もある。操作が難しくて思わず芸人の〇鳥のようになってしまうこともある。
- ゲームの進行やアクション、戦闘システムは「Home Behind 2」に似ているが、ターン制とリアルタイムの違いがある。"
難易度の適切さ,"- 本編は時間をかければクリア可能だが、面白さを理解するのに時間がかかる。
- 難易度は高いが、しっかりした設計により進行のカギを押さえればクリア可能。
- 序盤の難しさとLv5ダンジョン以降の難易度集中が特徴。
- 戦略をじっくり考えれば高難易度も乗り越えられる。
- チュートリアルで全滅することもあるが、防具強化が大きな助けになる。
- 難易度はスキルに合わせたプレイができ、理不尽さもあるが楽しさがある。
- プレイヤー精神に挑戦してくるボス戦は攻略が必要。
- 高難易度を楽しむためには、戦略が重要である。
- バランスの取れた難易度設定が印象的で、クリアできる可能性がある。
- 難しいがそれが面白さにつながり、プレイヤーを惹きつける要素がある。","- このゲームは高難易度で強クラスしか選べないが、すぐに冷めてしまうことがある。
- 終盤の難易度が非常に厳しく、ストレスが溜まりやすいゲームである。
- 初見殺しや理不尽な死が多く、容赦なくプレイヤーを襲うため、難しさを楽しめる人向け。
- 高レベルになると敵のステータスが急激に上がり、特にボス戦が厳しく感じられる。
- 難易度が非常に高く、運の要素も影響しやすく、挫折感を抱えるプレイヤーもいる。
- 戦闘バランスが昔風であり、選択を間違えると全滅しやすい。
- ゲームの進行が単調になりやすく、後半になると徐々にマンネリ化する。
- 難易度設定が高く、完璧なプレイを求められ、それに耐えられる人でないと厳しい。
- バランス調整が不足し、難しいことに加え理解しづらい部分も多い。
- 歯ごたえがあると言うよりは、理不尽なゲームであると感じるプレイヤーが多い。","- 装備が不十分でも生き残れるが、ストレスを感じることがある。
- ゲームの難易度はプレイヤーの設定やMOD次第で調整可能である。
- ヒーローをじっくり育ててからダンジョンに挑戦するのが重要。
- 難易度は中程度で、最初は難しく感じるが慣れれば楽しめる。
- 理不尽なデバフがあるが、挑戦してクリアする楽しみもある。
- 光源の状態によって戦闘の難易度が変わるシステムがある。
- 最高難易度は非常に高く、MODの使用が推奨される。
- 超ストレスを覚悟でプレイすれば楽しめる要素もある。
- 難易度は高めだが、そこまで大げさではないとの意見もある。
- 大人のプレイヤーはストレスを軽減しながら楽しむことができる。"
進捗の明確さ,- プレイヤーはアイテムや能力の効果を学びながら試練を乗り越えていく。,,
目的の明確さ,"- ゲームの全体的な目標が理解できた。
- 最終目標は「ダーケストダンジョン」に挑むこと。
- 主人公は街の新領主で、街を成長させながら冒険者を管理する要素が強い。
- 冒険者たちを率いてダンジョンを征することが求められる。
- 自分の選択した行動とその結果には意味がある。
- 目標を達成していく遊び方が良いと感じる。
- 町を育てるゲームだという全体的な目的が理解できた。
- 最難関のダンジョンでラスボスを撃破することが最終的な目標。
- 村を育成するゲームだと考えられる。","- このゲームはお気に入りのキャラクターで敵を倒す爽快感を得るものではない。
- ゲームの説明が少なく、調べながら進めることが求められるため、ストレスに感じる人もいる。
- ストーリーは存在するが、工夫が足りず、感情移入が難しい。
- キャラクター育成よりも町を舞台にすることがメインで、育てすぎると行き詰る。
- ストーリー性が抽象的で、プレイヤーは感情を抱きにくい。
- クリア前にはゲームの面白さが理解できない欠陥がある。
- プレイヤーが集められた目的が不明瞭である。
- ヒーローを使い捨てにすることが推奨されているデザイン。
- 雇用コストがゼロで解雇が簡単な仕組み。
- ストーリーや目的がほとんどおまけのように扱われている。","- 各ボスの討伐がこのゲームの最終目的である。
- 複数の目標をクリアしてボスを倒すことが重要視されている。
- 終盤には特別なラストダンジョンへの挑戦が目的となる。
- 最終的にはDarkestDungeonを攻略し、狂気を終わらせることが目指される。
- 明確な目的意識と知識があれば、効率的な攻略が可能になる。
- ダーケストダンジョンの攻略がプレイヤーの流れとなっている。
- プレイヤーは領主としての立場にあり、操作キャラクターではない。"
視聴覚の魅力,"- 丁寧に作られた世界観と愛嬌のある敵モンスターが魅力的。
- ダークファンタジーな雰囲気やBGMが印象深く、ゲーム全体にぬくもりが感じられる。
- グラフィックやナレーションがゴシックホラーの雰囲気を見事に表現している。
- 戦闘演出やナレーションがゲームの雰囲気を引き立てている。
- 高評価なグラフィックデザインやユニークなキャンプシステムが楽しさを増す。
- BGMや戦闘中の実況が独特で没入感を高めている。
- 世界観やキャラクターデザインにクトゥルフ神話の影響が見られる。
- 緊張感を持ったダンジョン探索がゲームの魅力の一つ。
- ダークなビジュアルや独特の絵柄が印象的で、雰囲気が良い。
- 全体的に素晴らしいゲーム体験で、かなりおすすめ。","- 戦闘のアニメーションのテンポが悪いと感じた。
- 雰囲気は良いが、中身がイマイチだったという印象。
- 絵柄が好みではないと述べている。
- 翻訳の質が悪くて分かりづらい部分があった。
- ジメジメした雰囲気や血生臭さが合わないと感じている。
- 絵のセンスがダサいとの指摘がある。
- キャラの立ち絵に満足していないが、MODのクオリティは高い。
- 戦闘中の背景が3Dで動くことが気持ち悪い原因になっている。
- 全体的に陰鬱な雰囲気がキャラにストレスを与える。
- 音が出ない問題や暗い運ゲーが続くことに不満がある。","- 雰囲気ゲームであり、あまり真面目にプレイしない方がいい。
- ゴシックホラーの見た目で、世界観は好きだがキャラクターへの愛着は感じなかった。
- ダークなゲーム画面が印象的で、暗い世界観が受け入れられるなら良い体験ができる。
- ローグライクRPGとしてのまともな要素があることに気が付く。
- ゲーム自体は派手ではなく、テーブルトークRPGに近い雰囲気を持っている。
- 雰囲気や世界観は高く評価できるが、キャラクターに魅力が欠けている印象。
- 全体的に楽しむためには、軽い気持ちでプレイするのが推奨される。"
遊ぶ意義,"- キャラクターと共に喜びや悲しみを体験できる素晴らしいゲームである。
- プレイヤーはキャラの成長を喜び、死による悲しみを味わうことで愛着を抱ける。
- ゲームを通じて得た体験は悪くなく、ストレスの重要性を理解させられる。
- 死と隣り合わせのダンジョンがリアルに感じられ、プレイを勧める価値がある。
- 自らの選択が結果に影響するため、挑戦する意義を感じられる。
- 焚き火を囲むキャラクターたちの絆が楽しく、ゲームの楽しみの一部になっている。
- プレイヤーは愛着を持ちながらキャラを育てることができる。
- ブラック企業のロールプレイを楽しむことで、ストレスコントロールが楽しくなる。
- 独特な暗い世界観があり、感情移入しやすい設計になっている。
- ダンジョンクリアの達成感や、プレイの意義を感じられるゲームである。","- ヒーローは使い捨ての駒として扱うべきで、愛着を持たない方が良い。  
- ゲームの理不尽さが際立っており、クトゥルフ的な感覚はあるが、遊ぶには難しさがある。",
没入感,"- プレイ中に周囲が気にならなくなり、夢中になれるゲームである。
- 中毒性が高く、繰り返しプレイしたくなる楽しさがある。
- 緊張感があり、手に汗を握るハラハラする戦闘が魅力的である。
- 音楽やナレーションによる没入感が高い。
- ダンジョン探索におけるドキドキ感が癖になる。
- 戦略を練ることができ、楽しさを見出せる部分が多い。
- ストーリー展開が暗いが、クトゥルフ神話の要素が引き込まれる。
- プレイ時間が気づかないうちに長くなり、時間を忘れて夢中になれる。
- 緊張感が常にあり、最後まで楽しめた。
- ゲームに夢中になってしまう面白さがある。","- プレイヤーは精神的圧迫を受け、多くの犠牲を出すことになる。
- ゲームはプレイヤーの精神に直接的な影響を与える設計になっている。
- 冒険者のストレスとプレイヤーのストレスが連動している感覚を持つ。
- 暗いダンジョンでの冒険は限界までストレスを引き起こす。
- 残酷な領主が冒険者を街から追い出す描写が印象的。
- キャラクターのストレスパラメータの管理が極めて重要である。
- プレイヤーは自己およびキャラクターのストレスをうまく管理する必要がある。
- 周囲の状況に気付かなくなり、パーティが崩壊することがある。
- プレイ中にリアルのストレスゲージが増加していく印象を受ける。
- 最後には狂乱の中でプレイを続け、思わず物に当たることもあった。","- 周囲の状況に気付かなくなるほど没入感がある。  
- ダークな雰囲気が良く表現されているが、世界観に浸るには英語力が必要。"
成長感の得やすさ,"- 経験を重ねてキャラに愛着を持ち、育成を楽しむ過程が魅力的である。
- 冒険者の能力向上が明確に感じられ、攻略の達成感が大きい。
- 中盤での進行感が面白く、育成したキャラが主戦力になる楽しさがある。
- 理不尽な探索を繰り返し、成功を収めることで自分の戦略が芽生える。
- 難易度は高いが、試行錯誤を重ねることで安定したプレイが可能になる。
- 後半は育効果が早く、心配なくゲームに集中できる。
- 階層ごとに特徴が異なるダンジョンの攻略を楽しめる。
- プレイを通じてシステムに慣れることで、より効率的に遊べるようになる。
- ストレス管理を学びながら進めるのが、このゲームの独特な魅力である。
- やりがいのある育成要素と戦闘が楽しめる、歯ごたえのあるRPGである。","- キャラクターの育成に価値を感じにくい。
- 強化方法がアイテム、スキル、レベルアップの三つだが、うまく機能していない。
- 愛情を注いだキャラを失った時の喪失感が大きい。
- 複数のキャラを育てる必要があるが、キャラが廃人化してしまう。
- キャラを育てるより施設をアップグレードして高レベルキャラをリクルートした方が効果的。
- レベルアップが難しく、成長が止まることで飽きが来る。
- 理想のキャラクターが育てにくく、最強にはなれない。
- 成長限界が低く、進行が苦しくなる。
- 育成の楽しみや喜びが少なく感じられる。
- 道中の難易度が面倒で、クリア後に面白さを理解する必要がある。","- ヒーローが死ぬと生き返らないため、次の育成には短時間で済むはずだ。  
- 繰り返し育成することで知識や経験が蓄積され、ある程度の安定感が出る。  
- ゲームはセオリーや勘を積み重ねていく壮大な覚えゲーである。  "
好奇心への刺激,"- 作業が秘密の部屋や異なる雰囲気の部屋で行われ、興味を刺激される。
- ゲームの進行や戦略を知りたくて調査をする楽しさがある。
- ゲームの進化を調べ、アップデートに期待している。
- ダンジョンからの収入の使い方を考えるのが楽しい。
- 仕様がわからない時のワクワク感が特に強い。
- 毎回新しさを感じ、理解が進むと面白さが増す。
- 未試行のMODが多く、再プレイを計画している。
- 日誌を読むのが楽しく、もっと多くのコンテンツが欲しい。
- 白熱したボス戦が新たな刺激を提供する。
- ワークショップが充実しており、無限に遊ぶ楽しみがある。",- ゲームの性質上、使い捨ての理由があると考えられる。,"- ヒーローのアイコンがバケモンになる現象について興味がある。
- TRPGやダクソ系、ローグ系の情報を調べることを勧めている。
- ゲームの進化に関心があり、その調査を希望している。"
自由度,"- 難易度を下げるMODを導入すれば、気軽に楽しめる。 
- 自分好みのスキンを変更し、自由にプレイスタイルを選べる。 
- 時間的な縛りがないため、気楽に遊びやすい。 
- MODで遊び方を多様化でき、自分の理想に近づけることができる。 
- ダンジョン探索は自由度が高く、パーティ編成やアイテム選択が楽しい。 
- 多数のMODが利用可能で、飽きることがない。 
- 難易度調整やキャラクター追加が簡単で、プレイヤーの好みに対応している。 
- ゲームプレイの自由度が非常に高く、自分のやりたいように楽しめる。 
- フィードバックを得てプレイスタイルを更新できる点が魅力。 
- リプレイバリューが高く、毎回新しい体験を提供する。","- ゲームのシステムに対する強制感が嫌で、楽しくなくなった。
- 雇用コストがなく解雇も簡単で、作業感が増す。
- 育てたキャラが無双できる場が欲しいと感じた。
- 装備枠の少なさやカスタマイズ性の低さに不満がある。
- ヒーローへの愛着が湧かない。
- MODが豊富だが、翻訳が不十分な部分もある。
- 雇用システムについてのストレスを感じる。
- 攻撃が外れることが増え、ゲームバランスに不満。
- キャラの特徴を簡単に修正できる点が欠点として挙げられる。
- プレイスタイルの幅が狭く、セーブエディターを使うことがある。","- ゲームはMODなしだと難易度が高いが、MODを使うことでキャラのバリエーションが増え楽しめる。
- 毎回異なるパーティーと戦闘スタイルでプレイするのが特徴。
- プレイヤーにもっと自由なスタイルを提供する余地があると感じる。
- パーティーやトリンケットの構築には時間がかかる。
- 安全にプレイするためには注意深い行動が求められる。"
