aspect,pos,neg,neu
操作のしやすさ,"- ゲームパッドでの操作は便利で、ファストトラベル地点も多い。
- 3人称視点でのプレイができない点はマイナス。
- キャラメイクができても、自分の姿を見る機会は少ない。
- UIや操作性はアップデートで改善され、楽にプレイできる。
- メニューは直感的でわかりやすいと感じる。
- アクションに没入できるストレスフリーな体験。
- ハッキング時の時間が遅くなり、操作しやすい。
- 車の操作は難しいが、街の特性上楽しめるようになる。
- クエストの選択肢が多様でプレイスタイルを自由に選べる。
- 移動手段が豊富で、オープンワールドの探索が楽しい。","- UIや操作性が不便で、特にクラフト機能が面倒である。
- 車の主観視点が使いにくく、視界が悪いため運転が難しい。
- 操作方法やメニューの不親切さがストレスを生む。
- キーバインドが限定されており、操作が厳しいと感じる。
- アイテムの取得が面倒で、ファストトラベルも煩雑である。
- 選択したアイテムを簡単に売買できないため、ストレスが溜まる。
- サブミッションや乗り物の変更方法が分かりづらい。
- カメラの動きに問題があり、視点が不安定になることがある。
- 武器の操作や切り替えが面倒で、管理が煩雑であると感じる。
- バグや操作性の問題でプレイ中に不快感が生まれるケースが多い。","- 慣れるまでに誤操作が多かったが、3時間プレイしたら慣れた。
- 車を操縦する場面が多く、ゲームパッドでのプレイが快適だった。
- FPSと比べると操作はあまり俊敏ではないが、強化次第で素早い動きが可能になる。
- 戦闘操作のチュートリアルは充実しているが、セーブやインベントリー周りの説明が不足している。
- 説明がない部分に悩むこともあるため、早めにチュートリアルの追加を望む。
- MODを導入すれば問題点の改善の余地がある。
- UIは分かりづらいが、システムの気配りは感じられる部分が多い。"
難易度の適切さ,"- 敵の難易度に合わせてプレイヤーのスキルが求められるが、楽しめるように設計されている。
- エンディング達成は簡単で、難易度を調整できるためプレイヤーに優しい。
- ベリーハードでもほぼ無双できる爽快感があり、ゲームバランスが良い。
- 複数の難易度設定があり、誰でも楽しめる工夫がされている。
- 一部のミッションは簡単で、サクサクプレイできる。
- プレイスタイルによって戦略が多様化し、楽しむことができる。
- 難易度を下げることで野心的なプレイが可能になるため、初心者でも安心。
- バランスの良い難易度設計がされているため、どのプレイヤーでも楽しめる。
- 難易度を自由に変更でき、ストレスなくプレイできる点が評価されている。
- 結局、プレイヤーの腕によって難易度を調整しながら楽しむことができる。","- 序中盤が難しく、特に狙撃や武器の弱さが苦戦を招いた。
- ベリーハードでも物足りなさがあり、ハードでもアッサリと死ぬことがある。
- 難易度が上がっても敵が弱く感じ、戦闘の比重が低い。
- 難易度ハードではスキルレベルに合わない部分もあり、敵のハッキング攻撃が強い。
- 高難易度でも工夫しなくてもクリアできると感じることがある。
- ノーマルだと作業感が強く、ハードは注意が必要。
- 敵が強すぎてプレイヤーの攻撃が効かず、詰むことが多い。
- ステルス行動が難易度を上げることが多く、結局ごり押しになりやすい。
- プレイヤーの強さがあまり上がらず、敵が硬すぎると感じる。
- 結局ハッキング戦法が単調になり、緊張感がなくなる。","- ストーリーは難解で理解しにくかった。
- ハードモードではすぐに死ぬため、ハッキングを活用して戦う必要がある。
- 戦闘は単調で、主人公が強すぎるため敵が弱く感じることが多い。
- 敵に囲まれるとパニックになりがちだが、なんとか対処できそう。
- ノーマル難易度でクリア可能で、100時間前後で全クリできる。
- ノーマルでは刀を振り回すだけで勝てるシンプルさがある。
- 戦闘に慣れればストレスは少なく、突っ込むことも可能。
- ステルスやクイックハックも楽しめるが、装備が整うまでストレスを感じることがある。
- 縛りプレイをしないと後半は簡単に感じる。
- 高難易度でも無双感が強く、作業感を覚えるため、もう少し手応えのある戦闘が望まれる。"
進捗の明確さ,- 快適に最後までプレイできた。,,- ミッションステータスが進行しないが、ロードで修正可能。
目的の明確さ,"- プレイヤーに自分の生き方や死に方を考えさせる作品である。
- 結末を自分で選ぶことができるが、選択の責任は伴う。
- ストーリー重視であることが理解できる内容になっている。
- ストーリーを進めなければ長時間遊ぶことができる良いゲームである。
- プレイヤーがどう行動するかによって体験が変わる。
- メインストーリーだけでなく、サブクエストも重要で世界観を理解するために必要である。","- 自由にプレイするゲームではなく、メインストーリーが全てを束縛している。
- ストーリーを進めることに達成感が感じられない。
- 主人公Vの役割が規定されており、物語から逸脱できない。
- オープンワールドで遊ぶ感覚がストーリーと合わず、不自然に思える。
- ストーリーがゲームの大部分を占め、決まったルートで進む必要がある。
- クリア後のコンテンツがわかりやすくない。
- ストーリーや用語が複雑で、理解しづらい部分がある。
- プレイヤーに既知の情報を前提に話が進むことが多い。
- 据え置きの自由度を感じられず、メインシナリオに縛られた印象が強い。
- 結局、自由なプレイとストーリーの融合が不十分である。",
視聴覚の魅力,"- 翻訳と吹替えが素晴らしく、特にローカライズ班に感謝している。
- 美麗な画質で、マップの作りこみにも感心した。
- サイバーパンクな世界観が魅力で、ナイトシティを歩くだけでも楽しめる。
- 映像や音楽が素晴らしく、没入感が強い。
- ローカライズが完璧で、日本語の翻訳も自然で心地よい。
- 街中のNPCがフルボイスで、シナリオ進行の質が高い。
- グラフィックや音響が高品質で、特に音の演出が印象的だった。
- 巨大都市としてのナイトシティが圧倒的で、さまざまなエリアが楽しめる。
- サイバーパンクの独特な雰囲気が再現されており、特に悪化した社会の描写が印象的。
- サイバー感満載のゲームで、ストーリーやキャラクターにも深みがある。","- プレイ時はグラフィックが劣化して見えるが、景観は非常に美しい。
- 世界観は良いが、オブジェクトや店の作りが雑に感じる。
- 日本語の音声がないのが不満で、吹き替えの質も低い。
- ゲームの雰囲気や美学は評価できるが、バグが多く没入感を損なう。
- グラフィックの条件が厳しく、十分な性能を持たないと楽しめない。
- ナイトシティの再現度は高く、探索しているだけでも楽しい。
- キャラメイクがメニュー画面でしか体験できないのが残念に思う。
- モブの会話の字幕が小さく、読みづらいのが不満要素。
- グラフィックは綺麗だが、多くのバグに悩まされる。
- ゲームのストーリーやキャラクターには魅力を感じるが、全体的な面白さが不足している。","- ナイトシティの景色やBGM、世界観が魅力的で楽しめる。
- グラフィックやストーリーは評価が高いが、バグが気になる。
- 都会部分の夜景は美しいが、田舎や荒野の部分はサイバー感が薄い。
- ゲーム起動時のイントロがダークで初見には怖いと感じる。
- プレイヤーがグラフィックを調整することでプレイしやすくなる。
- GPUのバージョンアップが推奨され、HDR設定が改善に寄与する。
- 美しいマップとストーリーへの没入感がある。
- 世界観やダイアログのスクリプトは良好だが、メインストーリーの期待が低い。
- サイドクエストは豊富で多彩な体験ができるためオススメ。"
遊ぶ意義,"- 近未来都市ナイトシティでのサイバーパンク体験が楽しめるゲームであり、没入感がある。
- 王道のサイバーパンクな世界観やキャラクターが魅力的で、ゲーマーにおすすめ。
- 日常生活に楽しみをもたらし、プレイすることが明るい気持ちにさせる。
- 技術や進歩に関する深いテーマや人間の思いについて考えさせられる内容がある。
- 自由な選択が可能な夢の街の設定が、飽きずに楽しめるポイント。
- アクションRPGとしても多様なプレイスタイルが選べるため、様々な楽しみ方ができる。
- シナリオが深く、プレイヤーの選択によって物語が大きく変化する。
- 暗いテーマが含まれているが、それによって感情的な深みを得られる。
- サイバーパンクの世界観に没入できるゲームで、視覚的にも楽しませてくれる。
- プレイすることの意義が強く感じられ、心に響く体験が得られる。","- ナイトシティの世界観が魅力でおすすめだが、バランスやバグが多く手放しでは推奨できない。
- 映画「ブレードランナー」や過去のTRPGを思い出させる素晴らしい世界観があった。
- ストーリーは短く、重い内容だがプレイヤーの意義が薄れていると感じる。
- ゲームはプレイヤーを疲れさせるが、それでも大好きな部分がある。
- ゲーム制作チームの熱意は伝わってきた。
- 総じて、プレイヤーの時間を取られがちな印象が強い。","- 街の作り込みが非常に精密で、サイバーパンクのカオスな世界観が楽しめる。ゲームのプレイ自体は虚無感が強いが、映像作品としてのインパクトは高かった。特に街のディテールには満足しており、ストーリーよりも演出を楽しむ方に向いている。自分にとってこのゲームは意義深いものであったが、期待には及ばなかった。サイバーパンクの雰囲気を楽しむことが求められる作品になっている。
- ゲームのサイバーパンク要素が好きな人には申し分ない出来。世界観が深いため、サイバーパンクにあまり興味がない人には辛いかもしれない。プレイヤーはその雰囲気を楽しむ意識が必要だと感じた。評価は個人のサイバーパンク小説への思い入れによって変わるだろう。進化を感じる体験ができることに期待している。"
没入感,"- ゲームに没入して時間を忘れるほど楽しむことができる。
- グラフィックやナイトシティの作り込みが素晴らしく、魅力的な景観が広がっている。
- 戦闘やシナリオは細部にまでこだわりがあり、プレイヤーを引き込む要素が豊富。
- キャラクターの描写や会話が丁寧で、リアルな体験を提供している。
- 音響や一人称視点により、本当にその場所にいるかのような感覚を味わえる。
- ナイトシティを歩くだけでも楽しめ、街の生き生きとした雰囲気を感じられる。
- 定期的に再プレイすることで新たな発見があり、ゲームの深さに気付くことができる。
- シナリオが映画のように展開され、感情移入しやすいストーリー構成が評価されている。
- インタラクションが豊富で、プレイヤーの行動がゲーム世界に深く反映される。
- サイバーパンクの世界観に完全に浸ることができ、圧倒的な没入感が体感できる。","- ゲームプレイは没入感より虚無感が強いと感じた。
- 主人公の脳内に主要キャラがいることで没入が困難になっている。
- バグが多く、プレイ中の没入感が全く感じられなかった。
- 不可解な死が頻発し、主人公への感情移入ができない。
- 多数のバグによって没入感が台無しにされている。
- プレイ中は現実に引き戻され、まともに生活できなくなる影響があった。
- 没入感の無さがゲームの致命的な欠陥だと思う。
- ストーリーに入り込むことができず、面白さが損なわれた。
- 主人公のセリフが没入感を奪っていると感じた。
- ゲームの内容にのめりこむことができず、非常にもったいないと感じている。","- プレイヤーは周囲の状況を無視してしまい、狂った描写を目の当たりにすることになる。
- プレイ中の没入感が乏しいという意見が分かれている。
- しかし、特に気にせずにプレイを楽しむことができる。
- 今後、没入感のある景観が期待される。
- 全体的に意見が分かれる内容ではあるが、楽しめる要素も存在する。"
成長感の得やすさ,"- アイテムをクラフトして強化し、州境を襲って遊ぶループにハマっている。
- 総合的に面白く、1000時間近くプレイして全実績を解除した。
- 多様なスキルツリーにより、自分好みのキャラ育成が可能。
- 特化型のビルド構成やロールプレイが楽しめる。
- ハッキングやステルスなど、戦闘スタイルを自由に選べる。
- スキルポイントを振り分けて個性を出しながら成長感を感じられる。
- FPS初心者でも慎重に進めばクリア可能で、難易度設定が親切。
- ステータスによって選択肢が増えるのも魅力的な要素。
- ゲームプレイが進むほど、熟練した感覚や達成感が得られる。
- 武器の種類が多く、様々な戦略で遊ぶことができる。","- 自キャラは成長するが、常に物足りなさを感じる。
- マックス育成後の強さは次元を超え、最高難度でも簡単に感じる。
- 成長要素は存在するが、面白さを欠き苦痛に感じる。
- スキルの不足が唯一の不満点である。
- 育成方法が理解できず、困惑した。
- キャラクター成長に関する要素は全て変更されている。","- 装備を更新してスキルを向上させることで、長時間のダメージを与えられるようになる。
- その結果、攻略がそれほど難しくはなくなる。
- 効率的な戦術によって楽に進められる印象がある。"
好奇心への刺激,"- 装備やパークが揃うとゲームが面白くなる。
- 一周クリアしても未探索の部分が多く、世界観に深みを感じる。
- ジャーナルの文を読むことでサイバーパンクの世界が広がる。
- ゲームの進化やストーリー展開に興味を持つ。
- 男性主人公のロマンスを楽しむために2周目をプレイ中。
- 初見プレイでは気づかなかったことが多く、何周も楽しむことができる。
- サブミッションや選択肢によって多様な展開が楽しめる。
- 街の作り込みが非常に魅力的で、ワクワクする。
- ストーリーの分岐ややりこみ要素が豊富で、満足感がある。
- 新しい世界での期待感や今後のアップデートにワクワクしている。","- 本作のシナリオが期待外れであると感じた。
- 正規ルートのストーリーがあったのではないかと思うと残念だ。
- 攻略情報は自分でネットで探さなければならない。
- レイトレーシングを体験するためにインストールした。
- ナイトシティに興味がないなら別のゲームを選んだ方が良い。
- ネット上の情報は初期と後期の内容が混在していて紛らわしい。","- 技術の発展した世界での物語だが、登場人物の行動は普遍的な理由に基づいている。
- ナイトシティの理解には全てのサブストーリーを攻略しても1周では足りない。
- ゲームの進化や試合の進行が気になり、続きが知りたいと思った。
- 現在はパルクール的要素が強いゲームだと感じている。
- ナイトシティの建物に全て入れることができたら、さらに素晴らしいゲームになるだろう。
- アメリカを舞台にしているゲームの雰囲気に疑問を持っている。
- 各言語の使用場面を理解することができるのが面白い。
- パークの取得方法やステ振りについて調べておくことを提案している。
- 性別を変えて異なるプレイスタイルを試してみたいと思っている。
- 1月と2月には大規模アップデートが予定されており、その影響が気にかかる。"
自由度,"- クエストへのアプローチが多様で、自由にプレイできることが魅力。
- キャラクターのライフパスやビルドにより、個性的な遊び方が可能。
- 複数の侵入ルートや戦闘スタイルがあり、自分のやり方で展開できる。
- ナイトシティの広大なオープンワールドを探索し、自由に成長できる点が好評。
- 戦闘システムが充実しており、さまざまな攻撃手法が選べる。
- 自分好みにキャラクターを改造したり、選択肢を選ぶことで独自の体験が得られる。
- 選択肢の豊富さが、プレイヤーの選択によるストーリーの変化を楽しませる。
- 自由に遊べる要素が多く、探索やサイドジョブも満喫できる。
- 複数のプレイスタイルに対応しており、飽きずに楽しめる。
- キャラクターの魅力を引き出すビルドや選択肢が多彩。","- 乗り物の操作性やカスタマイズに難があり、自由にプレイできない。
- メインストーリーがプレイヤーの自由意志を否定し、自由度が低い。
- ほとんどの建物に入れず、屋台やバーも全店共通のアイテムしか販売していない。
- プレイヤー選択肢が少なく、できることがほとんどない。
- 自由度が高そうに見えるが、結局はメインストーリーに縛られる結果となる。
- ロールプレイの不自由さが致命的で、リプレイ性も低い。
- キャラメイクやカスタマイズがあまり意味を持たない。
- 自由に探索したりストーリーを進行したりするのには不向き。
- ストーリーに自由度を求めると満たされない思いが生じる。
- 自由度や楽しさが半減し、後半はヌルく感じがちである。","- 自由度が高く、プレイヤーの選択によって体験が変わる。
- 空飛ぶ車や自由な探検要素があれば良いと感じる。
- 割り振った能力値でアクションが増えるのが良い。
- ロールプレイがしやすい要素があり、楽しめる部分がある。
- ファーストトラベルが不便で、プレイヤーに制約を与える要素がある。
- 協力プレイやロールプレイを楽しみたいと思っている。
- ロールプレイが合わない部分はあるが、割り切って楽しめる。
- 難易度を下げればプレイしやすくなる。
- 自分はハマったが、批判対象にもなり得る。
- 初めてのオープンワールドゲームで新鮮な体験をしている。"
