aspect,pos,neg,neu
操作のしやすさ,"- 操作性は全体的に良好だが、移動時に滑る挙動があり、アイテムを拾うのが難しいと感じる場面があった。
- パッド操作はまずまずだが、マウス操作には遅延が目立つ。
- チュートリアルは非常に丁寧で、途中でOFFにするほど過剰に感じた。
- UIや戦闘システムは前作に比べて改善されており、プレイヤーは直感的に操作できるようになった。
- 移動の慣性を軽減するオプションやMOD導入が可能で、快適にプレイできる環境が整っている。
- 複雑なシステムを全部理解しなくても遊べる優しさがある。
- マップに目的地が表示され、直感的に道を進めて迷いにくい設計になっている。
- ただし、操作にクセがあり、特に方向転換や水中操作に難があることが指摘されている。
- 戦闘やストーリーの進行がスムーズで楽しめる部分が高く評価されている。
- 全体として、操作性の改善が見られ、高い完成度を持っていると感じるレビューが多かった。","- インベントリ操作は向上したが、慣れるまで苦労することがある。
- ゲラルトの操作は機敏だが、キー入力のラグがあり狭い場所での動きに苦労する。
- UIが使いづらく、移動がもっさりしているため操作性に不満がある。
- 戦闘における方向キーの反応が悪く、敵に勝手に攻撃することがある。
- プレイに小さなストレスを感じるが、物語に引き込まれる部分もある。
- 操作性の改善MODが必須との意見が多く、古さを感じる。
- 移動時の慣性があり、アイテムを拾うのがストレスになることがある。
- UIが見にくく、視点の変化がテンポを悪くする。
- 戦闘の動作に慣れるまで時間がかかることがあり、テンポに不満がある。
- 全体的に操作性の悪さから、ストレスが溜まったり酔ったりすることがある。","- 操作性に難があり、イライラ感があるが妥協できるレベル。
- ファストトラベルポイントが多く、移動は楽だが、馬の呼び出しで困ることもある。
- 操作に慣れれば問題はないが、源泉的なストレスを感じることがある。
- 序盤は慣れにくいが、ゲーマーなら乗り越えられる。
- UIはやや不親切だが、全体的には許容範囲。
- チュートリアルが短く、システムの理解には時間がかかるが、慣れる。
- 操作方法の習得には少し苦労する。
- 乗馬時のダッシュは不便で、指が疲れるとの意見がある。
- キーコンフィグを調整しないと戦闘が厳しいことがある。
- 操作は前作とあまり変わらず、サイドクエストを進めてレベルを上げる形。"
難易度の適切さ,"- 難易度設定が多様で、プレイヤーに合わせて楽しめる設計がされている。
- アクションが得意な人にとってはハードコア以上の難易度も楽しめる。
- ストーリーを楽しみたいプレイヤーにも配慮されたバランスがある。
- 各クエストには推奨レベルが設定され、無理なく進めることができる。
- 戦闘は緊張感があり、慣れるとドクロマークの敵も倒せるようになる。
- 全体として、戦闘の難易度は理不尽さが減り、プレイしやすくなった。
- 初見で最高難度を選ぶのは難しいが、経験があれば挑戦する価値がある。
- 難易度を調整すれば、アクションが苦手でも楽しめる内容になっている。
- 戦闘はシビアで、単純に攻撃するだけでは勝てない工夫が求められる。
- 最終的には、合計で125時間以上プレイできるほどのボリュームがある。","- 戦闘はステップ回避を重視し、ローリングが重要な役割を果たす。
- 難易度が一段階違うだけでゲームの進行が大きく変わる。
- 経験値が少なく、敵を倒す意味が薄い設定。
- ゲームは高難易度であり、特に町の衛兵が強すぎる。
- レベル依存の進行が難しく、自由度が低い。
- 初期レベルではかなり困難で、適正外の敵に出くわすことも多い。
- 戦闘バランスに不満があり、DLCでの難易度上昇が特に感じられる。
- 序盤の進行が強烈に厳しいが、中盤以降は主人公が強くなりすぎる。
- サブクエストで推奨レベルと現レベルの差があると経験値が激減する。
- アクションとしての難易度はそれほど高くないとの意見もあるが、全体的な難しさがプレイヤーによって異なる。","- 推奨レベルがあり、敵の体力上のドクロを見て戦闘を避けるべきと感じる。
- 特定の戦法でゲームを通して簡単に勝てるように思う。
- 戦闘は単純で、魔法の印が強力なため、特化すれば簡単に敵を倒せる。
- 戦闘の難易度はそれほど高くないと感じる。
- 初見の敵や慣れていないときは面白いが、慣れると普通に感じる。
- 難易度が高めなので、攻略サイトや動画で事前に予習を推奨。
- アクション要素は面白いが、人によっては難しくないと感じるかもしれない。
- DLCのラスボスを除いては、難易度はそこそこに収まっている。
- ゲームにはいくつかの難しさがあったが、慣れてくると楽になる。
- バグがないと油断すると簡単に死ぬことがあるので注意が必要。"
進捗の明確さ,"- 実績が78あり、本体やDLCの進捗がわかりやすい。  
- マップ上に未踏破の地点が「？」マークで示され、進捗状況を把握しやすい。  
- モンスター討伐ややりこみ要素が豊富で、ゲームプレイに満足感がある。  ",- クエストが多すぎて進め方や行き先がわからなくなることがある。,
目的の明確さ,"- ストーリーを進めることで自然にレベルが上がる仕組みがある。
- 主人公や重要人物の背景を理解するとより楽しめる。
- RPGの基本である大きな目標と小さな目的が明確で、オープンワールドでも迷わない。
- 話の内容は90%程度理解できた。
- ゲームの目的やルールが明確で、メインストーリーも充実している。
- 目的を見失うことなくプレイ可能で、好みに応じて進められる。
- メインクエストとサブクエストが分かれており、推奨レベルも設定されている。
- 物語の本筋はわかりやすく、全体的な目標を理解できた。
- 主人公のゲラルトを操作するゲームで、正しい選択を試みることが重要。
- 全体的な目的が明確に示されている。","- 1や2をプレイしていないと物語が理解できず、楽しむのが難しい。
- 世界観や設定の理解が必要で、楽しむためには事前の勉強が必要だ。
- ストーリーが重視されているため、ストーリー不要な人には向かないかもしれない。
- 固有名詞の多さと説明不足で、初見では理解に苦しむことがある。
- 選択肢が少なく、たどり着く先は似たような結末となる。
- 登場人物が多く、今回登場しないキャラの名前も出てくるため、置いてけぼり感がある。
- 選択肢を誤るとバッドエンドになるため、自由度が疑問視される。
- 全体の目的が不明瞭で、進行に手間取ることがある。
- 指示通りに行動しないと進まなくなるため、自由度が制限されている。","- ゲームの内容が分からない人にはトレーラーの視聴を勧める。  
- 登場人物の人間関係やストーリーの流れが分かりづらいが、解説動画や記事で補足可能。  
- ストーリー重視で会話が中心のため、好みが分かれるゲームだと感じる。  
- 町人や掲示板からクエストを受けて目的地を探し、「ウィッチャーの感覚」でアイテムや手がかりを見つけてボス戦に挑む。  "
視聴覚の魅力,"- シナリオ、システム、グラフィックが最高でハイエンドなゲームを感じる。
- 翻訳とリップシンクが自然で声優の演技が素晴らしい。
- 高いストーリー性と選択が影響する物語が魅力的。
- ノヴィグラッドの歌が神曲で、吹き替えの完成度が高い。
- 次世代アップデートで画質が大幅に改善されて驚いた。
- 日本語吹き替えやローカライズが丁寧で感動的な内容。
- グラフィックと音楽がどちらもハイクオリティで景色が美しい。
- 声優の演技と翻訳が素晴らしく、没入感を高める。
- 世界観とストーリーがとても魅力的で、繊細な描写が印象的。
- ゲーム全体が作り込まれており、プレイするのが楽しい。","- ゲームは超絶長い映画のように感じる。
- 高いグラフィックスペックが求められる。
- レイトレの影響でグラフィックが非常に美麗だが、戻れない。
- グラフィック改善MODが必要で初期状態では魅力が不足している。
- 自然の風景が美しく、ノヴィグラドの街は楽しいが、描画の際にぼかしが少ないため視覚的に疲れる。
- 描画バグが目立ち、ゲームプレイが萎える原因になっている。
- レイトレ対応だが環境に合わずクラッシュが多いためオフにしている。
- アップデート後の自然描写に期待したが、慣れ親しんだ景色が広がっている。
- 世界観の表現は良いが、人物の描写や演出が物足りない。
- 夜が暗すぎて移動が困難であり、全体的な画面の暗さや音量調整の不満がある。","- クオリティは高いが自分には合わなかった。
- Skyrim風の音楽や装備、戦闘モーションへのMODが存在する。
- アクションは優れていないが、楽しんで遊べる範囲にはある。
- ゲームの表現を最大限に楽しむには高性能なPCが必要だが、普通の性能でも動作可能。
- 選択肢からの文意を汲み取るのが難しい部分があるが、全体的には満点。
- 女性の裸や過激なグロ描写に対する規制がないことが印象的だった。
- 不便なUIや外見はほぼカスタマイズ可能である。
- キャラデザが洋ゲーらしいため、好みが分かれる。
- グラフィックは優れている。"
遊ぶ意義,"- 作品の価値は相対的で、プレイヤーは選択に悩まされる政治劇や人間の本質を問うストーリーを楽しめる。
- 主人公ゲラルトと世界観の魅力によって、全てのクエストに意味があり、オープンワールドの活用も素晴らしい。
- ストーリーを選択によって変化させられ、運命を握る感覚が楽しめる。
- プレイヤーは魅力的な登場人物に触れ、壮大な物語を体験できる。
- 良質なゲームとは何かを考えさせられ、丁寧に作られた世界に引き込まれる。
- 選択の重みが感じられ、ロールプレイの醍醐味を体験できる。
- ストーリーの深さやキャラクターへの感情移入がプレイヤーに強い印象を残す。
- ゲーム全体がドラマティックで、プレイすることで映画のような体験ができる。
- 選択によって物語が変わる楽しさがあり、サブクエストも高品質。
- プレイヤーのストーリー理解度が何度もプレイすることで深まる、圧倒的な内容がある。","- 600時間以上楽しめたゲームで感謝している。  
- CD Projektはファンに楽しい思い出を残すべきだった。  
- 1周目がバッドエンドだったため、2周目をやる羽目になった。  ","- クリエイターの熱意や狂気を感じたい人向けの作品だと感じた。
- 世界観に興味が持てれば、どこまでも楽しめる作品である。
- ゲームをクリアした後に得る感動が独特である。
- ダラダラ感はキャラクターの人生を反映しているが、中座感は否めない。
- ゲームの進化についても興味が湧く内容だった。"
没入感,"- 本作はプレイヤーが没入できるロールプレイ体験があり、ストーリーへの引き込みが強い。
- ノヴィグラッドでのプリシラの歌は聴き入ってしまうほど魅力的で、没入感を高めている。
- 声優の演技が素晴らしく、ゲームに引き込まれる要素となっている。
- プレイヤーは色彩豊かな世界にどっぷりと浸かり、 ゲームに夢中になってしまう。
- システムも没入感を与える役割を果たしており、長時間プレイしても飽きない。
- 日本語吹き替えの効果が大きく、NPCとの会話や調査時の独り言が楽しめる。
- ゲームの没入感は圧倒的で、まるでドラマを観ているような体験ができる。
- クエストやドラマの進行が自然で、プレイヤーは物語の中に引き込まれていく。
- ゲーム内の選択肢が豊富で、プレイヤーがゲラルトを形作る実感を得られる。
- 圧倒的な作り込みにより、物語に没入し続けられ、プレイし終えた後も余韻が残る。","- ゲームプレイはとても没入感があるが、全体的には映画を見ているような印象が強い。
- プレイ中、周囲の状況に気付かなくなるほど集中してしまった。
- 24時間以上のプレイは意外と不安を感じさせた。
- ２作目を経て間隔が空いたため、ストーリーへの没入感が薄くなった。
- 作り込みが非常に素晴らしい一方で、ストーリーの進行がもどかしく感じられる場面も多い。
- 高いリアリティが視覚的・聴覚的に苦痛を伴い、作品への感情の距離感が必要になる。
- プレイ中は圧倒される一方、辛い部分も感じる。
- 陰惨な世界観やデザインが迫り、リアル感が強烈で印象に残る。","- プレイ中は周囲の状況に気付かず、物語に没頭している。  
- 物語に集中しているため、他のことが気にならない。  
- 時には考えすぎてメインストーリーを忘れてしまうこともある。  
- 物語の世界観に引き込まれる体験がある。  "
成長感の得やすさ,"- クエストを進めることで成長しやすく、ストーリーに沿ってプレイするだけでレベルが上がる。
- 操作や魔法、攻撃、防御、回避を覚えれば負けにくい。
- 前作より技が使いやすくなり、複雑なシステムを無理に理解しなくても楽しめる。
- ゲームを続けることでキャラクターを手足のように使いこなせるようになった。
- レベルアップに伴い、強さを感じることができた。
- 難易度を調整し、敵の弱点を見極めることで戦略が広がる。
- 回復アイテムを利用すれば詰まることなく進行可能。
- 熟練度が上がるにつれ、バトルがより楽しくなる。
- 戦闘スタイルがアビリティの構成によって変化し、楽しみが増す。
- 著名なウィッチャーになった感覚を持ち、プレイヤー好みにキャラクターを育成できる。","- ゲーム開始時は難易度が高く、プレイヤーの慣れが必要だと感じる。  
- 戦闘が高難易度になるほど、戦略的な思考が求められる。  
- 将来的に楽しみな育成要素が見えず、ワクワク感が薄れている。  ","- やや単調だが自己満足が得られるゲームである。  
- 操作方法は難しいが、一番優しいモードであれば進めることが可能である。"
好奇心への刺激,"- シリの結末を3回楽しみ、登場人物の過去に興味を持った。
- ゲームの言語をポーランド語でプレイすることを勧める。
- 原作小説と資料集を購入し、ストーリーへの期待が高まった。
- 複雑な人間関係が描かれており、ゲーム外の情報読みにも引き込まれた。
- ゲームは進化し続けており、100時間遊んでも新たな発見がある。
- 選択肢によってストーリーが変わるマルチエンディングが楽しめる。
- サイドクエストや人物図鑑の充実度が面白さに貢献している。
- 膨大なテキストを読むことで世界観がさらに深まる。
- DLCの期待や他の作品への興味も高まっている。
- ゲームの選択によって様々な結末が用意され、毎回新鮮さを感じる。","- クエストや未発見の場所がまだ多く残っている。
- ストーリーを進めると入手できなくなるアイテムがあるため、慎重な進行が必要。
- 歯抜けのオイル設計図に関する情報が攻略サイトに不十分で役に立たない。
- 同じ部分を何度もプレイしないためには条件を理解しておくことが重要。
- マップが謎だらけになって驚いた。
- ストーリーの展開が大きく振れ幅があり、プレイ後は無気力になった。
- 繰り返しプレイを避けるためには計画的な進行が求められる。","- ゲームの進化について興味を持って調べた。
- トゥサンの物語は最初退屈だったが、進めるうちに興味深いものになった。
- 世界観を深く理解するために、過去の歴史や関連情報をネットで調べながらプレイした。
- YouTubeの動画や本を活用し、物語の詳細を追いかけた。
- クエストや物語がエンディングに影響を与えるため、注意深く進める必要がある。
- サイドクエストを見逃してしまったことに驚いた。
- サブクエストをこなさないとレベルが上がりにくいとの情報があった。
- ゲームの世界に魅了され、Skyrimを意識している。
- 物語の展開が暗い部分もあるが、難しく考えず楽しめる。
- 新しいDLCに期待している。"
自由度,"- 自由度が高く、役割を自分で作る楽しさがある。
- 会話の選択肢によってストーリーが変化し、面白さを味わえる。
- クエストには多くの分岐があり、選択によって異なる結末が用意されている。
- MODの導入により、プレイスタイルを自分好みにカスタマイズできる。
- 難易度設定があり、アクションが苦手な人でも楽しめる。
- サイドクエストやNPCとの会話も多彩で、新鮮な体験が可能。
- プレイヤーの選択によって、キャラクターの運命が大きく変わる。
- オープンワールドとして探索の自由があり、さまざまな行動ができる。
- 選択肢が豊富で、ストーリーがプレイヤーの意志によって形成される。
- プレイする人の好みに応じた楽しみ方ができる魅力がある。","- 自由なキャラメイクができず、ゲームデザインが窮屈に感じた。
- 散策に意味がないと感じ、寄り道がクリアに影響することを懸念した。
- 自由度は高いとは言えず、選択肢が限られていると感じた。
- 遊びの要素は多いが、自由度が楽しいとは限らないと思った。
- プレイヤーとしての自由が制限されていると感じ、モッドを推奨した。
- 時間がないとプレイが難しいと感じ、自由に行き来できるが選択肢が限られることを指摘した。
- クエストの進行方法が固定化し、経験値が得られにくいと感じた。
- レベル依存が強く、装備差による影響を懸念した。
- 自由度が低く、寄り道の影響でゲームを最後までプレイできなかった。
- ストーリー重視で探索すると不利益が生じることを警告した。","- このゲームでは装備よりも立ち回りが重要で、装備が無くても問題ない。
- 自由度はスカイリムに比べると劣るが、広大なフィールドを探索できる。
- 時には移動中にハマることもあるが、自由なスタイルで楽しむことができる。
- 序盤から様々な選択肢があり、何をするか迷うことが多い。
- サブクエストをこなさないとレベルが上がりにくく、寄り道をしたくなる要素がある。
- 進め方によっては主要キャラクターが死亡したり、離れていったりすることがある。
- フィールドが広く、自由な移動が可能です。"
