aspect,review
操作のしやすさ,操作性は改善されつつあるが、移動時の挙動やアイテムの取りにくさが残る。特に馬や水中での操作が難しく、敵との戦闘でもタッチの遅れがストレス。全体的にUIや操作感にクセがあり、初めは戸惑うが慣れれば楽しめる。ストーリー進行がスムーズで、最終的には満足感が得られる作品。MOD導入を勧める声も多い。
難易度の適切さ,ゲームは難易度選択があり、アクションが苦手でも楽しめる設計。序盤は苦戦するが、中盤以降は難易度が緩和され、自由度が制限される場面もある。ストーリーが魅力的で、クエストのレベルによって経験値が変動し、工夫が求められる。全体的にバランスは良いが、一部でヌルゲーに感じる場面もある。
進捗の明確さ,実績78があり、本体とDLCの進捗がわかりやすい。未踏破地点が「？」マークで表示されるが、クエストの進め方や行き先が不明になることがある。
目的の明確さ,ストーリーがしっかりしており、レベル上げはクエスト進行で自然に行える。全体的な目標が明確で、プレイヤーは自由に進められるが、背景知識が必要。登場人物や固有名詞が多く、初見は理解が難しいかもしれない。選択肢の少なさやバッドエンドの可能性もあり、ストーリー重視の作品なので好みが分かれる。
視聴覚の魅力,グラフィック、シナリオ、サウンドが全て高品質で、特に日本語吹き替えの完成度が素晴らしい。没入感のあるストーリー展開や豊富なサブクエスト、魅力的なキャラクターに引き込まれる。ダークファンタジーの世界観が艷やかに描かれ、ストーリーと音楽も絶品。2022年でも色褪せないクオリティで、とても満足できる作品である。
遊ぶ意義,ウィッチャー3は、深いストーリーと選択によって変わる展開が魅力的で、プレイヤーに強い没入感を提供する作品である。サブクエストも重要な要素で、丁寧に作り込まれた世界観とキャラクターに感情移入しながら楽しめる。これは単なるゲームではなく、豊かな物語体験を提供する傑作である。
没入感,本作は圧倒的な没入感を持ち、プレイヤーはストーリーや世界観に深く引き込まれる。音声や演出が一層没入感を高め、まるで映画を観ているようだ。キャラクターやクエストの作り込みも見事で、時間を忘れて遊ぶ魅力がある。特に日本語吹き替えの効果が高い。遊んでいる間は現実を忘れるほどのめり込むことができる。
成長感の得やすさ,クエストを進めることでレベルが上がりやすく、操作に慣れると楽しめることが多い。成長感があり、豊富なビルドや武器の育成が楽しめる。戦闘スタイルの変更や、アビリティの活用が戦闘において重要で、攻略のコツを掴むことでスムーズに進められる。全体として、プレイを重ねることで熟練を感じながら楽しむことができる。
好奇心への刺激,このゲームは非常に作り込まれた世界観とストーリー性を持ち、選択肢によって結末が異なるマルチエンディングが楽しめる。サイドクエストやキャラクターの深い背景が魅力で、じっくり遊ぶほど新たな発見がある。読書を通じて歴史やキャラクターの理解が深まり、進めるごとにワクワク感が増していく。
自由度,ゲームの自由度が高く、プレイヤーの選択によってストーリーやキャラクターの運命が変わる。多様なクエストや結末、豊富な選択肢が用意されているため自身のやり方で楽しめる。MODの利用でさらにゲームが拡張され、個性豊かなプレイ体験が可能。全体としてオープンワールドの魅力と高い作り込みが評価されている。
