aspect,np,review
操作のしやすさ,-1,個人的にNemesisの方が圧倒的に使い方が楽です。
操作のしやすさ,-1,バニラのＵＩは使いずらいのでいずれMODをブっこむ羽目になると思われ
操作のしやすさ,-1,決定ボタンがなぜか○ボタンに変わりつつセーブ画面では今まで通り×ボタンのままという中途半端な改悪により、プレイに支障を感じる最悪なアップデートとなり速攻アンインストールしました。
操作のしやすさ,1,UIが使いやすく
操作のしやすさ,1,操作は簡単なゲームなのでプレイするのもいいかもしれません
操作のしやすさ,-1,操作の導線が少なく、説明が不十分で、初めての人にはオススメし辛い
操作のしやすさ,-1,"システム的に不便すぎる部分がある"
操作のしやすさ,1,キーボード操作ができるのがとてもよく、マウスだと感覚的に顔を向けるのと同じように操作できるのが良いと思います。
操作のしやすさ,1,ダウングレードで動かす方法を知り、何事もなく遊べています
操作のしやすさ,-1,UIが使いにくいのでバニラに拘る人でもそのMODだけは入れた方がいいと思います
操作のしやすさ,-1,UIは使いにくいのでskyUIの導入は最低限入れておいたほうが快適に楽しめると感じた。
操作のしやすさ,-1,アイテムを取るために視点を変えるのがかなり面倒。ボタンを押すと即盗んでしまい罪人になる。話す、拾う、盗むが全て同じボタンなので誤操作で盗んでしまう。
操作のしやすさ,1,クエストのマーカーもでますので初心者でも遊びやすいと思う。
操作のしやすさ,1,簡単に導入できた
操作のしやすさ,-1,レベルアップ画面で操作ができず、元の画面に戻れなくなった。最初の名前入力時に入力エラーが発生した。
操作のしやすさ,-1,マウスカーソルが裏で外に出て隣のウインドウスクロールするのなんとかして
操作のしやすさ,-1,操作が効かない
操作のしやすさ,-1,非常に遊びにくい
操作のしやすさ,0,世界観も操作の不自由さも確かにあります。
操作のしやすさ,1,MODの導入方法について、とにかく詳しく書いてる方の記事などがたくさんアップされていますのでMOD入れたい方はとにかくググって調べるといいですね。んで手順通りにやってみると思ったい以上に簡単に導入することができました。
操作のしやすさ,-1,戦闘の動きにやや不満
操作のしやすさ,-1,MODの導入がもう少しわかりやすければもっとよかったです
操作のしやすさ,-1,操作性の悪さからアクションゲームとしては面白味が皆無
操作のしやすさ,-1,操作がもっさりしすぎてきつい。文字入力でバグって進行不可に。音量調節のショートカット反応しない。
操作のしやすさ,-1,古臭くて分かりにくいUIと、安っぽいグラフィック
操作のしやすさ,-1,マップ呼び出しが不便。慣れの問題もあるかもしれないが、各種ユーザーインターフェースに不便を感じる。
操作のしやすさ,-1,操作方法がよくわからない。コントローラーの感度が良すぎて、すぐ壁にぶつかりどちらを向いているのか判らない。メニュー画面とか終了する方法が知りたい。
操作のしやすさ,1,操作性の悪さと説明不足、バグでイライラする。こういうゲームをやったことない人間に対してのキー配置の説明の図ぐらいいれろとは思う。三人称視点にしてまだましになるが酔う。おうちが買えるけれども皿の配置なんかはぐちゃぐちゃにすると戻すのをあきらめるぐらい操作性が悪い。宝箱に道具の分類機能がついていないので物を取り出すときにイライラする。
操作のしやすさ,-1,適当にボタンを叩いていても戦えるのでアクションが苦手な人も大丈夫だろう
操作のしやすさ,-1,最初の搭から先に進みません　メイン画面の上側のマークの説明がなく　不親切で意味不明です。
難易度の適切さ,1,ゲーム中でも自由に難易度変えれたり基本は親切で詰まる事は無かった
難易度の適切さ,1,難易度はかなり高い、しかしそれを乗り越えた先にはそんな苦労を無に還す程の価値（スケベ）があるはずだ
難易度の適切さ,-1,その先（OとかLAB）は一気に難易度が上がります。ハードルは低くありません。
難易度の適切さ,1,自己レベルに合わせた敵の強さがあった
難易度の適切さ,1,サバイバルモードでベリーハードorこれ以上の難易度がちょうどいいプレイ感になるんじゃないかなと思います。
難易度の適切さ,1,基本的に難易度低いし、お金溜まる
難易度の適切さ,-1,後半になるといろいろなことに手が回らなくなってプレイヤーがパンクしてしまうので、過去10年でクリアしたの1回だけ
難易度の適切さ,-1,ベリーハード以上が無理で苦行だった
難易度の適切さ,1,戦闘は難易度ノーマルだと複数人同時相手はかなり辛いが、イージーにすると基本サクサクでちょうど良かった
難易度の適切さ,1,初心者から熟練プレイヤーまで遊べるゲームじゃないかと思います。
難易度の適切さ,-1,デイドラクエストめっちゃつらいので注意だけれども。
難易度の適切さ,-1,魔法が非常に弱くMODで強化しないと初プレイでの魔術師プレイはお勧めできない
難易度の適切さ,-1,レベル上げがしづらい仕様だと思うので、ガンガンレベルアップすることに快感を覚える人には向かないかな
難易度の適切さ,-1,登山の難易度が高い。クエストのアイテム収集系のノルマが多い。アイテムを20個、30個集めろとか理不尽なクエストがいくつかある。
難易度の適切さ,-1,難易度調整が“非常に”難しい
難易度の適切さ,-1,Mod環境の構築は他のゲームとは比べ物にならないほど難しい
