aspect,pos,neg,neu
操作のしやすさ,"- UIが使いやすく、操作が簡単で初心者にも適している。
- キーボード操作ができ、マウスとの併用で直感的に動かせる点が評価されている。
- クエストマーカーが表示されるため、初心者でも迷わず進めることができる。
- MODの導入方法が詳しい情報で多く共有されており、手順通りに行えば簡単に導入できる。
- しかし、操作性の悪さや説明不足、バグが問題視されている。
- 特にキー配置の説明がなく、初心者には厳しいと感じられている。
- 三人称視点でのプレイは改善されるが、酔いやすいとの意見も。
- 配置の戻しが困難で、道具の分類機能がないことにイライラする。","- Nemesisの方が使い勝手が良いと感じる。
- バニラのUIは使いにくく、MODの導入が必須になると思う。
- アップデートで決定ボタンが変更され、プレイに支障が出たためアンインストールした。
- 初心者には操作の説明が不足しており、オススメしづらい。
- UIが不便なので、skyUIの導入が推奨される。
- アイテム取得時の視点変更が面倒で、誤操作が多発する。
- レベルアップ画面から戻れず、名前入力時にもエラーが出た。
- 操作性が悪く、アクションゲームとして楽しめない。
- マップ呼び出しやコントローラーの感度に不満がある。
- 最初の搭から進めず、画面上のマークの説明が不足している。",- 世界観や操作の不自由さがある。
難易度の適切さ,"- ゲーム中で難易度を自由に変更でき、親切な設計で詰まることは少なかった。
- 高い難易度をクリアした先には価値があると感じている。
- 敵の強さはプレイヤーのレベルに合わせて調整されている。
- サバイバルモードでの高難易度が楽しめると思われる。
- 基本的には難易度が低く、お金を溜めやすい。
- 難易度ノーマルでは複数の敵と戦うのが辛いが、イージーならサクサク進める。
- 初心者から熟練者まで楽しめるゲームだと思う。
- 最高難易度でも普通にプレイしたり、縛りプレイができる。
- 難しいがやりがいを感じる要素がありそう。
- 難しさを感じつつも、面白いと評価されている。","- 難易度が非常に高く、後半になるとプレイヤーがパンクしやすい。
- ベリーハード以上は特に苦行で、魔法を強化しないと初プレイ時の魔術師プレイはお勧めできない。
- レベル上げが難しく、快感を求める人には向かない。
- 登山やアイテム収集系のクエストが理不尽で、多くのノルマがある。
- 難易度調整が非常に難しく、難しいバランスを取る必要がある。
- 戦闘は敵の挙動が不公平で、特定の条件下では無効になることがある。
- プレイヤーのレベルが上がることで敵が強くなり、無駄なスキルを上げないように注意が必要。
- Mod環境の構築も他のゲームと比べて難しく、労力をかけてやる価値が微妙かもしれない。
- 頭を使わないと攻略できず、時には苦渋の決断を迫られる場面がある。
- 初めのボスが特に厳しく、納得感がない戦闘も多い。","- 難易度が高く、攻略に苦労している。  
- より挑戦的な体験を求めている。"
進捗の明確さ,"- Mod導入後に起動したときの達成感が良かった。
- 何をすればよいかが明確である。",- 問題は改善されているが、気付くまでに時間がかかる。,
目的の明確さ,"- ゲームのルールを理解し、問題が解決した。
- やることがはっきりしていて、わかりやすいと感じた。
- 自由度と目標を持つ作りが良いと評価している。
- ゲームの全体的な目標を明確に理解した。
- 自由に行動できるのが魅力である。
- 家族を作ることが自分の目的だった。
- メインストーリーのクリアが目的ではないと感じた。
- スカイリムの仮想世界で自由に生きる楽しさを体感できた。","- このサービスは指示が明確でないため、何をすべきかわからない人には不向きである。
- 自分の位置や行動が不明瞭で、案内が足りないと感じる。
- 目標設定が不明確なため、ナビゲーション機能が役立たないと認識されている。","- 職業の選択肢については不明な点が多い。  
- ストーリーラインは存在するが、自由に進めることができる。  
- 最初の目標はダンジョンに入って、里芋のような玉を手に入れること。  "
視聴覚の魅力,"- ゲームの見た目と雰囲気が非常に良く、美しいグラフィックに感動した。
- Skyrimの景色や街の住人のAIがリアルで、没入感が高かった。
- 高画質化やMODによってグラフィックが劇的に改善でき、楽しめる。
- 世界観の構築が素晴らしく、ファンタジーの冒険を楽しむことができる。
- 音楽の質も高く、シチュエーションに応じた演出が素晴らしかった。
- 北の大地の描写に感動し、散歩するだけでも楽しめる。
- 高い自由度と世界観の深さが評価され、ボリューム感も満足。
- キャラクターの美しさや独特なデザインが楽しめ、MODによってさらに良くなる。
- ゲーム内容自体も優れた神ゲーであり、魅力的な要素が多い。
- 独特なUIや古さを感じるが、それでも十分楽しめる内容である。","- グラフィックは悪く、特に女性キャラの見た目が不満。
- UIやバグが多く、全体的なクオリティに問題がある。
- MODを導入することでキャラクターの見た目は改善されるが、基本的なグラフィックがいまいち。
- 日本語訳が粗末で没入感を損なっている。
- NPCのセリフがボイスのみで、音無しだと会話が理解できない。
- VR版ならではの楽しみが全く感じられない。
- 効果音が途切れ途切れで不快。
- 高品質なグラフィックを強化しないと楽しめない。
- NPCや自キャラの顔もブサイクで満足できない。
- 全体的に古いゲームの感覚が強く、今のゲームと比べると見劣りする。","- UI改善MODの導入を試みた。
- 現在の画質が低いため、MODで画質向上を期待している。
- 見た目よりもゲームの安定性を向上させてほしい。"
遊ぶ意義,"- スカイリムは自分を体現できる魅力的なオープンワールドゲームだ。
- このゲームはプレイヤーの自由度が高く、個性を反映させることができる。
- 世界観を楽しむことで、深い没入感と郷愁を感じられる。
- ロールプレイやストーリーの魅力があり、ダークファンタジーの要素が強い。
- 家族や家を持つことができる珍しいゲーム体験が楽しめる。
- ゲームプレイは有意義で、少なくとも一生遊べる内容だと感じる。
- プレイヤーは自分の望む役割を自由に演じて楽しむことができる。
- ストーリーは王道で、英雄としての役割を果たす楽しさがある。
- リアルな感情や人間味のあるキャラクターの描写が良い。
- このゲームは個人的に唯一無二の存在で、深く価値を感じている。",- 男としての成熟に必要な要素が不足している。,
没入感,"- 落ち着いてプレイでき、没入感が高いゲームである。
- 毎晩遅くまで遊んでいたが、プレイ時間が思っていたよりも長かった。
- ゲーム中は周囲に気付かないほど夢中になり、集中していた。
- ロールプレイとしての没入感が抜群で、心揺さぶられる体験がある。
- 課題や世界観に深く入り込み、時間を忘れて没頭することができる。
- 世界が丁寧に作り込まれており、のめり込む楽しさが感じられる。
- 多様なテキストやクエストが明らかになる過程が楽しい。
- 非常に刺激的でカオスな冒険が待っており、没入感が極めて高い。
- FPS視点とオープンワールドで、何時間でも遊び続けられるゲーム。
- MODを使用するとさらに没入感が増し、時が飛ぶように過ぎる。","- プレイ中は周囲の状況に気付かず、ゲームに夢中になっていた。
- 没入感を損なうバグが増え、イライラが募っている。
- MODの導入に夢中になることが多い。
- 没入感が著しく低下している。
- VRでの体験は初めの方の感動だけだった。
- ゲーム自体は楽しんでいるが、ストレスを感じることが多い。
- プレイ時間が奪われていく感覚がある。",
成長感の得やすさ,"- ゲームプレイがうまくでき、能力を感じている。
- 環境により人が変わることを実感した。
- 難易度をイージーにするとサクサク進む。
- キャラクターを強化できるのが楽しみ。
- 実績全クリまで楽しめた。
- 自キャラクターを作り込むことがこのゲームの面白い部分。
- 知識が増えると無限に遊べる可能性を感じる。
- プレイ時間に応じて強くなるのが楽しい。
- まだまだ成長できる余地があると感じる。
- Mod導入後の達成感が良かった。",- レベルを上げ過ぎると敵も強くなるため、戦闘以外のスキルを上げるのが難しくなる。,
好奇心への刺激,"- ゲームの進化やMODについての興味を持った。
- 滝の裏に洞窟があったことを発見した。
- MODを使用することでゲームがさらに楽しめると感じている。
- TES6の情報を待つためにSkyrimを購入した。
- MODを調べる時間を含めて400時間以上プレイしている。
- ゲームの中での生活感や探索の楽しさがある。
- MODの導入方法調査に12時間以上かけた。
- ゲーム内の書籍が多く、読解が楽しめると感じている。
- MODの種類が豊富で、個々のプレイスタイルに応じて楽しめる。
- Skyrimの世界観や歴史が詳細で、飽きることがないと思う。","- 貯めたゴールドを使い切るほどの買い物をしたかったが、楽しめなかった。
- ドラゴン専門のステージをもっとプレイしたかったが、機会がなかった。
- 興味を持つと逆に購入は避けるべきと感じた。
- ゲームの内容が最初は理解しづらく、別バージョンの販売は改善してほしいとの意見がある。","- ゲームの進化を調べたいと思っている。
- アップデートによるMOD環境への影響が気になっている。
- ゲームの続きや進行に対する興味が強い。 
- ゲームの進化について再度確認したい意欲がある。
- どのように試合が進むのかを把握したいと思っている。
- ゲームの今後についての好奇心が高まっている。"
自由度,"- 美女たちとの散歩だけで癒される気分になれる。
- 自由にプレイできる点が気に入っている。
- MODが豊富で、さまざまな楽しみ方ができる。
- 自分なりのスタイルでゲームを進められるのが魅力。
- 自由度の高さがこのゲームの最も優れたポイント。
- ゲーム内での選択肢の多さを実感できる。
- 目標を持ちながらも、自由に行動できる点が良い。
- どんなビルドでもゲーム進行に影響がない。
- MODを使って自分好みの世界を作る楽しみがある。
- 自由な冒険ができるオープンワールドの楽しさがある。","- MODを入れると楽しめるが、無いとキャラクターのデザインに物足りなさを感じる。
- プレイスタイルの自由度が高すぎて、何から始めるべきか迷う。
- アイテムの重量制限が厳しく、全てのアイテムを拾うのは疲れる。
- MODの導入や設定に時間がかかりすぎるため、妥協が必要。
- オープンワールドの自由度を求めるなら他のゲームの方が優れていると感じる。
- MODを前提にゲームを考えた方が良いという意見。
- ゲームのレベルアップ画面が使いづらく、操作が制限される。
- ストーリーは自由だが、キャラクター育成の自由度は低い。
- ゲームのアクションや物語、バランスを求める人には向かない。
- 不便で制限されたプレイが多く、何度もインストールし直している。","- MODを利用することで学びが得られる。
- 職業選択の自由がある点に触れられている。
- 自分で楽しい要素を見つけることの重要性が述べられている。
- ゲームのプレイスタイルが多様であることが強調されている。
- キャラクターの見た目やシステム部分まで自由に改変できる。
- 自分好みのMODでのプレイが推奨されている。
- 理想の家を持つことに対する願望が示されている。
- メインクエストにこだわらないプレイスタイルが紹介されている。
- 日本におけるスカイリムのMOD事情が簡便であると評価されている。
- MODパックの導入が簡単にできないかが検討されている。"
