aspect,pos,neg,neu
操作のしやすさ,"- PS4パッドでも問題なく動作し、アクションがスタイリッシュで爽快。
- 操作性がカジュアルゲームに適しており、難しさの調整がされている。
- ガチャプレイでも派手に動き、テクニックを使う楽しみもある。
- キーボードやコントローラどちらでも快適に操作できる。
- ダッシュの無敵時間が長く、効率的に戦える設計。
- 難易度が低く、アクションが苦手でも楽しめる親切なゲーム。
- オートエイム機能があり、無理なく連続攻撃が繋がりやすい。
- 攻撃やダッシュの操作が直感的で、楽しさを感じられる。
- 各武器に特殊性能があり、多彩なプレイが楽しめる。
- 操作性は非常に良好で、疲れずに楽しめるのが魅力。","- 動き回って攻撃と避ける必要があり、慣れないと進めずに死ぬことが多い。
- 操作が単調になりがちで、隠し要素の選択肢がわかりにくい。
- キャラの操作性は良いが、革新的な要素は少ない。
- コントローラの認識バグがあり、ゲームを再起動しないと認識しない。
- アクションが多すぎて、キーボードでクリアするのは難しい。
- 繊細な操作が求められ、適当にプレイするとすぐに死ぬ。
- 突っ込んでガチャプレイする方が強いデザインに残念な思いを抱く。
- 操作が忙しく、指が疲れることが多い。
- 障害物やトラップが多く、自由な動きが難しい。
- ステップしながらボタンを押すだけのゲームと感じる。","- 基本的に一本道のゲームである。  
- コントローラーが認識されず、キーボードとマウスでプレイしたがクリアできた。  
- プレイするには操作に慣れる必要があると感じた。  
- 操作性はキーボードよりもゲームパッドの方が良い可能性がある。  "
難易度の適切さ,"- キャラクターの動きに満足できるならオススメのゲーム。
- 初めは死亡しやすいが、徐々に難易度が上がる。
- 様々な段階を経てプレイヤーは腕を磨ける。
- 何度も挑戦することで強化され、アクションが苦手でもクリアが可能。
- ゴッドモードで難易度を下げることができる。
- 難しいと感じてもプレイヤーの工夫で進めるバランスが良い。
- キャラクター強化により少しずつクリアが楽になる。
- ゲームデザインは誰でも楽しめるよう配慮されている。
- 難易度はちょうど良く、達成感が味わえる。
- プレイヤーが自分で難易度を調整できるのが良い。","- 難易度が高く、調整がプレイヤー任せであると感じる。
- トラップと敵の攻撃が厳しく、特にボス戦が非常に難しい。
- 強化チャンスが少なく、運に左右される要素が強い。
- 敵が硬く、戦闘が長引いてダレることが多い。
- 理不尽な死亡システムにより、モチベーションが下がる。
- 早い攻撃や画面外からの攻撃が多く、覚えゲーになりやすい。
- ステージクリア後も全てやり直しになり、ストレスを感じる。
- 難易度が高すぎて、最終的にクリアできないと感じるプレイヤーが多い。
- ゲームプレイの楽しさがフラストレーションに変わりがち。
- 難易度設定に不満があり、万人受けするか疑問を感じる。","- 求められるプレイヤースキルは高めだが、全体的にはクリアの難易度はそれほど高くない。
- 難易度はぬるめで、特にクリア後の難易度MODが存在する。
- プレイヤースキルの比重は小さめで、技術が多すぎて挫折する人にも向いている。
- 難易度は高めだが、敵の種類が少ないため、攻撃パターンを覚えれば楽になる。
- クリア自体はそれほど難しくなく、銃が一番簡単にクリアできる。
- 最初が一番厳しく、死にもペナルティがないため周回が基本となる。
- やり込み勢は難易度を上げてタイムアタックが可能。
- 周回には時間がかかる点が少ししんどいと感じる人が多い。
- 一度ダンジョンに入れば運とプレイヤースキルで進むことになる。
- なんとか頑張ってクリアすることができた。"
進捗の明確さ,"- プレイヤーを強化したりキーアイテムを持ち帰る場面が多い。
- 少しずつ前進していることを実感できる。
- プレイヤーの成長を感じられる作りになっている。
- 勝敗に関わらず進捗があるのが良い。
- 失敗を振り返ることで物語の繋がりを感じることができる。
- 着実に進捗があり、楽しめる要素がある。
- 戦闘ごとに育てている感覚が得られる。
- 継続的な成長ができ、プレイごとに強くなる実感がある。
- 主人公の強さを実感できる点が良い。","- 攻略の進捗がゲームの意義を失わせていると感じる。  
- クリア後の時間が25分～35分でほとんど変わらない。  
- 実績解除が不明瞭で、周回していれば解除される印象がある。  ",
目的の明確さ,"- ゲームの目的は、地獄の宮殿を出発して地上に脱出することで、途中で邪魔をする親父と他の神々がいる。
- オリュンポス十二神はアプグレ要素で、日本人には理解しやすいためとっつきやすい。
- プレイヤーはゲーム全体の目標を理解でき、明確なメッセージ性がある。
- 魅力的なキャラクターを深く知りながら、主人公の死の理由を解明するために何度も挑戦できる。
- 死んでも館に戻り続けることで、物語が進展する仕組みが魅力的。","- スキルを磨く気のないプレイヤーには不向きなゲームである。
- 条件が不明瞭で、特にヒュプノスくんの絆は断念した。
- ラスボスを倒すまでがチュートリアルという印象を受けた。
- その後の進行方法が不明で困惑した。
- 説明不足な部分が多く、分かりにくいと感じた。","- このゲームはローグ「ライト」であり、難易度は比較的低い。  
- ゴールの目的が時間とともに変化する。  
- クリア後に本格的な楽しみが待っている。  "
視聴覚の魅力,"- グラフィックや世界観が美しく、プレイする楽しさを感じる。
- BGMは心地よく、ボス戦では盛り上がる演出がある。
- ギリシャ神話のキャラクターが魅力的で、独自の解釈やデザインが評価されている。
- テキスト量が豊富で、キャラクターの会話が多様で楽しい。
- イラストやアートスタイルが高く評価されており、全体の見た目が好評。
- アクションの演出や爽快感があり、プレイ体験がリッチ。
- キャラクター同士の関係性が徐々に見えてきて、物語に引き込まれる。
- 全ての要素が高水準でまとまっており、飽きさせない工夫がなされている。
- 日本語翻訳も良く、プレイヤーが深く楽しめるものになっている。
- ゲームのリズム感やテンポが良く、やりこみ要素も豊富でおすすめ。","- 音楽が印象に残らず、絵やストーリーも好みではなかった。
- グラフィックは綺麗だが、画面が見づらくなることがある。
- ムービーのスキップができず、ゲームのテンポが悪いと感じる。
- フルボイスのテキストにも関わらず、会話イベントがなかなか終わらない。
- エフェクトが大きすぎて敵の動きが見えづらい。
- 画面がごちゃごちゃしており、視認性が悪い。
- 一部の敵や背景が溶け込んで見つけにくい。
- エフェクトが多すぎて敵の攻撃が見えない。
- イラストは上手いが、ゲーム部分は洗練されていない。
- 続編の「2」の方がグラフィックが進化しているため物足りないと感じる人もいる。","- 雰囲気が好きな人には良いが、アクション重視の人には鬱陶しく感じるかもしれない。
- キャラクターのボイスは英語で、日本のアニメのような印象がある。
- 日本語も対応しているが、英語でプレイした方が楽しめる気がする。
- 日本語ボイスがあれば良いと思う。
- グラフィックはイラスト調でクォータービューである。
- キャラクターデザインは好みだが、世界観やストーリーは充実しているわけではない。"
遊ぶ意義,"- ギリシャ神話を元にしたゲームで、熱意を感じる。
- 続編のような心地よさがあり、ストーリーを進める意味を見出せる。
- キャラクターが魅力的で、特に父子や男性の関係が楽しめる。
- ギリシャ神話好きには特に楽しい内容で、ストーリーがリプレイの動機になる。
- プレイを重ねることで登場人物との絆が深まり、楽しさが増す。
- ゲームのストーリーは非常に大作で、プレイのモチベーションになる。
- 繰り返し遊ぶことの意義や、新しい要素の解禁が飽きさせない。
- 短時間でプレイできるため、気軽に楽しめる。
- シナリオが面白く、遊び続ける魅力を実感できる。
- ゲームを通して幸せな時間を得られる。",- プレイする意味がないと感じた。,- ゲームは繰り返しの中で道中を楽しむことが大切だ。
没入感,"- ゲームに夢中になり、周囲の状況に気付かなくなるほど没入できた。
- アクションの魅力とリプレイの工夫があり、長時間プレイできる中毒性を感じる。
- 会話の変化が楽しめ、プレイ中は気持ちよさとリズム感を味わった。
- ストレスフリーな操作感と爽快感があり、夢中で遊ぶことができた。
- 時間が溶ける感覚で、気づけば長時間プレイしていた。
- 何度死んでもすぐに再挑戦したくなるテンポの良さがあった。
- 操作にストレスを感じず、自由な動きが楽しめた。
- 世界観やストーリー、キャラに強く惹き込まれた。
- 動かしているだけで気持ち良く、没頭感が得られた。
- 日常を忘れて没頭したい人におすすめのゲームだと思う。","- ナラティブ面の完成度が非常に高く、親子関係がプレイヤーのモチベーションに大きく影響している。
- ゲーム性について評価するのが難しいと感じている。
- プレイ中は周囲の状況に気付かなくなることが多い。
- 自分もその影響を受けていると実感している。
- プレイ中の没入感が強いと述べている。
- 全体として、物語に引き込まれる体験を重視したレビューとなっている。","- プレイヤーが選択できるのは敵を一掃した後のご褒美。
- ストーリーを進めるには家出が必須。
- プレイ中は周囲の状況に気付かなくなることが多い。
- ゲームに夢中になるあまり、時間を忘れることがあった。
- 完全に試合に集中している状態が続く。
- プレイ中は気づけば朝になっていることも。
- ゲームに没頭していると時間が経つのを感じづらい。
- プレイに没頭するあまり、周囲の変化に無関心になることがある。"
成長感の得やすさ,"- ゲームの成長要素がユニークで、プレイを通じて楽しさを感じることができる。
- 強化やスキル取得により武器の使い心地が変わるため、飽きることがない。
- アクションが苦手な人でも、リトライを重ねることで徐々にクリアできるバランスが良い。
- 繰り返しプレイによってキャラクターを強化し、成長を実感できる作りになっている。
- 死に戻りのシステムが苦痛ではなく、挑戦し続ける意欲を引き出す。
- ビルドの組み合わせによって強さが変化し、プレイする楽しさを増している。
- キャラクターの成長によって物語が進むため、作業感が感じられない設計が飽きにくい。
- 初めての挑戦からクリーンヒットまでの過程で達成感を得やすくなっている。
- 死んでも強化が進むため、次の挑戦への期待感が高まる。
- 難易度や成長要素がうまく調整されており、初心者から上級者まで楽しめるゲームになっている。","- 強化要素が自分には合わなかった。
- じっくり成長を実感したい自分には辛い部分があった。
- ラスボスをクリアするのに25回かかった。
- 成長変化や爽快感が少ないと感じた。
- 死亡して地道に強化するスタイルで難易度が高い。
- 後半は成長しにくく、地味な成長が続く。
- 死に戻りを繰り返しながら進めていくしかなかった。
- アクションゲームで自分の下手さに落ち込んだ。
- 自キャラを強化してもラスボスを倒せなかった。
- 武器特性の組み合わせを理解するまでに時間がかかった。","- プレイヤーキャラの成長が速く、すぐにカンストする。
- コントロールされた成長曲線が存在する。
- 自分の限界に挑戦することが重要だと感じる。
- プレイヤースキルが求められるゲームである。
- 序盤は強化や武器の解放が楽しい。
- 中盤になると敵の動きが理解でき、普通にクリア可能となる。
- 一部のビルドは他よりもスキルを必要とする。
- 達成が難しいものは救済措置を使用した。
- 基本的には死にゲーだが、フロムゲーとは異なる。
- 死にながら学ぶことでスキルが向上する。"
好奇心への刺激,"- 新しい武器やスキルを試したくなる誘惑がある。
- ストーリーに力が入っており、会話が豊富で飽きさせない。
- 日本語ローカライズを強く望んでいる。
- ギリシャ神話のキャラクターや世界観に興味を引かれる。
- 探索要素が多く、毎回新しい発見がある。
- 武器の種類が豊富で戦略も多様。
- 多くのミッションやイベントが用意されており、Replayの楽しさがある。
- 面白い会話が次々に登場し、ストーリーへの興味が持続する。
- プレイヤーの好奇心を刺激するゲームデザインが魅力的。
- HADES IIへの期待感が高まる。","- 周回プレイが必要なのが面倒に感じる。
- 絵やストーリーの深掘りが不足していると思う。","- ストーリーを楽しむためのオプションとしてゴッドモードがある。
- 次回作に期待している。
- Switch版が2020年冬に出る予定で、日本語版に期待している。
- どれくらいプレイすれば自分のベストに達するのか疑問。
- 来年の続編について気になっている。
- 実績がまだ多く残っていることに驚いている。"
自由度,"- 神のスキル選択がプレイ感に大きく影響し、選択肢が豊富で楽しめる。
- 恋愛イベントが多様であり、自由度が高いのはギリシア神話を反映している。
- 武器やビルドの選択肢が多く、プレイスタイルが自由に楽しめる。
- 難易度調整が可能で、ゴッドモードなどでプレイが容易になる。
- 毎回異なるビルドを試せるため、飽きにくく代わり映えする楽しみがある。
- さまざまな武器やスキルの組み合わせで新しい戦略が生まれる。
- 操作が簡単で短時間でも楽しめるので、気軽にプレイできる。
- 各プレイごとに選択肢や組み合わせを楽しむ要素が詰まっている。
- プレイヤーの自由なスタイルで進むことができ、飽きが来ない。
- ランダム要素で毎回新しい体験が得られ、プレイテンポも良好。","- 難易度調整がセルフサービスである。
- 武器の使いやすさに差があり、選択肢が少ないと感じる。
- 武器強化の自由度がない。
- プレイヤーに選択肢が少ないことが不満である。
- 一部の武器（タナトスなど）が使用できないことが残念。
- カスタマイズの幅があるように見えるが、実際は大差ない。
- ビルドのカスタマイズが運任せであり、選択肢も限られている。
- 自由に動けないことや扱いづらさから爽快感が薄いと感じる。
- 全体的に自由度が低い印象を受けている。
- ゴッドモードに頼らざるを得ない状況がある。",- 武器のバリエーションによって相性が異なる影響がある。
