aspect,pos,neg,neu
操作のしやすさ,"- 操作する楽しさと直感的なアクションが魅力のゲームである。
- プレイヤーは多様な選択肢を持ち、操作感覚が優れた作り。
- キャラクターの動きはスタイリッシュで、爽快感を感じられる。
- システム面が優しくなり、遊びやすさが向上している。
- 防御力の重要性を理解し、頑強さや敏捷さのバランスが鍵。
- 操作に慣れるまで時間がかかるが、習得すれば快適な操作感を得られる。
- アクションが非常に多く、100時間かけて試すのが面白い。
- 武器ごとにアクションの特性が明確で、様々な戦い方ができる。
- 操作が軽快で、ストレスを感じにくい環境が整っている。
- マルチプレイの改善があり、戦闘が直感的で楽しめる。","- キーコンフィグがPC版に最適化されておらず、操作が複雑である。
- 同時押しの設定が多く、思わぬ誤操作が発生しやすい。
- チュートリアルが不足しており、初心者に厳しい内容となっている。
- ロックオンやカメラの操作が不透明で、視認性が悪い。
- 決定ボタンとアクションボタンの配置が混乱を招いている。
- 操作説明がコントローラ準拠で不親切である。
- システム周りの理解に時間を要し、操作が煩雑である。
- キーボード操作が不安定で、入力が認識されないことが多い。
- ボタンのレスポンスが悪く、行動が遅延することが多い。
- 機動力のあるアクションがあるが、全体的にゲームバランスが悪いと感じる。","- システムの説明はあるが内容はあっさりしていて重要な点が分かりにくい。
- 難しさや分かりにくさは他のゲームと比べても上位。
- 理解して運用すると楽しさが抜群である。"
難易度の適切さ,"- ゲームは難しいが、難しすぎることはない。
- システムを理解すれば誰でもクリア可能で、初見でもある程度敵を倒せる調整になっている。
- 難易度は個々のプレイスタイルによって意見が分かれるが、総じてアクション初心者には厳しいかもしれない。
- 1周目は特に難しく、武技の揃わない状態が厳しいが、周を重ねるごとにキャラが強化される。
- 邪魔な要素が少なく、プレイヤーの成長を実感できるゲームデザインである。
- 死にゲーだが、レベル上げや戦略で乗り越えられる工夫がされている。
- 敵の行動に対する理解が進むにつれて難易度が変化し、楽しさが増す。
- 敵のHPが多く倒すのが骨の折れる場面もあるが、リトライのストレスは少ない。
- 難易度は前作より優しめだが、高難度の部分でもしっかりと楽しめる設計だ。
- プレーヤーがじっくり成長を感じられるバランスで、やりごたえのある戦闘が楽しめる。","- 奈落獄深部のエンドコンテンツは敵のHP回復が続き、ヒット＆アウェイ戦法が使えず、特定のビルドに頼らざるを得ないバランスが残念。
- 難敵を倒すまでの工夫や試行錯誤は楽しいが、ゲームバランスの不安定さが気になる。全体として高難易度よりも不安定さを感じる。
- 難易度が高く、特に後半の敵が理不尽であり、戦闘を諦めたくなる要素が多すぎる。
- 敵による即死攻撃や高い死亡率から、レベル上げの重要性が強調される一方、ゲームの進行ペースは遅い。
- 相対的に攻撃力やHPが高い敵で、特に序盤は苦労を伴うため、初心者には厳しい印象。
- バランス調整が悪く、適正レベルに達しても即死することが多く、ストレスを感じる要因となっている。
- 難易度が理不尽で、プレイヤーを死なせることが主目的とされていると感じる。
- 特定の武器やキャラスペックによって、理不尽な強敵に対応できない場面が多い。
- プレイヤーには辛辣な攻撃とゲームシステムが要求され、理解しないまま挑むと難易度がさらに上がる。
- 中盤以降の敵の強さや攻撃パターンが厳しく、全体的に難易度とストレスが増大している。","- 仁王2は難易度が高く、特に序盤が厳しいが、システムのおかげで進行はスムーズになる。
- 難易度がダークソウルシリーズより高く、理不尽感は少ないが高PSを要求される場面がある。
- 初めてプレイする人には難しさに戸惑うかもしれないが、武器やコマンドに慣れてくれば楽しめる。
- 一周目は難しく感じるが、2～3周目は攻略法を覚えれば楽に進める。
- 中盤以降は敵の動きに慣れることで、楽しめるようになるがボス戦が面倒に感じることもある。
- ゲームの進行に伴いレベルアップや装備選びが重要で、特に初期段階は難易度が厳しい。
- 一部の敵は特に強力で、序盤以外のスムーズさがウェイトを持っている。
- 攻撃パターンを覚え、反射神経を鍛える必要があり、初心者には厳しい部分がある。
- 難易度は高いが、プレイしていてストレスを感じるレベルではないので、楽しめる要素は多い。
- ゲーム全体を通して適度な難しさがあり、スリルを求めるプレイヤーには満足できる内容となっている。"
進捗の明確さ,- キャラの育成が楽しく、敵を倒すごとに強くなっている実感が得られる。,,
目的の明確さ,"- ゲームの全体的な目標が理解できた。
- 目的が明確であり、トレジャーハンティングができるアクションゲームとして魅力的。
- クリアを目的とせず、キャラクターのレベリングや装備強化を楽しむ人に合っている。
- ストーリーが分かりやすいのも良いポイント。","- デフォルト設定では目的地や同行者の位置しか表示されず、ゲームの目的が分かりづらい。  
- ストーリークリアを目指すだけなら、このゲームはおすすめできない。  
- 没入感が乏しく、進む理由が見えづらいと感じる。  ",- 極端な不正解はないと思う。
視聴覚の魅力,"- 自キャラのデザインが可愛く、キャラクリが楽しいゲームである。
- グラフィックが美麗で、特にキャラクリのクオリティが高いと感じる。
- ストーリーがエモーショナルで、人妖の関わりが興味深い。
- テクスチャの見やすさやUIの洗練が印象的で、快適に遊べる。
- 女キャラの巨乳や薄着の見た目にこだわることができ、自由度が高い。
- 音楽や環境演出が素晴らしく、ゲームの雰囲気を良くしている。
- アクションがやり応えがあり、ロードも速くて快適である。
- グラフィックが4Kで高フレームレートを維持し、プレイしやすい。
- キャラクリの自由度や表現力が高く、自作キャラがムービーに反映されるのが嬉しい。
- 戦国時代の設定や妖怪のデザイン、グラフィックのクオリティが素晴らしく、非常に楽しめるゲームである。","- キャラのモデルは素晴らしいが、演技がひどい。
- 火車のデザインが魅力的すぎる。
- イベントアニメーションは30fps固定である。
- 名前付きキャラにボイスがないのが残念。
- 竹中直人の演技が微妙で、他の声優と比較して目立つ。
- 一部装備のダサさが目立ち、見栄えが良くない。
- ムービーシーンはPS4版と同じフレームレートでカクつく。
- 画面が非常に見にくく、前作の方がグラフィックに優れていると感じる。
- 明るさ調整が雑で、画質が異常に悪い。
- 和風の世界観で刀を振ることが唯一の魅力に見える。","- 和風ＢＧＭはゲームに合っているが、印象に残る曲はなかった。
- 大河ドラマのようなカメラワークとキャラクター表情が楽しませてくれた。
- 水墨画風の演出が美しく、ゲームの魅力を引き立てている。
- グラフィックはこの会社らしさがあり、十分に美しいが最先端ではない。
- ドライバやアップデートによる改善を期待している。"
遊ぶ意義,"- ゲームは高い完成度で、1000時間以上楽しめる神ゲーだった。
- プレイすることで自分にとって有意義な体験が得られた。
- 前作からのつながりやエモい要素が評価されている。
- キャラクリはフォトリアル系と比較して最高峰で、美男美女を簡単に作れる。
- ストーリーは人妖の関わりが中心で感動的だった。
- 戦国時代の世界観がよく練られており、特に音楽が印象的だった。
- 日本の史実と伝承が融合した演出がリアリティを与えている。
- 各武将の個性や戦闘を楽しめるストーリー展開が魅力的だった。
- 妖怪たちが魅力的に描かれていて、ゲームの面白さを支えている。
- 和風アクションゲームとして非常にクオリティが高く、達成感や楽しさが感じられる。",,
没入感,"- 重装備やアムリタ吸収を利用すれば、52歳でも楽にプレイできる。
- ゲーム中に周囲の状況が気にならなくなるほど夢中になった。
- あっという間に300時間を超えてプレイしてしまった。
- 仁王2特有の緊張感のある攻防が楽しめる。
- 動作がスムーズで快適なプレイができる。
- 戦闘が進むにつれて対処法が分かり、難易度が絶妙で理不尽さが少ない。
- 主人公の感情がしっかりと伝わってくるストーリー。
- 万全の状態でプレイできていて、不具合を感じない。
- 戦闘中に常に緊張感を持ちながらプレイできる。
- 没入感が強く、ゲームに夢中になり続ける。","- プレイ中は周囲の状況に気付かず、没入感が失われた。
- 死にまくることが心を折りそうに感じた。
- 物語に対する没入感が感じられなかった。
- 緊張から脇汗がひどく出て、ティッシュが必要になった。
- ストーリーに没入できず、何のために進めているのか分からなかった。
- 没入感が途切れる感覚があった。
- 全体的にプレイ中の体験に満足できなかった。","- ゲームを始めて約１時間で死にゲーと実感する。
- 良い点も悪い点も感じられるゲーム性である。
- 戦い方が単調な敵もいるが、それは演出のためと理解できる。
- プレイ中は周囲の状況に気づけなくなることがある。"
成長感の得やすさ,"- プレイヤースキルの向上や成長を実感できる部分が魅力だった。
- システムを理解すれば高難度なアクションも攻略できて達成感が得られる。
- ビルドや武器のバリエーションが豊富で、戦略を考える楽しみがある。
- 操作に慣れることで爽快感が増し、敵を簡単に倒せるようになる。
- 助っ人NPCを活用すれば難易度が緩和され、より遊びやすくなっている。
- レベル上げや装備強化が進むことで、ゲーム全体が楽になっていく。
- プレイを重ねるうちに攻撃手段が増え、やれることが広がる楽しさがあった。
- ストーリークリアまでの時間は約60時間で、達成感を得られる仕組みになっている。
- 難易度はそれほど高くなく、プレイヤーのスキル次第で幅広い層が楽しめる。
- キャラクターの成長を感じながらのプレイが、高いリプレイ性に繋がっている。","- ゲームの楽しみ方には努力が必要で、慣れるまでに時間がかかると感じた。
- アイテム収集が面倒で、最適解がなくても進めることができた。
- ステータスや成長システムに問題を感じ、ゆっくりした成長に不満があった。
- 修羅モードではクリアに高いプレイスキルと装備の厳選が必要。
- 楽にクリアしたい場合は高難易度から装備を整えることが推奨される。
- 自信のあるプレイヤーは挑戦する価値があるが、難易度にバランスの悪さを感じる。
- レベルや装備が整うと、敵を無視しても勝てる展開が多くなる。
- スキルを覚えれば楽しめると自分を励ましながらゲームを続けた。
- レベル上げが難しいデザインになっている点に苦労した。","- 初心者には手段が多く、苦労する可能性があるため、チュートリアルをしっかり見ることが重要である。
- 自力で試行錯誤する必要があるゲームであり、進行には根気が求められる。
- 中盤になるとプレイヤースキルが向上し、システムの理解が深まると多彩なビルド構築やスピード感のある戦闘を楽しめる。
- ゲームの難易度は大きく3つに分かれており、特に2～3周目は最低限の準備でクリアできる。
- 難しさを感じるが、慣れれば楽しめる要素が多い。"
好奇心への刺激,"- ゲームの進化や試合の進行が知りたくなった。
- 前作の未解決な結末を知りたいと思った。
- 人物紹介やアイテム設定のテキスト量に驚いた。
- 日本人には馴染みのない伝承が元になっていることに感心した。
- 複雑なマップ構成で探索が楽しい。
- コンプリート要素があってやり込み要素が豊富。
- 周回ごとに新たな要素が解放されることが楽しみ。
- 歴史や妖怪についての興味を引く音楽やキャラクターが良い。
- 楽しみながら歴史に基づいた新しい説を体験できる。
- これからのストーリー展開に期待している。","- 戦闘システムを把握するのに時間がかかる。  
- 進めたらWEBで解説を読んで勉強することを勧める。  
- ゲームの終わりが見えない状態が続く。  
- どこで販売されているのかも不明である。  ","- 周回要素が豊富なので、途中で挫折するのはもったいないと思う。
- ゲームの進化について調べたかった。
- 試合の進行や今後の展開を知りたくてたまらなかった。"
自由度,"- 無数の選択肢を一つのコントローラに簡単操作で詰め込んでおり、自由にプレイできる。
- キャラクリエイトの自由度が高く、自分好みのキャラを簡単に作成できる。
- 武器種が豊富で、様々なビルドが試しやすい。
- 攻撃・防御・回避に特化した構えがあり、戦闘中に自由に切り替えながら戦うことができる。
- 自分に合ったスタイルの戦闘ができ、爽快感がある。
- 性別や見た目を細かくカスタマイズできる。
-ビルドの振り直しが容易で、無駄なく異なるプレイスタイルが楽しめる。
- プレイヤーの選択肢が多く、様々なプレイスタイルを模索しやすい。
- カスタマイズや戦闘の選択肢が多彩で、プレイの幅が広がる。
- 自由度の高いキャラクリとビルド構築が楽しめるアクションゲームである。","- 様々なビルドを試したが、最終的には特定のビルドに行きつく。
- 自由にプレイすることが難しく、ゲームの枠に合わせる必要がある。
- 倒し方が固定されており、息苦しさを感じる。
- 自由なキー設定ができないため、困惑した。
- 難易度調整が適切であれば、より良いゲームになったと思う。
- マップの自由度が低く、操作性も良くない。
- 全体的に自由を感じられなかった。","- 復活ゲージがみんなで共有されているため、チームワークが必要だと感じる。  
- ゲームの中で様々な試行錯誤をすることが重要だと思われる。  
- キャラメイクができる要素があり、自分だけのキャラクターを楽しめる。  "
