aspect,np,review
操作のしやすさ,1,UIやシステムはシュミレーションゲーの中では珍しいほど直感的で分かりやすく、とても遊びやすいです。操作に困ることはほとんど無いと思うので（困っても調べたらすぐわかる程度）、安心してプレイをはじめられます。
操作のしやすさ,1,出来ることが多すぎると、優柔不断かつめんどくさがりの自分は何をしていいか分からなくなってしまう。このゲームにはそれが今のところ無い。
操作のしやすさ,-1,チュートリアルはあるが基本的な項目だけなので、最初のころは失敗の連続になる。自分で色々と検索して調べ、少しずつ学んでいくのが楽しい人には気にならないと思うが、慣れるまでは何をすればいいか分からない・思うように動いてくれないといったこともある。
操作のしやすさ,1,任意のタイミングで時間を止めて、その間に好きなだけ指示出し・詳細設定出来ると思えば早回しも出来るこれのおかげで多くのサバイバルゲームでありがちな、「考えている・マイクロしている時間＝貴重な資源を浪費している時間」とはならない。逆に、平時は余り操作する必要が無いので３倍速でパパッと建設させたりイベント発生待ちが出来る。逆に、入植者のAIは余り頭が良くないので、マイクロをしてちょっぴり生産性を上げるのも楽しい。
操作のしやすさ,1,最初はとっつきにくいかもしれないが要点を抑えると、途端に時間泥棒へと変貌する「RimWorld」
操作のしやすさ,1,非常にわかりやすい
操作のしやすさ,1,高評価のカバーアクションや指示を出す要素があり、楽しいと感じた
操作のしやすさ,-1,初めてプレイするときは、ゲームのシステムや操作方法がわかりづらく、少々不親切な箇所もあります。
操作のしやすさ,1,操作もある程度直感的に行えるようにUI周りが洗練されています
操作のしやすさ,0,チュートリアルもあるが本当に初歩の初歩までなので不明点が出たら調べながらプレイしていくのがおすすめです
操作のしやすさ,-1,独特の操作性。思うようにメンバーを動かせない。
操作のしやすさ,1,ものすごくやれることが多くて、最初は戸惑いましたが段々慣れてきて楽しくなってきました
操作のしやすさ,0,バニラでロケットを飛ばすまでがチュートリアル
操作のしやすさ,-1,覚えるべき内容があまりにも多すぎる。便利な機能が多い分UIが数多の方向に分離してしまっています。ゲーム中にTipsノートがデフォルトで画面右上に出てくる為、そこでチュートリアルを続行できます。
操作のしやすさ,1,ストラテジー初心者の自分にもできた
操作のしやすさ,-1,操作方法をキチンと把握できれば面白いと感じたが、操作方法を把握するまでモチベーションが保たれない人が少なくないと思った。指示の仕方がわからず、達成感を持てなかった。
操作のしやすさ,1,キャラクターはほぼ指示した通りに思い通りに動いてくれるし、突発的な事案には強制的に行動を指示できるので、おかしな行動をしてイライラするということはほとんど起きていない。
操作のしやすさ,0,直接そのキャラクターを操作するわけではないので、自分が思った行動を的確にとらせることはできないということ
操作のしやすさ,-1,メニューが複雑でわかりにくく（チュートリアルはあってないようなもの…だと思う）
操作のしやすさ,1,一時停止があり、操作自体は簡単なので、ゲーム初心者でも楽しめる。ガチガチのチュートリアルはないが、適宜重要な情報はラーニングヘルパーというものがあるので、いきなり始めて何をすればいいかわからないという事態には陥りにくい。
操作のしやすさ,1,セリフは一切なし、スペースキー押して一時停止を細かく繰り返しながらこと細かく一人一人に行動指示させることもできる、AIの優秀な流れに任せてにやにやヲチってるのがまったりできて良い感じ
操作のしやすさ,1,MODをサブスクライブしたりＤＬしてＭＯＤフォルダで解凍し、ＭＯＤをオンにするだけで、仕組みは難しくない。
操作のしやすさ,-1,セミオート的にゲームを進行させていく中で現れる「なんでお前そこ通るん？」「なんでお前そこにおるん？」という不自由さを、仕事の優先順や経路を小まめに見直すことで最適化していく。RTS的な操作で全てが解決できるわけではないところに若干のとっつきにくさがある。調べればすぐわかる程度なのでパラドとかcivに比べたらだいぶわかりやすいと思うけど、ほぼ確実に「なんでそうなるんだよ、意味がわからねえ」という場面に直面するので「直感でスルスル理解できるゲームしかやりたくない」という人にはおすすめしない。
操作のしやすさ,1,ゲームのインターフェースにMODから逆輸入した上での改善があった
操作のしやすさ,-1,覚える、理解するまでは多少難しい
操作のしやすさ,1,細かな指示が可能 各種業務の細かな優先順位付け、移動範囲の制限、保管場所の制限等がカスタマイズできる。痒いところに手が届くゲーム
操作のしやすさ,1,決してプレイしやすいシステムではないが、程よい不自由さとランダム性で辞められない中毒性がある
操作のしやすさ,-1,ゲームの進め方が解りづらいことだと思う。キャラクターが何を目的に行動しているかもわからないし、自分のやってほしい動きをキャラクターにどうやってやらせたらいいかもわからない。チュートリアルをやってもそこはあまり変わらないだろう。
操作のしやすさ,-1,操作がやや煩雑で、一時停止しての指示が必要なシーンも多々あります。
操作のしやすさ,1,公式なのでUIがマトモ。それだけでお金とるだけはあるな感あふれてる。
操作のしやすさ,-1,"UIがかなり不親切です。〇〇ができない！となっても理由が表示されないため、なぜできないのかがずっと分からないまま進みます。wikiを見ても分からないことの方が多いため、操作方法から手探りでやることが好きな方にはお勧めできるのかもしれません。"
操作のしやすさ,-1,バニラのUIが見づらい
操作のしやすさ,-1,操作、進め方がなかなか癖があり一度挫折
操作のしやすさ,-1,"初心者が最初に躓くのは操作、設定でしょう。"
操作のしやすさ,-1,"UI is difficult to use and understand, and I would like to see it improved. When the lineup at the top of the screen is different from the lineup when selecting a character for an expedition, it is quite tedious to search for a character. The buttons to check the character and selection are far apart on the left and right, so I frequently press the wrong button. It is quite tedious to change them by clicking and pressing each time."
操作のしやすさ,1,分かりやすいUI
操作のしやすさ,1,システムはとても判りやすくよく出来てるので買って損はしないはず
操作のしやすさ,-1,説明が不親切。プレイヤーが何かをしたかったとして、細かく指示を出すよりも大部分は入植者にやらせる必要がある。その際の指図の手順が独特かつ複雑なので、手順を憶えたり感覚的に理解するまでの導入部分でかなり躓く人が多そう(入植者が思い通りに行動してくれなかったときに、その理由の説明や、どうやったらうまく行くかの説明がない、あったとしても非情に粗い)。プログラミングにおける、デバッグ作業のような気色の頭の使い方が要求される。
操作のしやすさ,0,ゲームが上手い方や慣れている方はすぐ気づくのだと思いますが、私は500時間くらい遊んでから気づいたので一応記載します。LとRでスクロールできる（親指マウスパッドからの解放）連続指示はR5を押しながら（４が時間操作だから自分でR5に割り当てたかも…）左パッド上部でアーキテクトが開く（続けてグルグル選択もできる）
操作のしやすさ,-1,操作性が難しく、融通が利かない事が多く慣れるまで大変
操作のしやすさ,-1,操作が難しそうと感じた
操作のしやすさ,1,基本的には優先順位を付けておくと勝手に自分の仕事をしてくれるので、建造や製造ライン、研究などの指示を出しておけば最低限の動きは勝手にしてくれる。
操作のしやすさ,-1,操作含めて分かりにくい要素が多い
操作のしやすさ,1,お手軽に、自由に建築ができる そして住民にかなり細かく指示ができるのが素晴らしい
操作のしやすさ,-1,システムを覚えるのが大変(不親切なだけ)なため挫折。キャラクターをうまく操作できず何度も死んで覚える気力も出なくなった。UIも直感的でなく、見たい情報を見るまでのステップがやや多い。ゲーム自体がとっ散らかってる感じで、ベータ版をプレイさせられている感じ。全てが不親切。
操作のしやすさ,1,操作はわかりやすく、殆どチュートリアルをやらずにクリアできてしまいました。
