aspect,review
操作のしやすさ,攻撃ボタンを押し続けるとキャラクターの動作が止まるのが心地よいが、移動中にUIが表示されず風で方向を示すのは斬新で優れたアイディア。快適なプレイフィールでアクションも簡単、ただしキーボード操作は難があり初期配置のセンスが悪い。バグや操作性の不満もあるが、全体的に遊びやすく、特にゲームパッドでのプレイを推奨する。
難易度の適切さ,ダークソウルをやり慣れていれば苦戦しないが、プレイヤーの操作に応じた難易度調整が可能で、ストレスなく楽しめる。最初は難しく感じるが、慣れることで楽しくなる。戦闘はやや単調だが、戦略を駆使すれば楽しめる。ボス戦は覚えゲーで適度な難易度設定が魅力。全体的にバランスが良く、特にストーリーは別の楽しみも提供している。
進捗の明確さ,
目的の明確さ,ゲームはストーリー重視で、道しるべがオシャレで効果的。ステルスの必要性が説明され、主人公の戦う意志が明確だが、目的地確認時に他ゲームのような矢印はなく、クエスト進行でメインストーリーに戻れないことがある。風による目的地表示は独自だが、遊びやすさのために設定での切り替えが欲しかった。
視聴覚の魅力,美術と表現力が優れたゲームで、日本へのリスペクトが感じられる。グラフィックが美しく、特に自然の描写や戦闘の動作に高評価。ストーリーも没入感があり、全体の雰囲気が魅力的。音声バグがあるものの、プレイ体験を大きく損なうものではなく、多くの要素が高い完成度を誇る。
遊ぶ意義,日本文化への深いリスペクトと愛が感じられるこのゲームは、重厚なストーリーと感情移入を促す人物描写が特徴。武士や誉の重要性を丁寧に描き、オープンワールドの世界観も素晴らしい。制作陣の熱意と情熱が詰まった作品で、遊ぶ価値を感じた。御影殿の生き様が現代にも通じる安心感を与え、プレイヤーに意味のある体験を提供する。
没入感,ツシマの世界観に没頭でき、プレイ中は周囲を忘れるほどの没入感がある。美しいオープンワールドや馬の挙動、映画のようなムービーも魅力的で、楽しいストーリーに引き込まれた。ただ、暗すぎる夜やゲームシステムに違和感を感じる部分もあった。
成長感の得やすさ,戦闘に慣れるとスタイリッシュに敵を斬り捨てる楽しさがあり、徐々にできることが増えて難易度も適度で遊びやすい。ジャストガードやステップを利用し、攻略を進めることで高難易度でも楽しめる。爽快感があり、戦闘を繰り返しながらも最後まで楽しめた。ただし、育成要素が少なく、さらに強化要素が欲しいと感じた。
好奇心への刺激,キツネたちと共に島の温泉を巡りながら、サイドストーリーや収集要素を楽しむことができる作品です。探索の過程で新たな発見があり、写真撮影の楽しみも加わります。中世史に興味を持つきっかけにもなり、やりこみ要素が豊富で長く楽しめる良質な内容。シナリオも気になる展開があり、全体的に充実した体験が得られる。
自由度,戦闘に工夫があり、自由度の高いプレイスタイルが楽しめるゲームで、一貫した体験ができる。探索やストーリー進行の自由度が高く、難易度調整もフレンドリー。しかし、同じアクティビティの繰り返しや戦闘の飽きが散見され、クエスト中のエリア制限や装備切り替えの煩雑さが不満として残る。
