aspect,pos,neg,neu
操作のしやすさ,"- MAPの作りが丁寧で、自力で探索が楽しめた。
- 操作性はやや煩雑だが、全体の遊びやすさは向上している。
- 戦闘以外でのスタミナ消費がなく、探索中は走り放題で気に入った。
- UIや収納の効率化により、ストレスが軽減されている。
- 広いマップでも瞬間移動が可能で移動のストレスはない。
- 馬の操作性が良く、二段ジャンプの爽快感があった。
- 操作感は前作と同じで、新規プレイヤーにもとっつきやすい。
- 道中の復帰ポイントが多く、遊びやすさが増している。
- 戦闘システムはダークソウルに似ており、親切な設計。
- 初心者でも無理なく攻略できる環境が整っている。","- キーボードマウスユーザーはコントローラー使用を推奨している。
- マップの操作性やキーコンフィグに不満があり、特に下馬の操作方法に問題を感じている。
- 自機の動作が鈍く、ロックオンが分かりにくいと評価している。
- 回避とダッシュの競合にストレスを感じ、操作性が悪化していると主張している。
- 探索の楽しさやストレスの少ないフィールド設計を評価している。
- UIの不便さやカメラワークの問題に不満を持っている。
- 幾つかの操作仕様が悪く、操作ミスが多発していると述べている。
- 操作性の悪さが死亡やストレスの原因になっていると感じている。
- カメラやUIが改良されるべきで、特にコントローラーの反応速度に不満がある。
- 操作に関する期待が裏切られ、慣れるまでが大変だと感じている。","- 上方向へのジャンプが追加され、探索の幅が広がった。  
- ゲームのコントロール方法が明確であった。  "
難易度の適切さ,"- 難易度は高いが、苦労しすぎることはなく、楽しめる要素が多いゲームだと感じている。
- ボス戦が当初は厳しいが、ネットの攻略動画を参考にすればクリアできるため、挑戦する価値がある。
- 遺灰などのアイテムを駆使することで、難易度を自分に合わせて調整できる面白さがある。
- 各地の探索要素が豊富で、レベルアップや装備強化が可能なため、進めなくなる心配が少ない。
- 高難易度ながらも救済措置が多く、プレイヤーの選択次第でクリアの可能性が広がる印象を受けた。
- 初心者にも優しい設計となっており、オープンワールドの特性を活かして進行できる。
- ボスの強さや行動パターンを学びつつ挑戦することがゲームの醍醐味になっている。
- 難しさに対して達成感が大きく、試行錯誤を楽しむことができる要素が豊富である。
- 戦闘スタイルが多様で、プレイヤーに合ったビルドの選択が楽しめる。
- 過去作よりも親切な部分があり、初心者でも遊びやすい設計がなされていると感じられる。","- 難度が高いがストレスを感じる場面が多く、理不尽さが際立っている。
- ボス戦は達成感よりも疲労感が残り、攻略方法が単調に感じる。
- プレイヤーの自由度が敵の行動によって制限されており、不愉快を感じることが多い。
- 雑魚やボスが非常に強く、簡単に死んでしまうことが多い。
- 敵の攻撃が即死級で、特に終盤は非常に難しく感じる。
- 雑な難易度調整が目立ち、理不尽さが悪化している。
- 敵の動きが速く、プレイヤーとの格差が大きく感じる。
- ボス戦におけるHPの高さや攻撃速度のインフレが問題視されている。
- 一部ボスはただのギミックに感じられ、普通の敵とのバランスが取れていない。
- ゲームにおけるストレス感が増しており、楽しむことが難しくなっている。","- ゲームの難易度は適度で、プレイヤーによって変化する。
- NPC「遺灰」の有無で難易度が大きく異なる。
- 戦闘バランスが練り込まれているが、終盤は大味感がある。
- 敵が強化されるため、普通のプレイヤーはレベル100を超える必要がある。
- 難易度はプレイヤーに優しくなく、慎重に行動する必要がある。
- 探索が重要で、アイテムを手に入れるにはマップをしっかり調べる必要がある。
- 過去作に比べてボスは強化されているが、プレイヤーの選択肢も増加している。
- 多くの敵は無視して進むことも可能で、馬を利用すれば簡単にスルーできる。
- 難易度に対する賛否が存在するが、具体的な評価はされていない。
- 向き不向きが分かれるゲームで、全体的には高めの難易度だと感じられる。"
進捗の明確さ,"- 周回することで成長を実感できると思う。  
- ボスを倒した時の快感を求めて、狭間の地を探し回る。","- サブクエやメインクエの区別がつかない。
- MAPやクエストログが不足している。
- 進行中のイベントややり残しを把握できない。
- 進捗の明確さがないため困る。
- ジャーナル機能の実装を希望している。
- 次の行動が不明である。
- 攻略サイトを見なければ進行状況を忘れてしまう。",
目的の明確さ,"- ゲームの全体的な目標が理解できた。
- 目的が曖昧だからこそ探索への意欲が湧く仕掛けが存在する。
- 作り手の目的意識が一貫している点が素晴らしい。
- ゲームの目的は明確だと感じた。
- プレイヤーが楽しむべきポイントが筋道立てて示されている。
- この点に対して評価が高い。","- 雑魚を使って生き延びるゲームだが、目的地がわかりづらい。
- ゲームの内容が非常にわかりにくいと感じる。
- 重要アイテムの位置や行き先が不明確。
- 先に進むためのヒントが不足している。
- ストーリーと目的が曖昧で何をすればよいかわからない。
- 1周に178時間かかったのはそのためだ。
- NPC関連のイベントもわかりにくく、攻略サイトを見ないと進めない作り。
- NPCがいる場所がMAPで把握できず不親切。
- NPCイベントの目的地マーカーもなくて迷うことが多い。
- 初見でクリアするのが非常に難しいと感じた。",- メーカーの意図する使い方が分からない。
視聴覚の魅力,"- 西洋的な退廃ファンタジーと日本のテイストが融合して面白い。
- 美しい景観がゲームプレイを癒やし、視覚的に魅了する。
- ボス戦の緊張感と解放感がオープンワールドならではの魅力を生む。
- グラフィックとサウンドトラックの組み合わせがゲームの魅力を高めている。
- ビジュアル表現が優れ、美しいスクリーンショットが撮れる。
- 世界観やキャラクターデザインが素晴らしく個性的な体験を提供。
- フィールドの広さと詳細な描写が探索の楽しさを増している。
- 音楽やデザインが高品質で、全体的なゲーム体験を強化している。
- 敵やアイテムのデザインも細かく作り込まれ、飽きさせない。
- 主題とエフェクトが美しく、プレイヤーに印象深い冒険を提供する。","- 世界観は素晴らしいが、実際には空虚で期待を下回る内容だった。
- ボイスオフにしても自キャラの悲鳴が大音量で不快だった。
- 暗くフォギーな画質で、フレームレートが不安定と感じた。
- グラフィック設定を最低にしてもプレイが難しい状態だった。
- ボスの攻撃演出が厨二的で気に食わない点が多かった。
- 画像と音、字幕が合っておらず、ゲームとして成立していない。
- 敵やマップが描写されるときにカクつきが発生する。
- 美麗なグラフィックスも薄暗く、探索が楽しくない印象を与える。
- 一部のフィールドは美しいが、本編に比べるとスカスカで不満が残った。
- 最適化不足と設定の少なさ、DLSS未対応で手抜きと感じた。","- 世界観や絵作りが魅力的で、没入感を高めて欲しいと感じる。
- ゲーム自体は良いが、グラフィックに不具合があり満足していない。
- 戦闘時と非戦闘時のBGMの違いがもっと分かりやすいと良かった。
- 探索が苦手な自分にはオープンワールドがデメリットに感じられたが、好きな人には楽しめる要素が多い。"
遊ぶ意義,"- ダークソウルの要素を受け継ぎつつ、神ゲーと称される作品。
- 死亡を楽しむ要素があり、特に強敵に勝つ喜びが際立っている。
- 物語を押し付けないRPGであり、世界観に浸ることができた。
- プレイすること自体に意味を感じ、心から楽しめる作りになっている。
- 一ヶ月間ずっとゲームに没頭し、子供の頃のような熱中感を味わった。
- 壮大な世界観と独特の魅力があり、他の作品にはない没入感を得られる。
- 死にゲー初心者にも向いている作品で、プレイする価値がある。
- 達成感が得られ、それによって生まれる喜びが大きい。
- オープンワールドの広がりや魅力が強調され、過去作との懐かしい共鳴を感じる。
- 社会人であることを忘れ、没頭することで魔法のような時間を経験した。","- 達成感や探索の高揚感は感じられたが、中盤以降は薄れてしまった。
- ゲーム自体は楽しいが、買ったことに対しての気持ちが良くない。
- 遊びの幅や不便さが異なるため、過去作をプレイした人向けのレビューとなっている。",
没入感,"- 数時間ぶっ続けでプレイしても問題なく、楽しく遊んでいる。
- マップが丁寧に作られており、探索が楽しいのでプレイ中は夢中になっている。
- 一度もクラッシュやフリーズがなく、ボス探しに熱中できる。
- プレイ中に周囲の状況に気付かず、試合に集中している。
- マップの密度が高く、洞窟などの固有な形状がプレイを飽きさせない。
- 退廃的な世界観を堪能でき、時間を忘れて遊ぶことができる。
- 中毒性が高く、理不尽死や無限の探索が楽しめる。
- 戦闘が緊張感を伴い、楽しく感じられる。
- ソロプレイでも寂しさを感じず、ずっとプレイしたくなるゲーム。
- UIが洗練されており、名もなき冒険者となったかのような没入感がある。","- プレイには物凄く集中力が必要で、中年のおじさんは休憩が不可欠だ。
- 戦闘中、視界がガクガクして没入感が損なわれることがある。
- 強敵との戦いで集中している際に起こると非常にストレスがたまる。
- 自力で倒した感覚が薄く、疲労感だけが残る結果となる。
- 没入感を妨げる小さなトラブルが痛手だと感じる。
- 周囲の状況に気付かなくなり、プレイ中の集中が高まる。
- 達成感が得られず、しんどさが増す一方で再プレイしたくもなる。
- 映画を途中で止められたような興を削がれる体験がある。","- 緻密に設計された寂寞とした世界に没入感を求めている。
- プレイ中は周囲の状況に気づかなくなるほどの没入感がある。"
成長感の得やすさ,"- プレイヤーは多様なプレイスタイルで楽しめ、協力機能やNPCを活用できる。
- ボスを倒す際に動画やレベリングが役立ち、クリアが可能になる。
- 難易度は絶妙で、何度も挑戦することでカタルシスを得られる。
- レベルアップや探索を通じて、強敵に勝利した際の達成感が大きい。
- フロムの特徴を活かしたレベル制は、初心者にも配慮されている。
- 自分の成長を感じながら、試行錯誤を楽しむことができる。
- レベル上げや強化が容易で、全体としてクリアしやすくなっている。
- ボスの行動パターンを学びながらクリアを目指す楽しさがある。
- プレイヤーの努力が評価され、達成感を得やすい設計になっている。
- 探索やレベリングを楽しみつつ、アクションゲームを無理なく攻略できる。","- 過去作のような自分の成長を感じる楽しさが得られないので、購入はお勧めしない。
- 勝った時も運だと感じ、勝利に対する納得感を得にくい。
- プレイヤー自身の成長が実感できず、フェア感に欠ける。
- ダークソウル3やSEKIROでは成長を感じられたが、エルデンリングではそうした経験がほとんどない。
- 「やった！」という達成感が薄れ、自分の成長を感じることが難しい。
- パターンを覚えたりビルドを変えたりするが、進むことに苦労している。
- トータルで達成感があまり感じられない。","- プレイヤーレベルの向上が求められるが、難易度はボダランのTVHモード程度である。 
- 格ゲーやFPSの対戦と比べて格段に易しい。"
好奇心への刺激,"- フィールドやボス、敵の雰囲気を楽しむ設計になっていると感じる。
- マップが丁寧に作られており、探索が非常に楽しい。
- ダクソの雰囲気をしっかり感じられ、未知なる世界との冒険が魅力的。
- 探索することで新たな発見やドキドキ感が得られる。
- フィールドの様々な場所に行くことで、何かが見つかる楽しさがある。
- オープワールドの特性を活かしたイベントや隠し要素が存在する。
- NPCやフレーバーテキストから物語や世界観を読み解く楽しさがある。
- 探索範囲が広大で、多様なアイテムや敵が楽しめる。
- 自由に探索できる環境がプレイヤーの好奇心を刺激する。
- 次回作への期待感も高まり、新しい冒険が楽しみである。","- 次のボスを探すのがとても楽しく、時間を忘れるほど熱中することができる。  
- ラスボスのビジュアルには満足できず、もう少し印象に残る演出が欲しかった。  
- 難易度や探索の楽しさが情報を調べることで台無しになるため、初回プレイ時は情報検索を避けるべき。  
- 次にオープンワールドが出たら購入する可能性が高いが、今回は期待外れだった。  
- ストーリーに関わるラスボスたちが印象に薄く、「誰？」という感想を持ってしまった。  ","- ゲームの進化について興味がある。
- ストーリーは謎が多く、断片的な情報が与えられる。
- マップをしっかり探索しないと理解が難しい。
- プレイ中に意味を考える瞬間が多い。
- ストーリーは不明瞭だが、その考察が楽しめる。"
自由度,"- プレイスタイルが豊富で楽しめる要素が多い。
- オープンワールドで寄り道やすい設計になっている。
- キャラクターメイクやステータス振り直しが自由にできる。
- 自由度の高い探索が魅力で、攻略の選択肢が多い。
- 難易度調整が個人のプレイスタイルに応じて可能。
- 馬の移動が快適で、更に探索が楽になる。
- 自分の好きな戦技や武器を用いて攻略できる。
- 2周目でも新たな発見があり、プレイが飽きない。
- マルチプレイやNPC召喚により救済措置が充実している。
- 自由に行動できることでゲームの楽しさが増している。","- オープンワールドの自由度が感じられず、敵を無視して駆け抜けるのが正解とのこと。
- ステータスや武器の振り直しが限られていて、多くの選択肢が実質的に機能していない。
- 攻略の自由度がほとんどなく、戦闘以外でできることが少ない。
- オープンワールド化によって世界は広がったが自由度は広がっていない。
- 特定のビルドが強すぎて自由度を損なっている。
- ストーリー進行のみで解放される地域が多く、楽しめる要素が削除されている。
- キーコンフィグが細かく設定できず、ダッシュとローリングの割り当てもできない。
- 探索の楽しみがあるが初心者には厳しく、ソウルシリーズのファンにも面倒な部分がある。
- 自由にゲームをプレイする感覚がなく、探索の楽しみや自由度が低いと感じられている。
- 敵によって武器や戦闘スタイルを変更するのが面倒と考える人には向かない。","- 敵が強くて進められない問題が減少し、自由度が向上していると感じる。
- 探索がメインで、敵との戦いはそれに付随している。
- 装備や遺灰の縛りを自分で設定することでプレイスタイルが変わる。
- 特に馬の扱いに注意が必要で、自分で工夫が求められる。
- マップを自由に探索する楽しみがある。
- ビルドの幅が広く、選択肢が多い。
- 装備条件に合う武器に強力な戦技をつけると道中やボスに対処しやすい。
- カメラ設定の自由度を上げることが重要だと感じる。"
