aspect,np,review
操作のしやすさ,-1,キーボードマウスのユーザーはおとなしくコントローラー使ったほうがいい
操作のしやすさ,-1,セレクトで開いたマップはセレクトで閉じれるようにしろ。下馬をL3押し込みにするの暴発するからやめろ…というかまともなキーコンフィグを用意しろ。
操作のしやすさ,1,MAPの作りが丁寧で、探索をとても楽しめました。入り組んだ地形なのですが、落ちているアイテムを追っていったり、敵の配置を観察していると次に進む道がわかるようになっていたので、攻略サイトに頼らなくてもほぼ自力でMAPを埋めることが出来ました。ダンジョンも本編で正直単調で苦痛だった後半の地下墓、英雄墓みたいな飽きやだるさを感じさせない作りになっていて、視界も良く、ストレスなく遊べました。
操作のしやすさ,-1,"自機の操作性の悪さは相変わらず。ロックオンの射程距離が伸びたのは評価点ですが、分かるようでまったく分からねえロック対象選定基準。矢を発射する""直前に""ロックが外れる絶妙な握力のなさ。武器切り替えはアイコン逐一光るくせに反映は妙に引っかかりがあります。そしてギリギリ間に合わなかったローリング入力がひるみ解消時に解決されてロリ狩りの格好になる様式美……。"
操作のしやすさ,-1,過剰なまでの先行入力が問題で、回避ボタンとダッシュボタンが競合してシビアな反応を要求されるのに応答性が前作より低下していると感じた。クソでかいボスをロックオンすると敵の動作が見えなかった。
操作のしやすさ,0,明確な上方向へのジャンプが加わったことにより、探索に幅が出たこともプラス要素と捉えた。
操作のしやすさ,-1,操作方法を覚えることが重要だと感じた
操作のしやすさ,1,やや煩雑な操作性、メニュー・UI・操作周りに進歩が感じられない、アイコンが何を表してるか分かりにくい（説明もない）
操作のしやすさ,-1,"エルデンの何が面白いか、というとこれです。探索がたのしいし、フィールドを動き回るうえで極力ストレスがないように作られてる。魔術だと間合い管理も雑でいいし、遺灰を使えばモーションの見切りも雑でいい。ダクソ3は踊り子で挫折した自分も、ほぼトロコンしてクリアできた。メインを進めるうえでは、""飛び石ジャンプ""がないのも素晴らしい。横位置を合わせて前に落ちるだけで、大抵の立体的な構造は突破できる。だから攻略サイトは見ろ。クエスト管理は明確に弱点だ。"
操作のしやすさ,-1,コントローラー難あり
操作のしやすさ,-1,カメラの自動補正が修正されてほしい。感度が早すぎる。
操作のしやすさ,1,操作にも慣れ始めたプレイヤー含めてキャラのレベル上げのルーンだって溜まるメリ。
操作のしやすさ,-1,視点移動しただけでかくつきますしローリングも押してから行動するまでにラグがあります
操作のしやすさ,-1,UIが圧倒的に不便
操作のしやすさ,-1,操作感も良くアクション性が期待できるが、視点移動に関してはキーボマウス向けが必要であり、動きがガクガクするという問題がある。
操作のしやすさ,1,戦闘以外ではスタミナの消費がなくなり探索中は走り放題となった部分は過去作から格段に遊びやすくなり、そこに気づいた瞬間は地味ながらも感動したのをずっと覚えています。
操作のしやすさ,-1,特に巨大な敵と戦う時なんか操作性がゴミ過ぎる。敵ともカメラとも戦わないといけない。基本的なアクションシステムがクソすぎてイライラすることの方が多い。
操作のしやすさ,1,操作性、バトルシステムが最高だったからですね。
操作のしやすさ,-1,"ユーザーインターフェースの悪さ（死亡した馬の再召喚をいちいち選択肢表示＋初期位置NOなど。戦闘中にやることか？）とカメラワークの悪さによる敵の捉えにくさがあった。 カメラ、移動デザインの練度の低さには悪い意味で驚かされた。 "
操作のしやすさ,-1,退化したキーバインドと操作性について不満があった。騎乗戦の時のカメラ操作が難しく、新要素が高速戦闘に最適化されていなかった。
操作のしやすさ,-1,アクション苦手な私みたいな人は魔術ビルドで始めるのが良いと思います、記憶する魔術は2つ、多くて3つに絞った方が誤操作に悩む事なく快適だと思います
操作のしやすさ,-1,この操作性でマリオ64やりたくないんだけど。
操作のしやすさ,-1,どこに行くのか非常に分かりにくい
操作のしやすさ,-1,操作性がなにも進歩していません。操作性の悪さで死亡してしまうことは難易度とは関係ないのでそこは改善してほしいです。
操作のしやすさ,-1,ローリングの仕様がアクションゲームとして終わっている。ボタンを離したときに発生するが、プレイヤーの感覚より一拍遅く発生する。ボタンを離した後にスティックを逆に入力するとカクカクっとした動きになる。ラグの最中に攻撃を食らうと勝手にローリングが先行入力として発生する。操作の気持ちよさをなくしてしまっている。
操作のしやすさ,-1,操作性の悪さからもストレス要素でしかなかった、すぐ落馬するしめんどくさいだけである
操作のしやすさ,1,UIや収納もかなり効率化が図られているため、ストレスは戦闘による悔しさのみ。
