aspect,review
操作のしやすさ,戦闘とクエストが楽しめるゲームで、操作性やAPシステムは直感的に使いやすい。ただし、移動やアイテム管理にストレスを感じる部分が多く、特にUIやコントローラーの動作に不満が残る。慣れるまでは大変だが、じっくり楽しめる要素もある。
難易度の適切さ,戦闘バランスが秀逸で、初心者から熟練者まで楽しめる難易度が揃っている。戦術的な要素が求められ、難しく感じるが達成感が得られる。ゲームに馴染むと超面白く、何度でもプレイしたくなる。ただし、難易度が高く、理不尽さを感じる場面もある。セーブやロードを繰り返しながら進む必要があり、戦闘は戦略的思考が要求される。
進捗の明確さ,ゲームの進行が複雑でわかりにくい。
目的の明確さ,目標達成を重視する人には適しているが、クエストがわかりにくい。手順や場所を調べる必要があり、自由度が高すぎて目的が混乱する。話の理解も難しく、進行状況が不明瞭であるため自然なプレイが難しい。固有の用語も多く、理解には時間がかかる。
視聴覚の魅力,世界観やストーリーが深く、没入感を高める要素が多いゲームだが、翻訳やオーディオに不具合があり、日本語訳が不明瞭な部分もある。グラフィックや音楽の評価は高く、戦闘システムは楽しめる。全体的に魅力的な作品だが、一部改善点も存在する。
遊ぶ意義,協力して物語を進めるロールプレイ重視のゲームで、プレイヤーのモチベーションが高まる。感情移入しやすく、ストーリーやエンディングも素晴らしいと評価され、仲間との絆を確かめる印象的なイベントがある。価格以上の価値を感じ、有意義な遊びを提供するゲーム。
没入感,Divinity: Original Sin 2は圧倒的な没入感を提供するゲームで、選択肢がプレイヤーの感覚を強める工夫が施されている。自由度が高く、ストーリーに夢中になれる内容で、プレイする中で時間を忘れるほど楽しめる。しかし、一部で移動が億劫で没入感が損なわれる点や、翻訳の問題もあり、それが楽しさを減少させる要因となっている。
成長感の得やすさ,LVがサクサク上がり、キャラメイクや再割り振りができるため、楽しんでビルドを振れる。達成感や充実感があり、戦術を駆使して強敵にも勝てる。成長が実感でき、戦闘が広がる。初心者でも攻略できるが、成長によるアドバンテージは薄い。
好奇心への刺激,ストーリーの分岐や選択肢が魅力のゲームで、プレイヤーは様々なルートを楽しめる。周回プレイやキャラメイクの楽しさがあり、理解力が必要だが興味深く、やりこみ要素や探索要素も豊富。発見や驚きが常にあり、プレイする価値がある。
自由度,このゲームは自由度が高く、キャラクターの選択や行動によってストーリーが大きく変わる。プレイヤーはオリジナルストーリーを制作・共有でき、戦闘やクエストの進め方も多様で楽しめる。また、仲間のビルドやキャラメイクの自由度もあり、戦略や選択による違った楽しみ方ができる点が魅力的である。
