aspect,pos,neg,neu
操作のしやすさ,"- 戦闘とクエストが楽しめるゲームである。
- APを要求するゲームとしては最高峰と評価されている。
- 非常に遊びやすいと感じている。
- 戦闘が直感的に行えるので、説明を読まなくても楽しめる。
- 操作性や不便な点が改善され、ストレスフリーである。
- 面白くて遊びやすいという意見が多い。
- 操作に慣れるまで時間がかかるが、読み込めばもっと楽しめる。
- PS4コンの決定ボタンが1から2で変更されたことに言及。
- 戦闘システムが簡単に理解できると評価されている。
- 日本語で特別な設定をせずに使えた。","- UIの変更は良かったが、インベントリが使いづらく検索機能がないのが問題。
- 移動が億劫で没入感が低下していると感じた。
- 大きな町の探索が面倒に思え、やる気を失ったが、慣れると楽しめた。
- 戦闘システムは慣れないとわかりにくい。
- アイテムが多すぎて目的のものを探すのに時間がかかる。
- コントローラーでの操作性があまり良くなくストレスを感じた。
- 操作性全般が悪く、前作とあまり変わっていない印象。
- 神視点での命令操作が没入感を低下させた。
- マウスでの操作に癖があり、使い勝手が良くないと感じた。
- 決定ボタンや操作の反応に関するストレスが大きく、全体的に操作が大変だった。","- ゲームパッドに対応しているが、操作ミスが多くて厳しい。
- 操作性が独特で、他のゲームと並行して進めると慣れにくい。
- MODで細かい操作は変更できるが、基本的な操作性を根本的に変えるのは難しい。
- アイテム探索や地形判定の操作感が不満で、改善を求めたくなる場面が多い。
- ドアの開け方や物の置き方に気付くまでに時間がかかった。
- 移動が少し遅く感じるが、ファストトラベルがあるのであまり気にならない。"
難易度の適切さ,"- 戦闘バランスが優れており、様々な難易度が用意されている。
- RPG初心者から熟練者まで楽しめる設計になっている。
- 低難易度でも高満足度のタクティカル戦闘が楽しめる。
- 難しさは楽しいものであり、中毒性があると感じる。
- ゲームに慣れるまでのハードルは高いが、慣れれば非常に面白い。
- 戦略的な思考が求められ、挑戦しがいがある。
- 戦闘は前作より改善され、複雑さが増している。
- 難易度は高めだが、頭を使うことで楽しさが増す。
- 適度な戦略性があり、ゲームの自由度も高い。
- 敵の強さやゲームの流れに応じて、プレイヤーが工夫する必要がある。","- クエストの進行が不明瞭で、攻略サイトなしではクリアが難しい。
- 難易度「クラシック」は初見プレイでクリアがほぼ不可能な設定になっている。
- レベル差が厳しく、サブクエストを全てこなさないと勝てない状況に陥る。
- 戦闘ではセーブ・ロードを繰り返さざるを得ず、プレイのテンポが悪化する。
- 高難度のパズルや敵によって挫折感を味わうことが多い。
- クラフト要素があまり活かされない状況が難易度低下になっている。
- 初見殺しや理不尽な戦闘が多く、プレイ時間が長くなる傾向にある。
- レベル差補正が強く、数値に依存した戦闘が多いと感じる。
- 敵の装備差が大きく、快適に楽しむには高いプレイスキルが求められる。
- 攻略サイトなしでは詰み状態になりやすく、不親切なゲームデザインがストレスを引き起こす。","- ゲームの難易度設定について具体的な説明が必要だった。
- 難易度は前作よりも若干難しくなっている可能性がある。
- 敵は硬く強いが、戦闘の頻度は少ないと感じられる。
- 理不尽さを感じることもあり、あまり難しすぎない。
- 難しいと感じる人には二人旅とローンウルフの使用を勧める。
- 難易度が存在し、戦闘には考える力が求められる。"
進捗の明確さ,,- ゲームの進行が複雑である。,
目的の明確さ,- 目標達成を目指す人に適している。,"- クエストがわかりにくく、手順や場所を調べる必要がある。
- 自由に行き来できるため、目的が混乱する。
- ストーリーが理解しづらく、製品版に対して不安を感じる。
- クエスト確認画面がわかりづらく、進め方に工夫が必要。
- 目標地点やヒントが不十分で進行が難しい。
- 主人公の目的が不明確で、全体のテーマが掴みにくい。
- 目的地が示されず、探索が非効率的。
- 何をすれば良いのか、どこに行くべきかがわからない。
- 手探りプレイには向いていない印象がある。
- 全体的にクエストの設計に改善の余地がある。",- 固有の用語が多くて理解に時間がかかるが、続ければ理解できると思う
視聴覚の魅力,"- 訳が世界設定を理解したものになっており、没入感が高い。
- 冒険を彩る音楽やテキスト描写がストーリーに深みを与えている。
- 感情移入しやすく、世界に住みながらプレイする感覚がある。
- ラストバトルは熱く、EDのキャラ後日談も素晴らしい。
- 雰囲気や世界観が良く、全く投げ出す気にならない。
- フィールドグラフィックが美しく、視覚的に楽しめる。
- 会話の日本語訳がユニークで面白い。
- ビジュアルやサウンド面は高水準で、プレイが快適。
- 戦闘が楽しく、洋ゲーをあまり気にせず楽しめる。
- AAAクラスのRPGで、迷っている人には購入を勧める。","- 翻訳が有志によるものであるが、造語が多く会話内容が理解できないことがある。
- 字幕が重要な情報と重なって読めず、ストーリー理解に支障が出る。
- 音楽については前作の方が良いと感じるユーザーが多い。
- ビジュアルや世界観は個性的で完成度が高いと評価されている。
- オーディオ関連の不具合が多く、体験に影響を与えている。
- グラフィックが美しいが、それに合わせたシンプルな冒険が求められている。
- アニメーションやターン制の速度に不満を持つ意見が見受けられる。
- 日本語訳が機械翻訳のようで、ひどいという評価がある。
- 日本語になっていない場面も多く、RPGとしての完成度に疑問が投げかけられている。
- それにも関わらず、他の部分が魅力的であるために残念に感じている。","- ゲームというよりも映像付きの物語を楽しむビューワーで、読み物としての体験がメインである。時間がある人や物語が好きな人に向いている。
- キャラクターは可愛いとも綺麗とも言えないが、ストーリーの雰囲気には合っていると感じる。"
遊ぶ意義,"- 協力して物語を進めることができるゲームで、プレイが有意義だった。
- ロールプレイを重視し、キャラへの愛着がプレイヤーのモチベーションを高める。
- ゲームの素晴らしさを実感し、心から楽しめる作品である。
- 非常に満足できる内容で、前作を楽しんだ人には特にお勧め。
- 次に何が起こるのか期待を持ちながらプレイできる。
- 感情移入度が高く、世界に没入しながら楽しむことができる。
- ストーリーのラストバトルは感動的で、エンディングも素晴らしかった。
- 後日談も充実しており、完成度の高い作品と感じた。
- RPGとして理想的な作品で、微細な欠点は気にならない。
- エンディングによる達成感と喪失感が印象的で、仲間との絆が深まるイベントに心を奪われた。",,- 長期休暇に適したゲームである。
没入感,"- 没入感が強く、会話内容がよりリアルなロールプレイ感を提供している。
- Divinity: Original Sin 2は圧倒的な完成度と世界観を持っており、プレイヤーを引き込む。
- プレイヤーは物語を読み解くことに多くの時間を費やし、その時間が最も楽しいと感じる。
- 重厚なストーリーに感情移入し、Divinityの世界を生きているリアルさを実感できる。
- 自由度が高く、自由なロールプレイを楽しめるのが特長である。
- 洋ゲーに抵抗がある人でも楽しめる戦闘が魅力的。
- プレイ中に時間を忘れるほど夢中になれるゲームである。
- 映画を観たかのような体験ができるストーリー展開がある。
- グラフィックスは素晴らしく、没入感を増幅している。
- プレイ中は周囲に無頓着になるほど夢中になる。","- 移動が億劫で没入感が低下している。
- 常に神様視点でキャラに指示を出すため、没入感が薄れる。
- 没入感の低下がプレイ体験に大きな影響を与える。
- 低い没入感からストーリーに感情移入できなかった。
- 集中力が散漫になり、面倒に感じることが増えた。
- 物語に入れず楽しさが大幅に減少している。
- 翻訳の問題で世界観に没入できないのが厳しい。",- プレイ中も今もその感想を持っている。
成長感の得やすさ,"- LVが上がりやすく、スキルビルドの楽しみがある。
- キャラメイクやポイント再振りの救済措置が良い。
- クリア時の達成感と充実感が格別。
- 成長の実感が得られ、時間を無駄にせずに楽しめる。
- 戦闘やクエストを自由に進められるため満足感が大きい。
- スキルや装備で強敵にも勝てるので達成感がある。
- 当たり前のように敵を倒せてやった感が得られる。
- 毎回のレベルアップで新しい呪文や能力が得られ、戦闘が多様化する。
- 自由なキャラクター育成でおもしろさを感じる。
- 攻略が面白く、長時間プレイしたくなる。",- 成長によるアドバンテージがほとんどない。,- 色々なことが理解できるようになった。
好奇心への刺激,"- ストーリーの分岐と選択肢がゲームの魅力を引き立てている。
- 複数の進み方があるメインクエストが面白い。
- 周回プレイをしたくなる魅力がある。
- ウィキを読んで新たなルートに驚き、感心する。
- 久しぶりに起動するとキャラメイクを試したくなるゲーム。
- ストーリーにこだわるには高い理解力が求められるが、面白い。
- 序盤から多様な展開があり、引き込まれる。
- やりこみや隠し要素が満載でボリュームがある。
- スキルや才能を試すために何度もやり直している。
- 探索や冒険の感覚があり、様々な発見が楽しめる。",- レビュー文が存在しないため、要約する内容がない。,"- ゲームの進化についての調査を希望している。
- 似たようなゲームの情報を求めている。
- 何らかの疑問を提示したい意向がある。"
自由度,"- キャラクターの選択肢を通じて自由に意志表明ができる。
- 自分のオリジナルストーリーを作成し、他プレイヤーと共有して遊ぶことができる。
- 選択がストーリーの結果を左右する点が魅力的。
- 戦闘システムは自由度が高く、参加方法も選べる。
- 詳細なキャラビルドや行動選択が可能で、冒険の自由度が高い。
- プレイヤーの選択によりストーリーが変化し、様々な楽しみ方ができる。
- MODの導入により、周回プレイを飽きずに楽しめる。
- ステータス振り直しや外見変更が容易なため、プレイヤーの楽しみが増す。
- クエストのクリア方法や進め方が多様で、プレイヤーの判断を尊重する。
- 自由度が高く、個性的なキャラクターたちとの出会いや戦略的選択が楽しめる。","- ストーリーの自由度は非常に低く、選択肢は限られている。
- 動きまわれる自由はあるが、難易度が高いエリアでは勝てないことが多い。
- ビルド自由度は若干あるが、レベリングができないため好きなキャラを作るのは難しい。
- 選択肢を誤ると死亡することが多く、最初の位置取りを間違えるだけで全滅する可能性がある。
- プレイ時間が長くなるのはセーブロードを繰り返すためである。
- 序盤で選択を諦めることが多く、自由な選択肢が少ないと感じる。
- パーティ構成についての自由はないと感じている。
- 善人である自由も認めてほしいが、このゲームにはその要素がない。
- 初見プレイでは遊びや工夫の余地がほとんどない。
- 全体的に自由度があるように見えるが、実際には非常に制限されていると感じる。","- 難易度が変更可能で、詰むことはない。
- クエストを進めることでレベルが上がる。
- プレイヤーによって異なるクリア方法がある。
- 他のプレイヤーと一緒に遊ぶことでパーティを組むことが可能。
- イベント結果で得られる経験値が変動する。
- コントローラー設定を英語版に変更できる。
- ゲーム全体はつまらなくはなく、自由度がある。"
