aspect,np,review
操作のしやすさ,-1,"UIの変更もホットバー中心に使いやすくなっていて良かった。インベントリが非常に使いずらく、めちゃくちゃ物が多いのに検索機能はない。  "
操作のしやすさ,-1,慣れていないと移動が非常に億劫、またこれにより没入感も低くなっている。画面のスクロールに関しても自動ではない為、マウスでカチカチしつつ、WASDで画面を動かしたり、別ボタンで回転して向きを変えたりしないとキャラがどこにいるのか分からなくなります。視点に関しても常に神様視点からキャラ達に指示を出して従わせる感じになる為、若干没入感は低いかなという印象も受けました。チュートリアルを終えて、最初の大きな町らしき場所に到達した時、RPGの醍醐味のひとつはフィールドの探索だと思っている冒険大好きっ子の私の頭に浮かんだ最初の言葉は「めんどくさい…」でした。この大きな町をこれから見て回らなければならないのかと思うとウンザリしたからです。ゲーム自体はすごく面白いと評判だったし…と我慢してしばらくやり続けたところ、気づいたら慣れていたので、もし私のように移動が苦痛という人がいたら頑張って数時間冒険を続けてみてください。
操作のしやすさ,-1,システムが簡単で、魔法とか準備とかいらず使い放題、回復もし放題でそこらへんはストレスあんまりないかも
操作のしやすさ,0,ゲームパッド対応！操作ミスしまくるからダメだわ(´・ω・｀)
操作のしやすさ,0,操作性が独特なので、他に並行してゲームを複数進めているので、なかなか操作になれない
操作のしやすさ,-1,キーボード操作の方が勝手が良いです
操作のしやすさ,-1,戦闘は慣れるまではややわかりにくいかもしれません。
操作のしやすさ,-1,移動が遅い。アイテムが多過ぎて、合成や装備変更で目的のものを探すのに、とても時間がかかる。ホットバーの整理が面倒。ミスクリックしやすいUI。あまりヒントが無いクエスト。
操作のしやすさ,0,"操作性。細かい部分はMODで変えられても、根本的な操作性を丸ごと変えるのは難しい。小型のアイテム探索や地形判定の妙だったり「もうちょい何とかしてくれ！」って言いたい操作感の躓きは多かった。因みにコントローラーにはキーボ・マウスとか完全別物の独自UIを用意してくれてるけど、転換完璧とは言い難い。"
操作のしやすさ,1,戦闘とクエストを思う存分楽しめます
操作のしやすさ,1,全ての動作にAP(アクションポイント)を要求するこの手のゲームだと最高峰だと思いますね。
操作のしやすさ,1,非常に遊びやすい
操作のしやすさ,1,戦闘などほぼ直感でいけると思います。説明読んだりが苦手なのでこういうのはかなりウレシイ。
操作のしやすさ,0,ドアの開け方(物の置き方)にやっと気付きました。
操作のしやすさ,-1,コントローラーの扱いづらいUIのせいで数時間は吸われています。コントローラーでは操作性もそこまでよくない。
操作のしやすさ,1,操作性の悪さや不便な点もすべて改善されていてストレスフリーな点も最高
操作のしやすさ,0,キャラの移動が少し遅い感じがありましたが、ファストトラベルがあるので、あまり気にはなりませんでした。
操作のしやすさ,-1,UIというか操作性はすこぶる悪い。前作も良くなかったけどあまり変わってない印象。
操作のしやすさ,1,遊びやすく面白い
操作のしやすさ,1,最初は操作に慣れるのに時間がかかるが、じっくり読み込めば楽しめるようになる
操作のしやすさ,-1,"戦闘システムが非常にとっつきにくいので、先にStolenRealmやったほうがいいかもしれない。このゲームのパクリでライトなのでわかりやすい。コントローラーでのプレイ推奨"
操作のしやすさ,1,1ではPS4コン接続でも✕が決定でしたが　2は〇が決定です
操作のしやすさ,-1,攻撃方法によって差が大きくある。移動して敵に近づかないといけない接近戦キャラやスキルは使いにくい。その場で攻撃ができる弓や魔法が移動しなくて良い分断然強い。
