aspect,np,review
操作のしやすさ,1,ゲーム内のキーコンフィグでローリングとジャンプボタンを設定しなおせば無事Aボタンで決定できる最高のゲームに出会えます
操作のしやすさ,1,PS4のコントローラーを挿すだけで、〇ボタン表示が決定、×ボタン表示がキャンセルという操作になり、PS4と同じ感覚で遊べます。コントローラーとキーボード＆マウスのフォーカス移動もレスポンスは良好。通常はコントローラーでプレイし、特定の操作だけマウスやキーボードを使う、といったこともストレスなく行えます。
操作のしやすさ,-1,決定ボタンが日本仕様なのでものすごい頻度で間違えます
操作のしやすさ,1,パルクールアクションが簡単に堪能できます
操作のしやすさ,-1,決定キーのアレは地味に苛つく
操作のしやすさ,-1,かなり遊びやすさに配慮されたゲームなのにどうしてこんな基本的なところで不便な操作性にしたのか残念でならない
操作のしやすさ,1,操作してて気持ちいいし。
操作のしやすさ,-1,アイテムを拾うときにいちいち立ち止まる
操作のしやすさ,1,軽快な操作性
操作のしやすさ,1,プレイしていると自然に覚えてくるので心配は無用です
操作のしやすさ,-1,決定ボタンがBボタンでキャンセルがAボタンなのは修正してほしい。ソニー任天堂仕様のボタン配置はPCゲームには合わない。ストレスの元。
操作のしやすさ,1,やはりマウスでのエイムがし易く、今のところ快適に遊べています
操作のしやすさ,0,操作性もよく
操作のしやすさ,-1,操作に関してキーコンフィグに難があり、頻繁に使うダッシュやスキャンがスティック押し込みにあったり、カスタマイズした結果、上手く機能しなくなることがあった。武器選択ボタンの設定によって右スティックが使えなくなるなど、直感的でない面があった。武器切り替え時の動作がスローになり焦りを感じることもあった。
操作のしやすさ,1,シャドウの狩人の弓にダメージと操作性の改造パーツ仕込み威力30以上にすれば中型までの敵相手にガチれるようになります
操作のしやすさ,-1,壁面の掴める部分が目立ちにくいことが気になった
操作のしやすさ,1,アイテム管理周りは煩雑だし、ストーリーの進行が大体登山してるか遺跡上り下りしてるかしかないし、セーブするたび画面はブラックアウトするし、ブラックアウト中でもコントローラーの入力はされているのでそのまま崖から落ちるし、言語で決定キャンセルボタンが決められているのか日本語だとAキャンセルB決定固定にされているし、足場の細い崖っぷちで上空からひたすら吹っ飛び属性のあるうんこ降らす糞バードはいるしと色々難はありましたがそういった諸々も山賊を襲ってるとどうでも良くなる程度には楽しいです。
操作のしやすさ,1,ストレスなく気持ちよくアクションさせてくれる
操作のしやすさ,1,操作感の丁寧さを再認識しました。チュートリアルが丁寧。使える武器の種類が豊富な分、操作が複雑ですが、武器ごとにチュートリアルが細かくあり、それをすると経験値がもらえたり、武器購入の時は使用時の映像が見れたりなど、細かい丁寧さを感じます。
操作のしやすさ,1,敵との戦闘も手に汗握り、山は頑張ってジャンプすれば大体登れる親切さだった
操作のしやすさ,1,操作性やアクティビティの表示や今作のUI周りとプレイヤーへのナビゲーションシステムは洗練されており、かなり親切だ。探索時のストレスは特に感じられ無かった。
操作のしやすさ,-1,ターゲットをつける機能がないからやりの攻撃が当てづらい クライミングがトゥームレイダーと比べて分かりづらい
操作のしやすさ,-1,アイテムの種類も順番も指定できず、ショートカットをカスタマイズできなかった。復活後に武器や防具を変更しなければならないため、面倒だった。
操作のしやすさ,1,操作性に不満はなかった
操作のしやすさ,-1,日本語版には決定ボタンとキャンセルボタンが入れ替わっているという、わりと深刻なバグがあります。PCゲームの標準的な配置と逆になっているので非常に間違えやすいです。SteamクライアントでAとBの機能を入れ替えて、ゲーム上でさらに回避とジャンプを入れ替えれば一応海外版と同様のボタン配置になりますが、その場合は画面上にBを押せと表示された時に、つられてBを押さないように気を付けないといけません。決定の機能だけを他のボタンに変更することは今のところできません。
操作のしやすさ,1,操作自体は簡単
操作のしやすさ,1,"移動が苦になることは一切なし"
操作のしやすさ,-1,弓箭换属性箭头太麻烦，还不如改成快捷键换箭头呢
操作のしやすさ,0,not good control (e.g dash/ crouch ).
操作のしやすさ,1,操作は楽しいんですけどね
操作のしやすさ,-1,主人公は、もっさりとした動きで操作していて心地よくない。
操作のしやすさ,1,キーボード+マウス操作なのですが1つ不満点があります。色々キー設定出来るのですがシステムメニューだけenter固定で変更できません。私がプレイした多くのゲームはEscキーでシステムメニューだったのでこれに慣れるのにすごく時間がかかりました。建物内のマップなのですが階段の上り下りが同じアイコンも頂けません。せめて色を変えるか別のアイコンが良かったです。（クエスト受注時にはガイドが表示されますので脳死でそれに従えば目的地まで進むことが出来きます）序盤であれだけ険しい崖をスイスイ移動しておきながら、想定した場所意外では頑なにジャンプでしか乗り越えられません。（ジャンプして腰の高さでも決して手は使わない）マップに表示されている「V」「コーヒーカップ」「花】【木馬」は中心にあるとは限りません。
操作のしやすさ,-1,操作が洗練されており非常に遊びやすい
操作のしやすさ,-1,薬、罠の順番を入れ替えれないために、大乱戦中にもたもたと回復薬を探して死ぬパターンが多い。特に薬を使い切ると順番が変わるため、覚えていた場所から変わるのも不便さに拍車がかかる。登れる部分が限定的で分かりづらい。どこから進めるのかわからずに停滞してテンポが悪くダレる部分がちらほらあった。
操作のしやすさ,1,コントローラープレイ時にゲーム自体はジャイロでのエイムに対応していない点
操作のしやすさ,-1,セーブポイントもそこら中にあるし、オートセーブも良いところで効いてくれるのでこういうアクションが苦手な人でもストレスなくゲームを進められると思う
操作のしやすさ,-1,移動や持ち物などの快適さの部分がかなり悪かったです。マップの広さに対して移動が遅い。高低差や段差があるときの挙動が不安定。黄色い場所が登れるではなく、黄色い場所以外登れない。持ち物の所持上限が少ない。
操作のしやすさ,1,steamに慣れてるとコントローラーにPS配置はきつい
操作のしやすさ,-1,コントローラでのエイムが大の苦手なので、マウスとキーボードでプレイしましたが特に不自由も無かったです。
操作のしやすさ,-1,決定ボタンがPSの〇ボタン固定なのでXbox用コントローラーではB決定になり違和感を感じるかもしれない
操作のしやすさ,-1,"決定ボタン問題が解決はしないので注意が必要である。ソフト内部でAとB（XBOXコン)を逆には出来ないので、ゲーム内で” A ”を押す様に表示されたら"" B ""を押さないといけなかったりする。"
