aspect,np,review
操作のしやすさ,1,体が自然に反応してセイバーが動いているという感覚を得られるようになった
操作のしやすさ,1,"コントローラーの調整が重要だと思った"
操作のしやすさ,1,煩わしいタイミング調整もなければ「miss cut」の2つしかないので初心者でも、これが上手く行ってるのか否かが感覚で分かるのが素晴らしいと思う。
操作のしやすさ,1,単純明快で動作がものすごく軽いVRゲームです。ゲーム開始まで何十秒何分とボケーと待つ他のゲームは見習ってほしい。
操作のしやすさ,1,ライトセーバーなので刃を立てる必要もなくなぞれば斬れるため、手首でぐるぐる回してスパスパ斬ったり、大振りでざっくり行ったりと爽快感があります。
操作のしやすさ,0,コントローラの持ち方を調べる
操作のしやすさ,1,ノーツを音楽に合わせて斬るだけでこんなに面白いとは
操作のしやすさ,1,単純明快なルール
操作のしやすさ,1,基本的なルールは音楽に合わせて飛んでくるノーツを切るだけのシンプル仕様で万人受けすると思います。
操作のしやすさ,1,コントローラーを両手に持ち、手前に来るブロック状のノーツをリズミカルに斬るVRでなければ出来ない類の音ゲー。チュートリアルがありますがこちらでも説明すると、赤と青の矢印方向に斬るノーツと方向指定がないノーツの二種類があり、剣の色とノーツの色を合わせて正確に斬り込むことで点数が入ります。Bombと呼ばれるトゲトゲの球体は斬らないように回避（体は当たってもOK）斬ってしまうとミス扱いになり、さらに大きな壁も出ますので衝突しないように全身を使って回避する必要があります。
操作のしやすさ,1,ゲームモードも左右・片手（左利きにも対応）どちらでも、誰にでも直感的にすぐ遊べる出来るのでおススメです。
操作のしやすさ,1,インターフェースの距離や角度を調整できるので動きやすい場所に調整してプレイしています
操作のしやすさ,1,導入が簡単なMODで好きなだけ曲を増やせます。気に入る曲がなくても譜面を作れます。
操作のしやすさ,1,リズムに合わせて剣を振り回すのは単純に爽快感があります
操作のしやすさ,1,音ゲーを指じゃなくて体で感覚的に遊べる。
操作のしやすさ,1,やりやすいです。
操作のしやすさ,1,わかりやすく単純明快
操作のしやすさ,1,操作の感覚が戻りました
操作のしやすさ,1,コントローラーの持ち方を工夫すると余計なボタンを押さずにすむと思います
操作のしやすさ,1,振り方が分かってくるはずです
操作のしやすさ,1,ゲームシステムはとっても単純、２本のライトセ〇バーにそれぞれ色が指定されており、奥から流れてくるキューブと同じ色の電光剣で叩き斬るだけである。
操作のしやすさ,0,方向指示されてるやつと、とりあえず切っておけの箱があって
操作のしやすさ,1,VRで酔いやすい人でも遊びやすく
操作のしやすさ,1,自分のやりやすい環境で苦手を克服するまで好きなだけ練習することができます
操作のしやすさ,0,ゲームは使用光剑来上下左右劈砍音符，途中需要躲避一些障碍物。
操作のしやすさ,1,自分の身体だから迷わず直感的に動かせて面白い
操作のしやすさ,1,すぐに慣れる簡単でやりやすい
操作のしやすさ,1,譜面に違和感を感じないです。手首をちょっとひねるだけでOK判定(点数は低くなる)ですし、矢印を無しにして疑似ドラムプレーが可能です。壁に当たらないように横ステップをすると疑似ダンスプレーもできます。
操作のしやすさ,1,操作は簡単、二本の剣を振り回すだけ！直感的な操作はすぐに体が覚えることでしょう！
操作のしやすさ,1,判定もかなり緩いので音ゲーの経験が少ない人でもとっつきやすい。設定でZXY軸と正面方向を変更できるので初期位置がしっくりこなかったり、スペースの取れる方向に制限がある人でも大丈夫。
