aspect,pos,neg,neu
操作のしやすさ,"- 戦闘のカメラとコントロールは問題なく操作性が良い。
- UIがシンプルで直感的な操作ができ、遊びやすい。
- フィールドやダンジョンのマップが見やすく、探索がスムーズ。
- ファストトラベルやオートセーブ機能が充実しており快適。
- 戦闘システムは爽快で、コンボも簡単に繋げられる。
- 戦闘がスピーディーで、ストレスを感じることが少ない。
- UIやメニューが使いやすく、初心者にも配慮された設計が嬉しい。
- エンカウントがシンボル性で避けることができ、気楽に遊べる。
- ストーリーモードがあり、アクションが苦手な人でも楽しめる選択肢が用意されている。
- 全体的に快適さがあり、プレイヤーフレンドリーな設計になっている。","- 操作性は良いが、ボタン配置に慣れが必要で、フィールド操作時のスティックのデッドゾーンが大きく違和感がある。
- 戦闘中に技を放っていると回避ができないため、選択肢が狭まり自由度が下がる。
- 味方AIの動きにイライラし、自分で操作することが多くなった。
- カメラワークが近すぎて疲れやすい。
- 技の発動中に回避ができないため、アクション性が損なわれていると感じる。
- 移動中の会話イベントが途中で発生し、内容が分かりにくくなることがあった。
- 操作のチュートリアルがあるが、AIの挙動については説明がないため、プレイヤーが試行錯誤する必要がある。
- 戦闘システムが過去作品と大きく異なり、術技の発動中にキャンセルできないためカウンターを受けることがある。
- ターゲッティングがおかしく、攻撃ボタンで近くの敵を優先して殴ることがありストレスを感じる。
- キャラクターの操作性が微妙で、マップ探索が億劫になる。","- 回復用TPと術技のシステムに初めは戸惑ったが、慣れると気にならなくなった。
- 操作や戦闘ボタンが独特で、慣れるまでが大変だった。
- 挙動がもっさりしているが、ストレスにはならない程度。
- キャラ毎に操作感が異なり面白いが、NPCは賢くなく、戦術設定が必要。
- UIでファストトラベルの分かりにくさが気になった。
- 操作キャラはリンウェルに変えて上級呪文を連発していた。
- 操作キャラの操作方法はマニュアル、セミオート、オートから選べる。
- マニュアルとセミオートに大きな違いは感じなかったが、セミオートからマニュアルに切り替えた。
- 後衛職を操作するのが楽しい一方で、主人公を使うことが多く、前衛職は面白くないと感じた。"
難易度の適切さ,"- 難易度ハードは戦略が必要で、ボス戦は長期戦になるが楽しい。
- バトルバランスが良く、難易度選択が可能なので誰でも楽しめる。
- 雑魚敵の種類は少ないが、アクション性が増しており、適度な難易度を保っている。
- 戦闘はカジュアルで、中には難しさを感じる場面もある。
- クリア時にレベルを上げずとも、ストーリーを進められるほどの優しい難易度がある。
- 一部ボス戦が難しく感じるが、全体的にやりごたえがある。
- 難易度を下げることで初心者にも優しい設計となっている。
- ゲームバランスが良く、ストーリー中に詰まることもない。
- 戦闘難易度が高く感じるが、適度なチャレンジが楽しめる。
- 一周目でトロコン可能な優しい難易度設定で、ストレスなくプレイできた。","- 普通の魔物はオートプレイできるが、ボス敵は非常に難易度が高い。
- 雑魚敵の理不尽なスーパーアーマーが苦手な人にはおすすめできない。
- RPGプレイヤーやテイルズファンには進めやすいが、新規プレイヤーには厳しいかもしれない。
- 攻略には高いプレイヤースキルやアイテムの消費が求められる。
- 敵のHPや硬さは非常に高く、特に雑魚敵に苦労することが多い。
- 金策が厳しく、難易度が高いと感じる人は難易度を下げるべき。
- ジャストガードやジャスト回避のタイミングがシビアで、多くのプレイヤーが厳しいと感じている。
- 経験値や物資の獲得量が少なく、レベル上げが大変と感じる。
- 戦闘が長引くことにイライラし、全体的に難易度が高く感じられる。
- ボス戦や大きな敵との戦闘では、攻略法が単調になることが多い。","- 難易度設定はゲーム中に変更可能だが、ゲームテンポの悪さが快適さの優先要因になる。
- DLC購入後に難易度をセカンドに上げても、相変わらず難しいと感じ、ストレスを感じることがあった。
- 一部の敵が硬くストレスを感じるが、対策次第で乗り越えられる。
- 難易度ハードでプレイしたが、クリアできないほど難しくはなかった。
- ストレスを感じたくない場合、難易度を下げるか、RTA動画で戦い方を学ぶことを推奨。
- ノーマルでのプレイではレベル差のあるボスに挑まなければあまり苦戦しなかった。
- 後半ではシビアな入力タイミングのボスが増え、特に裏ボスは厳しかった。
- アイテム不足が常に伴うため、ストレスを感じる場面もあった。
- ノーマルでは敵が固く感じるが、イージーならストーリー重視でも楽しめる。
- アクションRPG初心者にとって難易度がやや高めで、詰まるなら調整が推奨されている。"
進捗の明確さ,"- 戦闘後にフィールドを歩きながらリザルトを確認できるのが便利。
- 未知の要素が多く配置されていて、プレイヤーを飽きさせない。
- 見逃したスキットやサブクエの位置を簡単に把握できるサポートがある。","- 実績をコンプリートしたのに、達成率が81%になって残念に思った。
- ダメージの表示がわかりづらく、誰がどれくらいダメージを与えているか全くわからない。",- 中盤までは進行していると感じた。
目的の明確さ,"- 明確な目的があり、続きが気になる展開で遊びやすい。
- 主人公は支配のない世界を目指して戦っている。
- メインストーリーのボリュームが程よく、印象が良い。
- クエストラインがわかりやすく、迷うことはない。
- 主人公たちの目的が伝わり、応援しながら進められる。
- 世界観がしっかりしていて楽しめる。
- 序盤が理解しにくいが、スキットや用語で補完される。","- ストーリーに必要な説明が不足しているため、プレイヤーが物語に入り込みづらい。
- プレイヤーに求められているプレイ内容が不明瞭である。
- 中盤から後半にかけてのストーリー展開が急ぎすぎており、説明が不足していると感じた。
- 中盤までにやるべきことが明示されていなかったため、興味を失った。
- CPシステムの目的が理解できなかった。",
視聴覚の魅力,"- グラフィックが非常に美麗で、特に背景やキャラクターの表情が素晴らしい。
- ストーリーは仲間との絆を深める展開があり、会話やスキットが面白い。
- 声優の演技が自然で、NPCの声もいい印象を受けた。
- 戦闘の爽快感や演出が高評価で、技の連携も楽しめる。
- アニメパートと3Dパートのバランスが良く、全編3Dでの表現が好ましい。
- 音楽は桜庭統による素晴らしいサウンドで、ストーリーにマッチしている。
- 新しい絵作りがテイルズらしさをしっかりと感じさせる。
- キャラクターのビジュアルや個性が豊かで、特にヒロインが可愛い。
- エフェクトが派手で、戦闘が視覚的に非常に楽しい。
- 総合的にグラフィック、ストーリー、キャラクター、音楽のクオリティが高い。","- トゥーン調のグラフィックは美しいが、エフェクトが派手で視認性が低下することがある。
- キャラクターの掛け合いはフルボイスで没入感があり面白いが、バトルシステムはストレスを感じることもあった。
- 音楽は印象に残らず、特に料理の効果音が不快に感じた。
- アニメーションのクオリティが低く、ゲーム部分に比べてミスマッチ感を感じる。
- 魔法エフェクトが派手すぎて、戦闘中の視認性が著しく悪化する。
- グラフィックは非常に美麗だが、アニメパートが安っぽく感じられる。
- 3Dキャラクターは素晴らしいが、アニメーションは粗末に見える。
- システムや演出面での不満が多く、特にストーリーや音楽が旧態依然としている。
- レビューは見栄えは良いが、エフェクトの過多や演出不足に対する不満が目立つ。
- 全体的にはグラフィックやバトルは楽しめるものの、アニメ部分のクオリティが大きな残念要素となっている。","- 映像やゲーム自体はそれなりに良く、楽しめる要素はある。
- グラフィックは技術の進歩で向上しているが、最近は良い作品が多く特に目新しさはない。
- ゲーム内の明るさ調整が不十分で依然明るすぎる。
- ヒロインの声優は上手くなっていて、前作と比較するととても面白い。
- 敵キャラの声優も高名な方が多く、予算がかかっている印象を受ける。
- キャラクターのデザインは賛否が分かれるが、新しいスタイルで違和感もある。
- ストーリー自体は面白いと感じる。
- グラフィックが美しく、フィールドやバトルも素晴らしいと評価されている。
- キャラに感情移入できるが、技の派手さが見にくさを生んでいる。
- アニメーションの作画に違和感があり、CG表現の方が引き立つ場合もある。"
遊ぶ意義,"- ゲームは面白く、エンディングまで楽しめた。
- 仲間との絆が深まる様子や会話が魅力的で感動的なストーリーが印象的。
- 新しい要素を取り入れつつ、過去の良さを残している。
- ストーリーの展開が明確で、続きが気になりやすい作りになっている。
- 戦闘が楽しめ、JRPGとして非常に高品質に仕上がっている。
- 遊ぶ意義を感じる作品で、感情移入もしやすい。
- ストーリーはしっかりとまとまり、プレイヤーに深いドラマを提供する。
- 歴代テイルズファンにも満足できる作品で、親しみが持てる。
- シリーズ未経験者にもおすすめできるほどの出来栄えである。
- 現代のメッセージが込められた内容で、心に響く体験となった。",,- ストーリーの基本的な構成は良いと思う。
没入感,"- ゲームに没頭して戦闘が楽しかった。
- 没入感が高く、周りの状況を忘れた。
- ストーリーが続きが気になり、プレイが進んだ。
- 勢いのあるアクションが楽しく、ストレスを感じなかった。
- キャラクターの感情が表現され、ストーリーに引き込まれた。
- 美しいグラフィックが没入感を高めた。
- 戦闘は面白く、プレイしている間は夢中になった。
- ストーリーの進展で感動を味わい、エンディングに感動した。
- 引き込まれるキャラクターとストーリーに魅了された。
- プレイを続けることで、時間を忘れ楽しむことができた。","- ゲームの没入感が失われ、プレイへの好印象が悪化した。
- 戦闘がストレスに感じ始め、プレイングでカバーできなくなった。
- DLCの催促が目立ち、没入感を冷めさせる要因になっている。
- ストーリーへの没入が十分にできず、全体的に冷めた印象を持った。
- キャンプ時のDLC購入ボタンの表示が没入感を損なっている。
- アニメが挿入される度に没入感が薄れ、もどかしさを感じた。
- 戦闘カメラと通常カメラの使い勝手が悪く、違和感を覚えた。
- 低品質のアニメシーンが没入感を奪い、ゲーム体験に影響を与えた。
- エフェクトが派手すぎて、状況が把握できないことが多かった。
- プレイ中は周囲に気づけず、十分に楽しむことができなかった。","- プレイ中は周囲の状況に気付かなくなる。  
- ゲームに没頭するあまり、周囲が見えなくなってしまった。"
成長感の得やすさ,"- ゲームをプレイする中で能力の向上を実感でき、難易度も調整可能で楽しめた。
- ストライク連発の爽快感と、クリア後も成長を感じながらプレイスキルを高められた。
- 経験値の獲得がスムーズで、レベル上げにストレスを感じることがなかった。
- 難易度は初心者にも優しく、誰でも楽しめるバトルシステムが良かった。
- 戦闘は直感的で、連携やコンボが簡単に決まるので爽快感があった。
- ボス戦や強敵とのバトルも挑戦しがいがあり、達成感を得られた。
- 成長感があり、パーティーメンバー全員の成長も感じられたのが魅力的だった。
- サブクエストをこなすことでレベルも上がり、メインストーリーを進めやすくなっていた。
- トロフィーコンプリートも容易で、やりごたえを感じつつ楽しめた。
- 戦闘やレベリングが楽しめて、全体的に満足のいくプレイ体験だった。","- 難易度は高くなく、時間をかければ達成できる。
- レベリングがストレスで、成長を実感できない。
- ワンパターンな戦闘が延々と続き、40時間かけても達成感が薄い。
- 経験値やSPの獲得が少ないと感じる。
- 敵のレベルに追いつくためには、レベル上げが必要。
- アクションは爽快だが、初心者には難易度が高いかもしれない。","- 成長システムはスフィア盤のようである。  
- 育成や難易度が高く、レベル上げやプレイヤースキルが求められる。"
好奇心への刺激,"- ゲームの進化を調べたくなる内容で、クリア後のDLCが楽しみ。
- ストーリーの続きが気になり、次の展開を早く進めたい気持ちが強い。
- マップの隅々まで探索したくなり、新しいアイテムの入手が物語の進展を感じさせる。
- 主人公が記憶を失いながら世界を理解していく過程が興味深い。
- 先が気になるストーリー展開や驚きが多く、全体的に楽しめる。
- クライマックスでの謎解きが爽快で、次回作への期待感が高まる。
- キャラクターたちの悩みや葛藤が深く描かれており、プレイしながら先を知りたくなる。
- 世界観が面白く、もっと冒険を続けたくなる感情がある。
- ストーリーは衝撃の展開が待っており、プレイすることで興味が増す。
- 購入に関してはあらゆる面でオススメできる作品だと感じた。","- やり込み要素には魅力を感じるが、不満から途中で飽きてしまう可能性がある。
- ストーリーには多くのツッコミどころがあり、ネタバレなしで感想を書くのは難しい。
- 発売同時のDLCによってストーリーの一部がバレてしまうのは問題だ。
- 回想モードが物足りず、他のシーンやエンディングを自由に見られると良かった。","- 他のシリーズにも同様の仕組みがあるか興味がある。
- 新しい技やゲームの進化について調べたかった。
- シンフォギア以来のテイルズシリーズに興味を持ったのは絢香のカバー曲が影響している。
- 今後の展開や仲間たちの行動について描写を期待している。
- 他作品のキャラとの戦闘をもっと取り入れてほしいと感じている。
- 最初のステージに期待し、特定のキャラとの戦闘を楽しみにしていた。
- エンディング後のキャラの目的や理想についての描写が不足していると感じる。"
自由度,"- どこでもセーブできるため、快適にプレイできた。
- ストーリーとバトルシステムが楽しめた。
- アクセサリーによる能力の吟味が重要だと感じた。
- 武器の強化システムが便利で、買い物を楽しめた。
- 自分のやり方で自由にゲームがプレイでき、選択肢が豊富だった。
- コンボの自由度が高く、戦闘が楽しかった。
- 雑魚敵を何度も倒さなくてもゲームが進められた。
- クエストラインがわかりやすく、迷うことが少なかった。
- ファストトラベル機能が便利で、移動が快適だった。
- 難易度調整が簡単で、初心者にも優しい設計だった。","- 不自由な場面が多く、選択肢が狭まることで自由度が下がると感じた。
- コンボの自由度は高いが、敵の差がないため戦闘がワンパターンになりやすい。
- コスチュームの種類が少なく、自由度が不足している。
- 過去のテイルズに比べて世界が狭く感じ、自分での行動が制限されている。
- 操作キャラに敵が一斉に攻撃する仕様が残念だと思った。
- 総じて自由度に欠ける印象を受けた。
- レベルを上げたり先に武器を作ったりする選択肢がほぼない。
- キャラクター育成やプレイの深さが極度に欠けていると感じた。
- 自由に飛べた過去作との違いが強調されている。
- 自分で考慮し行動する人には向かない内容だと思った。","- 女NPCに近づいたり滝壺に飛び込むことを楽しむことができる。
- アクションが苦手な人には難易度を下げることや追加DLCの購入を推奨している。
- 特定メンバー以外で戦うには戦術設定やアクセサリのカスタマイズが必要。
- 最終的には操作キャラをリンウェルに変え、回避しながら上級呪文を使用していた。
- 自由度は低いが、作業的に遊べるRPGとしては完成度が高いと感じる。
- フィールドの探索要素をもっと増やしてほしいという要望がある。"
