aspect,pos,neg,neu
操作のしやすさ,"- 移動がスタミナ無制限で、ダッシュには無敵時間が長い回避があり快適に戦える。
- PS5版と比べてPC版では難易度が大幅に軽減され、初めてのプレイでワールド2を突破できた。
- 操作が軽快で、ダッシュやジャンプ、回避が気持ちよく行えるが、慣性が強く習熟には時間がかかるかもしれない。
- アクションの操作性は悪くなく、快適に動かせるので楽しい。
- シューティングが好きな人や上手い人には特におすすめできる操作性。
- このゲームの爽快な操作感とスピード感に慣れると、他のシューターが楽しめなくなる恐れがある。
- 総じて、操作感や戦闘の快適さが高く、満足度は非常に高い。","- 操作性やグラフィックは良かったが、全体的に残念な点があった。
- 操作性にはあまり満足できなかった。",
難易度の適切さ,"- 高難易度で硬派なゲームであり、キャラクター操作と射線管理が重要な要素。
- 難易度が高いという評判通りで、ボスを倒した時の達成感が非常に大きい。
- 装備の強化やアイテム次第で難易度が変動し、こういったゲームが好きな人には楽しめる内容。
- シューティングゲームの経験者にとっては、初見でノーデスクリアが可能なくらい難易度が低く感じることもある。","- 中盤から様々な理不尽な攻撃があり、アクションやシューティングが苦手な人には厳しい難易度。
- 後半のボスが弱く、攻撃パターンのバリエーションが少ないため物足りなさを感じる。
- 難易度とランの長さが釣り合っておらず、凡ミスでやる気を失いやすい。
- 序盤の難易度が非常にシビアで、特に死亡時のペナルティが心を折る原因となっている。
- ローグライク特有のアイテムやステータス強化の喪失がプレイヤーに厳しい影響を与える。
- 高難易度に対し、ゲーム下手なプレイヤーへの救済措置が無い。
- エリア切り替え時のハメ技的攻撃が理不尽に感じられ、プレイ体験を損なうこともある。
- 全体的に難易度が高く、心が折れた経験が多々ある。","- 高難易度を謳っているが、FPSやTPSの経験者にとってはそれほど難しくない。
- ボス戦も予想以上に強くなかったため、全体的に高難易度とは感じなかった。"
進捗の明確さ,- ボスを倒すと次の面に進め、倒したボスは以降スキップできるので、段階的に攻略できる。,,
目的の明確さ,,,
視聴覚の魅力,"- セレーネおばさんの声と演技が素晴らしい。ループから抜けられない悲壮感と戦う逞しさが伝わる。
- ホラーっぽい演出があり、敵の派手な弾幕やボス戦が魅力的。視覚的に楽しめる。
- 声優の演技が良く、難解なストーリーでもワクワク感がある。 
- 退廃的でグロテスクな世界観が魅力的で、Bloodborneを思わせる。
- 映像の美しさと高いゲームクオリティに感心する。
- 音楽が素敵で、世界観に合っている。
- グラフィックとデザインが美しく、非常に好ましい。
- 敵のデザインや弾幕攻撃が美しく、戦闘が面白かった。","- 音が非常に小さく聞こえた。  
- 操作性やグラフィックは優れていたが、それがもったいないと感じた。  
- ゲーム自体は面白かったので非常に残念だった。  ",
遊ぶ意義,"- 雰囲気やキャラクターのセレーネが気に入り再購入した。実績を全て取得したいと思っている。
- ストーリーが謎に満ちており、セレーネの状況を探求したくなる。ミステリー好きな人にはお勧めだ。",,
没入感,"- 走って移動し、横歩き射撃やダッシュ回避を駆使して快適に戦える。  
- 敵の弾幕が派手で、ボス戦ではその美しさに見惚れることができる。  
- 操作感やスピード感、戦闘の爽快感に慣れると他のシューターが楽しめなくなるかもしれない。  ",- プレイ中は周囲の状況に気付けなかった。,
成長感の得やすさ,"- 初めてのRUNでワールド2を突破できたことが嬉しい。
- ボスを倒すと次の面に進め、倒したボスは次回以降スキップできる仕組みが便利で攻略が楽になる。
- セルフ難易度調整が可能で、初期装備や未強化でも挑戦できる。
- ボスを倒したときの達成感が高く、思ったよりも難易度は低いと感じた。
- シューティングゲームの経験があれば初見でノーデスクリアも可能かもしれない。",,"- 立ち回りを覚えるには根気が必要で、運も影響する。  
- 慣れれば上達し、気にならないかもしれない。"
好奇心への刺激,"- 声優の演技が素晴らしく、断片的なストーリーにワクワク感を覚える。
- 謎が多いストーリーを考察することが楽しめる。
- 探索が楽しい死にゲーTPSを求める人に向いている。
- セレーネの状況に対する謎を探求したくなるストーリー展開がある。",,
自由度,"- 地形をうまく使って壁に隠れつつ、敵を攻撃できる武器が存在するため、戦闘が楽しめる。
- 自由度の高いプレイができると感じた。
- アイテムプールに制限はあるが、爽快感が損なわれずに楽しめる。",,- 自キャラのビルドにおいて、アーティファクトやパラサイトのメリットとデメリットを重ねるが、シナジーによるインフレはあまり起こらない。
