aspect,review
操作のしやすさ,走りはスタミナ無制限で、ダッシュや回避が快適に使える。操作性が良く、サクサク動かせるため、シューター好きにはおすすめ。ただ、慣性が強く慣れるまで時間がかかることもあり、他のシューターには戻れなくなるかもしれない。全体的に操作感やグラフィックは良いが、操作性にはやや不満が残る。
難易度の適切さ,高難易度で硬派なゲームで、キャラコンと射線管理が重要。ボスを倒した際の達成感は大きいが、後半のボスが弱くやり応えに欠ける。序盤の難易度が厳しく、ミスでアイテムを失うため心が折れやすい。アクションやシューティングが得意な人には楽しめるが、苦手な人には厳しいかもしれない。
進捗の明確さ,ボスを倒すと次の面に進めるが、再度倒したボスはスキップ可能で、少しずつ攻略できる仕組みがある。
目的の明確さ,
視聴覚の魅力,セレーネおばさんの声優・小山茉美の演技が素晴らしく、雰囲気や映像、音楽も美しい。ホラーっぽい演出や派手な敵の弾幕が印象的で、ゲームのクオリティは高い。ただし、音が小さく聞こえる点がもったいない。
遊ぶ意義,雰囲気やキャラクターのセレーネが気に入って再購入した。実績を全て取得したいと思っており、ストーリーには多くの謎があり、セレーネの状況について探求したくなる。ミステリー好きにはお勧めのゲームだ。
没入感,ゲームは移動や射撃、回避が快適で、敵の弾幕やボス戦が美しい。操作感、スピード感、戦闘の爽快感に慣れると他のシューターが遊べなくなるかもしれない。プレイ中は周囲に気付かなくなる。
成長感の得やすさ,初めてワールド2を突破し、ボスを倒すことで次の面に進めるシステムが面白い。セルフ調整が可能で、難易度は意外と低く、達成感も大きい。最初はゲームシステムを理解していなくても、シューティングゲーム経験者なら初見ノーデスクリアが可能かもしれない。根気よく立ち回りを覚える必要がある。
好奇心への刺激,声優の演技が素晴らしく、難解なストーリーに苦しみながらもワクワクする。考察に夢中になり、探索が楽しめるTPSの死にゲーとしておすすめ。セレーネの状況を解明したくなる謎が多いストーリー。
自由度,地形を利用して敵を狙える武器があり、戦闘が楽しめる。自由度が高く、アイテム制限も爽快感を損なわずプレイ可能。キャラビルドはあるものの、シナジーによるインフレが少ない。
